,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,31.0,汕头,2017-06-21,0.7,16.0,10.0,30.0,16.0,29.0,210.0,205.0,200.0,29.0,29.0,29.0,669.0,571.0,490.0,84.0,82.0,81.0,1.0,0.6,0.0
1,29.0,汕头,2017-06-22,0.6,10.0,9.0,43.0,15.0,28.0,200.0,197.0,195.0,30.0,29.8,29.0,712.0,652.8,554.0,83.0,80.4,79.0,0.0,0.0,0.0
2,23.0,汕头,2017-06-23,0.6,10.0,9.0,44.0,10.0,22.0,195.0,191.0,190.0,30.0,30.0,30.0,836.0,798.6,740.0,80.0,78.2,77.0,0.0,0.0,0.0
3,26.0,汕头,2017-06-24,0.6,12.0,9.0,47.0,11.0,25.0,210.0,203.0,200.0,30.0,30.0,30.0,816.0,780.2,736.0,79.0,78.2,78.0,2.0,0.8,0.0
4,28.0,汕头,2017-06-25,0.6,10.0,8.0,57.0,9.0,26.0,220.0,216.0,215.0,31.0,30.8,30.0,813.0,773.8,723.0,75.0,73.0,72.0,0.0,0.0,0.0
5,29.0,汕头,2017-06-26,0.6,9.0,8.0,50.0,12.0,28.0,220.0,220.0,220.0,31.0,30.8,30.0,784.0,747.2,690.0,77.0,76.4,76.0,4.0,2.2,0.0
6,35.0,汕头,2017-06-27,0.6,12.0,9.0,53.0,14.0,34.0,220.0,214.0,210.0,31.0,30.8,30.0,606.0,567.4,504.0,77.0,76.4,76.0,0.0,0.0,0.0
7,35.0,汕头,2017-06-28,0.6,13.0,11.0,65.0,18.0,34.0,215.0,206.0,200.0,32.0,31.4,31.0,826.0,763.8,660.0,75.0,70.6,68.0,0.0,0.0,0.0
8,36.0,汕头,2017-06-29,0.7,15.0,12.0,66.0,18.0,36.0,170.0,170.0,170.0,31.0,30.8,30.0,846.0,808.0,750.0,78.0,73.4,71.0,0.0,0.0,0.0
9,26.0,汕头,2017-06-30,0.6,12.0,8.0,47.0,12.0,24.0,130.0,128.0,120.0,30.0,30.0,30.0,843.0,807.0,750.0,73.0,71.4,70.0,0.0,0.0,0.0
10,22.0,汕头,2017-07-01,0.7,15.0,8.0,39.0,8.0,21.0,180.0,170.0,160.0,30.0,30.0,30.0,833.0,796.0,736.0,75.0,73.0,71.0,1.0,0.6,0.0
11,23.0,汕头,2017-07-02,0.7,12.0,8.0,36.0,10.0,22.0,185.0,180.0,175.0,29.0,29.0,29.0,828.0,793.2,740.0,82.0,81.4,81.0,15.0,8.8,2.0
12,24.0,汕头,2017-07-03,0.7,13.0,9.0,38.0,9.0,22.0,175.0,165.0,155.0,30.0,30.0,30.0,840.0,804.6,750.0,74.0,72.0,70.0,2.0,1.2,0.0
13,31.0,汕头,2017-07-04,0.8,16.0,12.0,48.0,16.0,30.0,140.0,136.0,130.0,30.0,29.8,29.0,840.0,805.0,750.0,77.0,73.4,71.0,0.0,0.0,0.0
14,22.0,汕头,2017-07-05,0.7,12.0,7.0,33.0,8.0,21.0,105.0,101.0,95.0,30.0,29.6,29.0,782.0,726.6,628.0,79.0,73.8,71.0,2.0,1.0,0.0
15,24.0,汕头,2017-07-06,0.7,12.0,8.0,44.0,8.0,22.0,135.0,135.0,135.0,31.0,30.4,30.0,822.0,789.6,741.0,73.0,71.0,70.0,4.0,2.4,0.0
16,25.0,汕头,2017-07-07,0.7,12.0,9.0,51.0,8.0,21.0,190.0,186.0,185.0,29.0,29.0,29.0,829.0,794.4,740.0,81.0,79.6,78.0,14.0,7.8,2.0
17,27.0,汕头,2017-07-08,0.7,14.0,10.0,38.0,11.0,26.0,190.0,186.0,185.0,30.0,30.0,30.0,828.0,793.2,740.0,74.0,72.8,72.0,5.0,2.8,0.0
18,27.0,汕头,2017-07-09,0.7,14.0,11.0,46.0,13.0,26.0,180.0,180.0,180.0,30.0,30.0,30.0,833.0,800.0,749.0,77.0,74.4,73.0,0.0,0.0,0.0
19,28.0,汕头,2017-07-10,0.7,11.0,11.0,57.0,14.0,25.0,195.0,186.0,180.0,31.0,30.8,30.0,838.0,803.8,750.0,75.0,72.4,71.0,0.0,0.0,0.0
20,32.0,汕头,2017-07-11,0.7,12.0,10.0,53.0,16.0,31.0,160.0,153.0,150.0,31.0,30.8,30.0,840.0,804.4,750.0,72.0,70.2,69.0,0.0,0.0,0.0
21,35.0,汕头,2017-07-12,0.8,15.0,12.0,51.0,18.0,32.0,135.0,129.0,120.0,31.0,30.8,30.0,833.0,799.4,750.0,78.0,74.4,73.0,0.0,0.0,0.0
22,32.0,汕头,2017-07-13,0.7,12.0,11.0,47.0,15.0,30.0,135.0,128.0,115.0,31.0,30.8,30.0,839.0,805.6,756.0,77.0,73.4,71.0,0.0,0.0,0.0
23,27.0,汕头,2017-07-14,0.6,10.0,9.0,44.0,10.0,26.0,125.0,124.0,120.0,31.0,30.6,30.0,838.0,804.6,755.0,78.0,75.6,74.0,0.0,0.0,0.0
24,23.0,汕头,2017-07-15,0.7,12.0,8.0,29.0,8.0,22.0,115.0,109.0,100.0,30.0,30.0,30.0,831.0,796.8,746.0,75.0,72.4,71.0,1.0,0.6,0.0
25,29.0,汕头,2017-07-16,0.7,9.0,8.0,59.0,10.0,26.0,105.0,105.0,105.0,30.0,30.0,30.0,834.0,800.2,750.0,70.0,69.0,68.0,1.0,0.6,0.0
26,20.0,汕头,2017-07-17,0.7,8.0,6.0,36.0,7.0,20.0,155.0,153.0,150.0,28.0,27.0,26.0,691.0,406.0,24.0,89.0,86.0,81.0,16.0,9.4,3.0
27,24.0,汕头,2017-07-18,0.8,15.0,9.0,41.0,12.0,24.0,115.0,111.0,105.0,28.0,27.4,27.0,281.0,240.2,180.0,87.0,84.8,82.0,11.0,6.0,1.0
28,37.0,汕头,2017-07-19,0.9,17.0,12.0,71.0,18.0,35.0,135.0,131.0,120.0,30.0,29.2,29.0,728.0,688.8,624.0,84.0,81.8,80.0,0.0,0.0,0.0
29,39.0,汕头,2017-07-20,0.7,11.0,11.0,55.0,19.0,36.0,125.0,122.0,120.0,31.0,31.0,31.0,815.0,777.4,735.0,69.0,68.2,67.0,0.0,0.0,0.0
30,35.0,汕头,2017-07-21,0.7,12.0,10.0,54.0,19.0,33.0,135.0,124.0,110.0,32.0,31.4,31.0,826.0,789.8,735.0,68.0,66.8,66.0,0.0,0.0,0.0
31,35.0,汕头,2017-07-21,0.7,12.0,10.0,54.0,19.0,33.0,135.0,124.0,110.0,32.0,31.4,31.0,826.0,789.8,735.0,68.0,66.8,66.0,0.0,0.0,0.0
32,68.0,汕头,2017-07-22,0.8,16.0,14.0,122.0,21.0,44.0,115.0,103.0,80.0,34.0,33.8,33.0,826.0,783.6,720.0,62.0,57.0,54.0,0.0,0.0,0.0
33,25.0,汕头,2017-07-23,0.7,8.0,8.0,49.0,12.0,23.0,115.0,106.0,100.0,31.0,31.0,31.0,816.0,668.0,519.0,69.0,68.4,68.0,4.0,2.0,0.0
34,31.0,汕头,2017-07-24,0.6,8.0,8.0,62.0,10.0,23.0,130.0,124.0,115.0,32.0,31.8,31.0,830.0,793.6,750.0,70.0,68.8,68.0,0.0,0.0,0.0
35,39.0,汕头,2017-07-25,0.7,14.0,14.0,78.0,16.0,32.0,175.0,171.0,170.0,33.0,33.0,33.0,842.0,804.4,750.0,65.0,62.2,60.0,0.0,0.0,0.0
36,37.0,汕头,2017-07-26,0.7,11.0,12.0,73.0,20.0,33.0,130.0,126.0,125.0,33.0,32.2,32.0,834.0,800.2,750.0,65.0,63.6,63.0,0.0,0.0,0.0
37,25.0,汕头,2017-07-27,0.6,10.0,9.0,47.0,10.0,24.0,100.0,93.0,85.0,32.0,31.6,31.0,833.0,798.8,750.0,68.0,66.0,65.0,0.0,0.0,0.0
38,56.0,汕头,2017-07-28,0.7,12.0,10.0,108.0,17.0,38.0,95.0,87.0,75.0,33.0,32.6,32.0,835.0,799.0,746.0,64.0,60.2,58.0,0.0,0.0,0.0
39,54.0,汕头,2017-07-29,0.8,18.0,13.0,105.0,28.0,55.0,120.0,85.0,40.0,35.0,34.2,34.0,683.0,655.8,609.0,59.0,57.0,55.0,0.0,0.0,0.0
40,51.0,汕头,2017-07-30,0.9,19.0,10.0,97.0,33.0,50.0,320.0,271.0,235.0,35.0,34.6,34.0,690.0,460.2,127.0,63.0,58.0,55.0,0.0,0.0,0.0
41,55.0,汕头,2017-07-31,1.0,20.0,9.0,107.0,35.0,50.0,220.0,220.0,220.0,30.0,29.2,29.0,196.0,187.8,174.0,81.0,79.6,77.0,11.0,6.6,3.0
42,46.0,汕头,2017-08-01,0.9,16.0,8.0,92.0,18.0,36.0,215.0,210.0,205.0,30.0,30.0,30.0,386.0,321.6,266.0,81.0,79.0,78.0,12.0,6.6,1.0
43,48.0,汕头,2017-08-02,0.9,21.0,10.0,58.0,23.0,48.0,200.0,190.0,180.0,32.0,31.8,31.0,782.0,731.0,628.0,71.0,69.0,68.0,6.0,3.8,1.0
44,39.0,汕头,2017-08-03,0.9,22.0,12.0,77.0,22.0,38.0,200.0,196.0,195.0,32.0,31.8,31.0,800.0,764.8,709.0,72.0,69.0,67.0,4.0,2.2,0.0
45,40.0,汕头,2017-08-04,0.7,13.0,10.0,63.0,21.0,39.0,185.0,173.0,165.0,32.0,32.0,32.0,818.0,785.6,738.0,69.0,68.4,68.0,1.0,0.2,0.0
46,46.0,汕头,2017-08-05,0.9,15.0,12.0,70.0,22.0,45.0,210.0,200.0,195.0,33.0,32.8,32.0,800.0,773.0,719.0,69.0,66.2,65.0,0.0,0.0,0.0
47,50.0,汕头,2017-08-06,0.9,14.0,12.0,96.0,25.0,49.0,230.0,215.0,210.0,34.0,34.0,34.0,817.0,761.0,686.0,64.0,61.8,60.0,0.0,0.0,0.0
48,54.0,汕头,2017-08-07,0.7,12.0,10.0,105.0,26.0,45.0,205.0,201.0,195.0,34.0,33.8,33.0,827.0,789.0,730.0,64.0,61.6,60.0,0.0,0.0,0.0
49,32.0,汕头,2017-08-08,0.6,10.0,8.0,58.0,14.0,31.0,215.0,214.0,210.0,33.0,33.0,33.0,818.0,783.2,729.0,65.0,63.8,63.0,1.0,0.6,0.0
50,33.0,汕头,2017-08-09,0.6,9.0,7.0,53.0,14.0,31.0,220.0,217.0,215.0,33.0,33.0,33.0,804.0,776.2,724.0,66.0,64.2,63.0,0.0,0.0,0.0
51,35.0,汕头,2017-08-10,0.6,9.0,7.0,57.0,16.0,35.0,220.0,216.0,215.0,33.0,33.0,33.0,818.0,783.2,725.0,65.0,63.6,63.0,3.0,1.8,0.0
52,42.0,汕头,2017-08-11,0.6,11.0,8.0,61.0,18.0,40.0,220.0,210.0,205.0,33.0,33.0,33.0,767.0,731.8,675.0,67.0,64.6,63.0,0.0,0.0,0.0
53,41.0,汕头,2017-08-12,0.6,12.0,9.0,62.0,18.0,40.0,215.0,211.0,210.0,33.0,33.0,33.0,785.0,738.2,717.0,65.0,64.0,63.0,0.0,0.0,0.0
54,35.0,汕头,2017-08-13,0.6,12.0,10.0,57.0,15.0,34.0,220.0,210.0,205.0,34.0,33.4,33.0,835.0,796.2,740.0,63.0,60.6,59.0,0.0,0.0,0.0
55,34.0,汕头,2017-08-14,0.6,12.0,11.0,63.0,16.0,34.0,220.0,209.0,205.0,34.0,33.6,33.0,838.0,797.2,731.0,62.0,58.4,56.0,0.0,0.0,0.0
56,39.0,汕头,2017-08-15,0.6,14.0,11.0,64.0,16.0,39.0,210.0,207.0,205.0,34.0,34.0,34.0,835.0,794.8,731.0,58.0,56.0,54.0,0.0,0.0,0.0
57,45.0,汕头,2017-08-16,0.7,16.0,14.0,88.0,22.0,43.0,205.0,191.0,185.0,35.0,34.6,34.0,833.0,793.8,730.0,57.0,54.4,53.0,0.0,0.0,0.0
58,47.0,汕头,2017-08-17,0.7,20.0,15.0,89.0,26.0,45.0,185.0,175.0,170.0,34.0,33.8,33.0,821.0,780.8,721.0,63.0,57.0,54.0,0.0,0.0,0.0
59,50.0,汕头,2017-08-18,0.8,22.0,14.0,101.0,30.0,49.0,160.0,155.0,150.0,34.0,33.6,33.0,830.0,790.6,730.0,59.0,55.8,54.0,0.0,0.0,0.0
60,50.0,汕头,2017-08-19,0.7,20.0,14.0,101.0,23.0,40.0,170.0,167.0,165.0,34.0,34.0,34.0,835.0,793.4,730.0,56.0,50.4,47.0,0.0,0.0,0.0
61,53.0,汕头,2017-08-20,0.7,20.0,18.0,104.0,27.0,48.0,210.0,197.0,190.0,35.0,34.8,34.0,828.0,787.0,720.0,55.0,53.0,52.0,0.0,0.0,0.0
62,53.0,汕头,2017-08-20,0.7,20.0,18.0,104.0,27.0,48.0,210.0,197.0,190.0,35.0,34.8,34.0,828.0,787.0,720.0,55.0,53.0,52.0,0.0,0.0,0.0
63,85.0,汕头,2017-08-21,0.9,22.0,14.0,143.0,37.0,64.0,120.0,116.0,105.0,34.0,34.0,34.0,813.0,769.8,703.0,67.0,60.4,56.0,0.0,0.0,0.0
64,54.0,汕头,2017-08-22,1.1,25.0,14.0,75.0,33.0,54.0,80.0,71.0,65.0,33.0,31.8,29.0,425.0,340.4,205.0,80.0,66.2,58.0,19.0,5.8,0.0
65,32.0,汕头,2017-08-23,0.7,8.0,6.0,60.0,12.0,32.0,155.0,151.0,145.0,30.0,29.6,29.0,275.0,189.0,114.0,77.0,75.2,74.0,8.0,4.8,1.0
66,38.0,汕头,2017-08-24,0.7,16.0,8.0,52.0,16.0,36.0,145.0,139.0,135.0,31.0,31.0,31.0,656.0,540.8,368.0,69.0,67.6,67.0,7.0,3.6,0.0
67,32.0,汕头,2017-08-25,0.7,18.0,11.0,50.0,16.0,32.0,130.0,120.0,105.0,33.0,32.4,32.0,803.0,765.0,710.0,62.0,60.4,59.0,3.0,1.8,0.0
68,51.0,汕头,2017-08-26,0.8,18.0,12.0,102.0,21.0,44.0,80.0,75.0,70.0,32.0,31.0,30.0,721.0,501.4,183.0,74.0,69.2,64.0,0.0,0.0,0.0
69,28.0,汕头,2017-08-27,0.6,9.0,8.0,39.0,12.0,28.0,145.0,138.0,135.0,29.0,29.0,29.0,468.0,332.0,215.0,78.0,76.6,76.0,7.0,4.2,1.0
70,26.0,汕头,2017-08-28,0.7,13.0,10.0,52.0,11.0,24.0,155.0,143.0,130.0,31.0,30.8,30.0,795.0,753.6,689.0,71.0,68.6,67.0,8.0,4.6,0.0
71,85.0,汕头,2017-08-29,0.9,19.0,13.0,143.0,24.0,45.0,135.0,122.0,95.0,33.0,32.8,32.0,820.0,774.2,699.0,65.0,60.0,57.0,0.0,0.0,0.0
72,50.0,汕头,2017-08-30,0.8,17.0,12.0,101.0,24.0,43.0,90.0,80.0,65.0,33.0,32.8,32.0,805.0,764.0,689.0,64.0,58.8,55.0,0.0,0.0,0.0
73,55.0,汕头,2017-08-31,0.8,16.0,12.0,106.0,24.0,47.0,80.0,77.0,70.0,33.0,32.2,31.0,803.0,760.4,683.0,69.0,62.6,58.0,1.0,0.2,0.0
74,53.0,汕头,2017-09-01,0.8,19.0,12.0,101.0,30.0,57.0,70.0,67.0,65.0,32.0,31.2,30.0,736.0,683.2,612.0,68.0,63.2,60.0,0.0,0.0,0.0
75,46.0,汕头,2017-09-02,0.8,18.0,11.0,76.0,23.0,45.0,55.0,49.0,40.0,29.0,28.8,28.0,283.0,172.8,27.0,77.0,72.6,69.0,3.0,2.0,1.0
76,40.0,汕头,2017-09-03,0.7,7.0,7.0,81.0,14.0,22.0,110.0,89.0,70.0,29.0,27.8,27.0,358.0,150.2,10.0,86.0,83.2,78.0,17.0,10.2,1.0
77,40.0,汕头,2017-09-04,0.8,14.0,8.0,80.0,13.0,25.0,205.0,197.0,185.0,30.0,30.0,30.0,752.0,690.6,647.0,71.0,70.2,69.0,6.0,3.4,1.0
78,34.0,汕头,2017-09-05,0.8,18.0,12.0,68.0,18.0,30.0,165.0,145.0,125.0,31.0,31.0,31.0,791.0,743.0,668.0,69.0,68.4,68.0,0.0,0.0,0.0
79,72.0,汕头,2017-09-06,0.9,20.0,12.0,127.0,36.0,52.0,150.0,147.0,145.0,33.0,32.8,32.0,800.0,751.4,670.0,65.0,60.8,58.0,0.0,0.0,0.0
80,58.0,汕头,2017-09-07,0.8,18.0,12.0,110.0,33.0,52.0,200.0,181.0,165.0,32.0,31.6,31.0,738.0,688.8,638.0,70.0,66.0,63.0,1.0,0.8,0.0
81,36.0,汕头,2017-09-08,0.8,14.0,12.0,64.0,20.0,33.0,190.0,187.0,185.0,32.0,31.4,31.0,735.0,703.4,647.0,69.0,67.0,65.0,0.0,0.0,0.0
82,34.0,汕头,2017-09-09,0.7,12.0,12.0,68.0,15.0,27.0,175.0,165.0,155.0,32.0,31.2,31.0,793.0,743.6,660.0,71.0,68.0,66.0,0.0,0.0,0.0
83,33.0,汕头,2017-09-10,0.7,14.0,12.0,60.0,17.0,30.0,180.0,175.0,170.0,32.0,31.4,31.0,780.0,720.6,626.0,69.0,67.0,66.0,0.0,0.0,0.0
84,42.0,汕头,2017-09-11,0.8,16.0,14.0,84.0,23.0,38.0,195.0,177.0,170.0,34.0,33.4,33.0,800.0,742.8,653.0,66.0,61.6,59.0,0.0,0.0,0.0
85,71.0,汕头,2017-09-12,1.0,23.0,15.0,126.0,39.0,64.0,100.0,97.0,95.0,33.0,32.4,31.0,783.0,723.2,618.0,74.0,68.4,65.0,3.0,0.8,0.0
86,69.0,汕头,2017-09-13,0.9,16.0,10.0,123.0,25.0,52.0,80.0,76.0,70.0,31.0,30.8,30.0,776.0,728.2,650.0,70.0,67.6,66.0,0.0,0.0,0.0
87,100.0,汕头,2017-09-14,0.9,19.0,12.0,160.0,27.0,57.0,125.0,109.0,85.0,32.0,31.8,31.0,797.0,742.6,650.0,57.0,54.0,52.0,0.0,0.0,0.0
88,102.0,汕头,2017-09-15,1.1,26.0,17.0,163.0,46.0,78.0,260.0,229.0,215.0,33.0,33.0,33.0,786.0,730.4,635.0,60.0,57.8,56.0,1.0,0.6,0.0
89,72.0,汕头,2017-09-16,1.1,25.0,14.0,127.0,36.0,70.0,320.0,315.0,310.0,34.0,33.8,33.0,800.0,748.8,660.0,51.0,49.6,49.0,0.0,0.0,0.0
90,110.0,汕头,2017-09-17,1.0,20.0,14.0,172.0,41.0,68.0,360.0,146.0,30.0,34.0,32.8,32.0,805.0,751.0,660.0,51.0,47.4,44.0,0.0,0.0,0.0
91,104.0,汕头,2017-09-18,0.9,13.0,12.0,165.0,40.0,56.0,105.0,102.0,95.0,30.0,29.8,29.0,785.0,731.8,640.0,67.0,65.2,64.0,0.0,0.0,0.0
92,103.0,汕头,2017-09-19,0.8,18.0,13.0,164.0,33.0,58.0,115.0,107.0,95.0,31.0,30.6,30.0,793.0,737.6,640.0,61.0,58.0,57.0,0.0,0.0,0.0
93,103.0,汕头,2017-09-19,0.8,18.0,13.0,164.0,33.0,58.0,115.0,107.0,95.0,31.0,30.6,30.0,793.0,737.6,640.0,61.0,58.0,57.0,0.0,0.0,0.0
94,85.0,汕头,2017-09-20,0.9,20.0,15.0,143.0,45.0,69.0,155.0,143.0,120.0,32.0,32.0,32.0,775.0,721.8,630.0,61.0,57.8,56.0,0.0,0.0,0.0
95,86.0,汕头,2017-09-21,0.9,22.0,17.0,144.0,42.0,60.0,135.0,134.0,130.0,32.0,31.8,31.0,761.0,700.8,590.0,66.0,62.6,60.0,0.0,0.0,0.0
96,65.0,汕头,2017-09-22,0.9,17.0,13.0,119.0,38.0,55.0,115.0,110.0,100.0,32.0,31.6,31.0,736.0,688.2,610.0,71.0,67.0,65.0,0.0,0.0,0.0
97,57.0,汕头,2017-09-23,0.8,12.0,8.0,109.0,30.0,42.0,105.0,99.0,90.0,32.0,31.8,31.0,743.0,692.8,606.0,68.0,65.6,64.0,0.0,0.0,0.0
98,27.0,汕头,2017-09-24,0.7,10.0,8.0,48.0,14.0,26.0,135.0,125.0,110.0,31.0,31.0,31.0,687.0,646.8,587.0,74.0,73.0,72.0,4.0,2.2,0.0
99,30.0,汕头,2017-09-25,0.7,10.0,9.0,60.0,9.0,23.0,165.0,155.0,145.0,32.0,31.6,31.0,745.0,685.8,578.0,69.0,67.6,67.0,1.0,0.6,0.0
100,46.0,汕头,2017-09-26,0.9,20.0,17.0,93.0,22.0,44.0,210.0,191.0,180.0,34.0,33.6,33.0,775.0,717.0,611.0,59.0,55.6,53.0,0.0,0.0,0.0
101,69.0,汕头,2017-09-27,1.0,25.0,21.0,123.0,31.0,56.0,215.0,193.0,185.0,35.0,34.6,34.0,767.0,710.2,610.0,60.0,55.6,53.0,0.0,0.0,0.0
102,50.0,汕头,2017-09-28,0.8,20.0,21.0,89.0,31.0,48.0,185.0,177.0,175.0,34.0,33.6,33.0,760.0,701.4,600.0,63.0,60.4,59.0,0.0,0.0,0.0
103,52.0,汕头,2017-09-29,0.7,11.0,9.0,103.0,18.0,31.0,100.0,97.0,95.0,31.0,30.8,30.0,741.0,686.8,590.0,73.0,70.4,69.0,1.0,0.6,0.0
104,60.0,汕头,2017-09-30,0.8,12.0,8.0,113.0,22.0,40.0,90.0,87.0,80.0,31.0,30.8,30.0,737.0,683.2,590.0,70.0,66.6,65.0,0.0,0.0,0.0
105,63.0,汕头,2017-10-01,0.7,12.0,8.0,116.0,28.0,44.0,125.0,111.0,95.0,32.0,31.8,31.0,744.0,684.8,580.0,66.0,64.2,63.0,0.0,0.0,0.0
