,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,62.0,汕尾,2017-06-21,0.8,6.0,8.0,50.0,17.0,28.0,210.0,210.0,210.0,29.0,28.2,28.0,450.0,405.6,340.0,83.0,81.4,80.0,3.0,1.8,0.0
1,44.0,汕尾,2017-06-22,0.8,5.0,9.0,50.0,18.0,24.0,205.0,201.0,200.0,29.0,29.0,29.0,686.0,632.0,577.0,82.0,81.2,81.0,0.0,0.0,0.0
2,65.0,汕尾,2017-06-23,0.7,4.0,8.0,47.0,14.0,14.0,195.0,194.0,190.0,29.0,29.0,29.0,831.0,794.0,751.0,82.0,80.6,80.0,0.0,0.0,0.0
3,51.0,汕尾,2017-06-24,0.8,5.0,7.0,57.0,25.0,19.0,220.0,213.0,210.0,29.0,29.0,29.0,829.0,787.8,749.0,79.0,78.0,77.0,0.0,0.0,0.0
4,42.0,汕尾,2017-06-25,0.8,5.0,7.0,61.0,23.0,26.0,225.0,222.0,220.0,29.0,29.0,29.0,821.0,785.4,733.0,79.0,76.6,75.0,0.0,0.0,0.0
5,32.0,汕尾,2017-06-26,0.8,7.0,7.0,50.0,16.0,27.0,225.0,225.0,225.0,29.0,29.0,29.0,810.0,759.0,711.0,82.0,80.6,80.0,1.0,0.6,0.0
6,35.0,汕尾,2017-06-27,0.8,8.0,8.0,56.0,16.0,22.0,225.0,225.0,225.0,30.0,29.8,29.0,717.0,677.4,637.0,80.0,78.8,78.0,0.0,0.0,0.0
7,39.0,汕尾,2017-06-28,0.7,6.0,8.0,59.0,21.0,18.0,220.0,218.0,215.0,30.0,29.8,29.0,836.0,771.0,710.0,80.0,77.2,75.0,0.0,0.0,0.0
8,44.0,汕尾,2017-06-29,0.8,6.0,8.0,55.0,20.0,18.0,215.0,211.0,210.0,30.0,30.0,30.0,850.0,814.2,770.0,75.0,72.6,71.0,0.0,0.0,0.0
9,39.0,汕尾,2017-06-30,0.7,6.0,7.0,49.0,18.0,21.0,160.0,155.0,150.0,30.0,29.8,29.0,841.0,804.6,761.0,74.0,72.8,72.0,0.0,0.0,0.0
10,27.0,汕尾,2017-07-01,0.7,7.0,6.0,55.0,15.0,19.0,215.0,198.0,175.0,30.0,29.8,29.0,839.0,799.0,755.0,75.0,74.2,73.0,0.0,0.0,0.0
11,28.0,汕尾,2017-07-02,0.7,6.0,6.0,40.0,14.0,23.0,200.0,195.0,190.0,30.0,29.4,29.0,818.0,769.8,729.0,76.0,74.2,73.0,5.0,3.0,0.0
12,22.0,汕尾,2017-07-03,0.7,7.0,6.0,45.0,12.0,18.0,195.0,192.0,185.0,30.0,29.8,29.0,777.0,741.2,688.0,73.0,70.6,69.0,1.0,0.6,0.0
13,25.0,汕尾,2017-07-04,0.8,8.0,6.0,51.0,12.0,18.0,150.0,149.0,145.0,30.0,29.6,29.0,753.0,709.0,665.0,78.0,74.2,72.0,7.0,4.2,0.0
14,25.0,汕尾,2017-07-05,0.8,6.0,7.0,50.0,12.0,18.0,120.0,116.0,110.0,30.0,30.0,30.0,829.0,782.0,740.0,72.0,70.2,69.0,0.0,0.0,0.0
15,24.0,汕尾,2017-07-06,0.8,7.0,6.0,49.0,11.0,19.0,130.0,128.0,125.0,29.0,29.0,29.0,831.0,793.4,755.0,78.0,77.2,77.0,9.0,5.4,1.0
16,26.0,汕尾,2017-07-07,0.8,6.0,6.0,52.0,10.0,17.0,190.0,189.0,185.0,29.0,29.0,29.0,830.0,789.8,751.0,80.0,79.4,79.0,14.0,8.2,1.0
17,24.0,汕尾,2017-07-08,0.8,10.0,7.0,40.0,12.0,21.0,215.0,209.0,200.0,29.0,29.0,29.0,783.0,753.0,702.0,76.0,75.2,75.0,10.0,5.8,1.0
18,29.0,汕尾,2017-07-09,0.7,6.0,7.0,40.0,11.0,24.0,190.0,186.0,180.0,29.0,29.0,29.0,840.0,799.0,761.0,79.0,76.4,75.0,0.0,0.0,0.0
19,27.0,汕尾,2017-07-10,0.7,5.0,7.0,54.0,10.0,19.0,200.0,198.0,195.0,30.0,29.2,29.0,841.0,800.8,762.0,76.0,75.2,75.0,0.0,0.0,0.0
20,25.0,汕尾,2017-07-11,0.6,6.0,8.0,50.0,12.0,18.0,160.0,158.0,155.0,30.0,29.8,29.0,841.0,802.6,764.0,76.0,75.2,75.0,0.0,0.0,0.0
21,27.0,汕尾,2017-07-12,0.7,8.0,8.0,55.0,17.0,23.0,130.0,126.0,115.0,31.0,30.2,30.0,840.0,800.8,761.0,75.0,73.6,73.0,0.0,0.0,0.0
