,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,34.0,江门,2017-06-21,0.7,15.0,7.0,57.0,16.0,32.0,190.0,188.0,185.0,32.0,31.8,31.0,837.0,732.8,632.0,69.0,67.4,66.0,3.0,1.6,0.0
1,35.0,江门,2017-06-22,0.6,11.0,4.0,50.0,16.0,33.0,185.0,183.0,180.0,31.0,31.0,31.0,663.0,507.4,367.0,75.0,73.6,73.0,2.0,1.0,0.0
2,27.0,江门,2017-06-23,0.6,14.0,6.0,41.0,12.0,23.0,180.0,180.0,180.0,33.0,32.4,32.0,838.0,781.0,729.0,67.0,66.0,65.0,2.0,0.8,0.0
3,28.0,江门,2017-06-24,0.6,14.0,6.0,47.0,12.0,26.0,195.0,195.0,195.0,33.0,32.8,32.0,845.0,769.2,707.0,67.0,66.4,66.0,2.0,0.6,0.0
4,28.0,江门,2017-06-25,0.6,12.0,6.0,54.0,11.0,27.0,210.0,207.0,205.0,33.0,33.0,33.0,791.0,754.4,709.0,62.0,61.6,61.0,2.0,1.0,0.0
5,28.0,江门,2017-06-26,0.5,12.0,6.0,54.0,12.0,26.0,205.0,203.0,200.0,33.0,32.4,32.0,729.0,690.0,640.0,69.0,67.0,66.0,2.0,1.2,0.0
6,28.0,江门,2017-06-27,0.5,13.0,5.0,46.0,12.0,28.0,210.0,202.0,195.0,33.0,32.2,32.0,528.0,496.4,452.0,67.0,66.0,65.0,0.0,0.0,0.0
7,28.0,江门,2017-06-28,0.5,11.0,6.0,56.0,12.0,25.0,210.0,203.0,195.0,33.0,32.8,32.0,605.0,562.4,489.0,65.0,61.0,58.0,0.0,0.0,0.0
8,26.0,江门,2017-06-29,0.5,12.0,7.0,52.0,13.0,24.0,190.0,186.0,185.0,33.0,32.4,32.0,732.0,707.2,675.0,63.0,61.6,60.0,2.0,1.0,0.0
9,29.0,江门,2017-06-30,0.5,11.0,7.0,59.0,13.0,23.0,175.0,172.0,170.0,33.0,32.8,32.0,828.0,781.6,750.0,59.0,57.4,56.0,0.0,0.0,0.0
10,25.0,江门,2017-07-01,0.5,10.0,6.0,39.0,13.0,23.0,190.0,188.0,185.0,32.0,31.8,31.0,692.0,616.2,481.0,68.0,63.4,61.0,1.0,0.6,0.0
11,26.0,江门,2017-07-02,0.6,13.0,5.0,41.0,13.0,25.0,190.0,186.0,185.0,33.0,32.6,32.0,776.0,703.2,574.0,64.0,60.2,58.0,1.0,0.2,0.0
12,28.0,江门,2017-07-03,0.7,24.0,4.0,41.0,12.0,20.0,175.0,170.0,165.0,28.0,28.0,28.0,182.0,165.4,146.0,83.0,80.2,79.0,2.0,1.4,0.0
13,42.0,江门,2017-07-04,0.9,31.0,5.0,54.0,22.0,31.0,150.0,143.0,130.0,31.0,29.4,28.0,380.0,301.4,234.0,75.0,70.8,67.0,1.0,0.6,0.0
14,41.0,江门,2017-07-05,0.8,33.0,8.0,65.0,22.0,34.0,120.0,113.0,110.0,33.0,32.8,32.0,850.0,779.6,725.0,61.0,59.6,59.0,1.0,0.4,0.0
15,33.0,江门,2017-07-06,0.7,26.0,8.0,49.0,14.0,22.0,130.0,129.0,125.0,32.0,31.8,31.0,850.0,781.6,718.0,68.0,67.2,67.0,6.0,3.2,1.0
16,23.0,江门,2017-07-07,0.6,19.0,7.0,43.0,11.0,19.0,165.0,165.0,165.0,32.0,32.0,32.0,850.0,762.8,703.0,64.0,62.8,62.0,2.0,1.4,1.0
17,25.0,江门,2017-07-08,0.6,15.0,5.0,43.0,13.0,24.0,190.0,180.0,170.0,29.0,27.8,27.0,347.0,258.0,145.0,83.0,79.4,76.0,2.0,1.2,0.0
18,28.0,江门,2017-07-09,0.5,9.0,4.0,50.0,13.0,28.0,185.0,184.0,180.0,33.0,32.6,32.0,833.0,784.8,737.0,64.0,62.0,60.0,0.0,0.0,0.0
19,28.0,江门,2017-07-10,0.5,10.0,5.0,50.0,14.0,28.0,190.0,182.0,175.0,33.0,32.8,32.0,816.0,765.0,709.0,63.0,60.2,59.0,0.0,0.0,0.0
20,32.0,江门,2017-07-11,0.6,17.0,6.0,65.0,13.0,26.0,150.0,144.0,140.0,34.0,33.2,33.0,860.0,791.0,733.0,59.0,56.6,55.0,0.0,0.0,0.0
21,47.0,江门,2017-07-12,0.6,22.0,9.0,94.0,17.0,31.0,140.0,126.0,105.0,34.0,33.2,33.0,860.0,794.8,743.0,57.0,54.8,53.0,1.0,0.4,0.0
22,48.0,江门,2017-07-13,0.6,24.0,9.0,96.0,18.0,36.0,135.0,120.0,105.0,34.0,33.4,33.0,788.0,764.6,742.0,58.0,55.6,54.0,0.0,0.0,0.0
23,31.0,江门,2017-07-14,0.6,19.0,9.0,62.0,12.0,23.0,125.0,121.0,115.0,34.0,33.0,32.0,860.0,790.2,732.0,59.0,56.0,54.0,0.0,0.0,0.0
24,29.0,江门,2017-07-15,0.5,22.0,9.0,58.0,9.0,21.0,115.0,107.0,100.0,33.0,33.0,33.0,860.0,790.2,724.0,57.0,55.4,54.0,0.0,0.0,0.0
25,35.0,江门,2017-07-16,0.7,28.0,9.0,22.0,10.0,22.0,115.0,114.0,110.0,33.0,32.4,32.0,826.0,757.8,700.0,62.0,59.2,58.0,2.0,1.4,0.0
26,34.0,江门,2017-07-17,0.5,22.0,11.0,68.0,12.0,22.0,145.0,122.0,95.0,32.0,31.8,31.0,739.0,671.8,568.0,66.0,63.0,62.0,6.0,2.8,0.0
27,27.0,江门,2017-07-18,0.5,23.0,6.0,31.0,9.0,18.0,130.0,120.0,110.0,27.0,26.8,26.0,209.0,153.6,65.0,87.0,84.0,82.0,2.0,1.2,0.0
28,38.0,江门,2017-07-19,0.6,30.0,9.0,29.0,16.0,30.0,160.0,149.0,130.0,31.0,30.8,30.0,743.0,550.4,369.0,70.0,67.0,65.0,3.0,1.6,1.0
29,51.0,江门,2017-07-20,0.9,31.0,10.0,64.0,25.0,47.0,145.0,138.0,125.0,34.0,33.2,33.0,786.0,731.4,669.0,57.0,56.8,56.0,2.0,0.8,0.0
30,51.0,江门,2017-07-21,0.7,28.0,9.0,102.0,29.0,43.0,130.0,123.0,115.0,34.0,33.2,33.0,715.0,696.6,668.0,59.0,56.2,54.0,5.0,2.8,0.0
31,51.0,江门,2017-07-21,0.7,28.0,9.0,102.0,29.0,43.0,130.0,123.0,115.0,34.0,33.2,33.0,715.0,696.6,668.0,59.0,56.2,54.0,5.0,2.8,0.0
32,87.0,江门,2017-07-22,0.6,33.0,14.0,145.0,22.0,45.0,125.0,110.0,95.0,36.0,35.4,35.0,770.0,739.8,682.0,46.0,43.6,42.0,0.0,0.0,0.0
33,36.0,江门,2017-07-23,0.6,29.0,8.0,46.0,18.0,33.0,110.0,77.0,50.0,31.0,29.8,29.0,413.0,270.2,113.0,73.0,69.8,64.0,1.0,0.6,0.0
34,40.0,江门,2017-07-24,0.5,27.0,9.0,81.0,16.0,29.0,135.0,129.0,120.0,34.0,33.8,33.0,818.0,686.2,567.0,57.0,55.2,54.0,1.0,0.2,0.0
35,67.0,江门,2017-07-25,0.6,32.0,12.0,121.0,19.0,41.0,135.0,130.0,125.0,35.0,34.8,34.0,776.0,741.4,706.0,52.0,49.2,48.0,0.0,0.0,0.0
36,136.0,江门,2017-07-26,0.5,28.0,12.0,200.0,25.0,46.0,120.0,92.0,65.0,36.0,35.8,35.0,782.0,619.2,409.0,48.0,44.4,43.0,0.0,0.0,0.0
37,111.0,江门,2017-07-27,0.7,50.0,12.0,173.0,38.0,68.0,80.0,53.0,35.0,38.0,37.0,35.0,826.0,781.0,716.0,41.0,36.0,33.0,0.0,0.0,0.0
38,202.0,江门,2017-07-28,0.6,36.0,12.0,277.0,35.0,64.0,65.0,56.0,45.0,38.0,37.4,36.0,868.0,790.4,736.0,37.0,33.4,31.0,0.0,0.0,0.0
39,200.0,江门,2017-07-29,0.7,29.0,13.0,266.0,57.0,87.0,345.0,332.0,315.0,38.0,37.4,37.0,783.0,526.8,162.0,45.0,42.6,40.0,0.0,0.0,0.0
40,110.0,江门,2017-07-30,0.7,27.0,13.0,171.0,53.0,80.0,300.0,296.0,290.0,39.0,38.8,38.0,812.0,770.4,726.0,43.0,41.0,40.0,0.0,0.0,0.0
41,92.0,江门,2017-07-31,0.7,18.0,10.0,151.0,43.0,64.0,285.0,274.0,255.0,39.0,38.4,37.0,836.0,730.8,630.0,44.0,39.2,37.0,0.0,0.0,0.0
42,62.0,江门,2017-08-01,0.5,15.0,7.0,115.0,24.0,37.0,230.0,223.0,220.0,37.0,36.6,36.0,789.0,740.0,689.0,50.0,46.8,45.0,0.0,0.0,0.0
43,42.0,江门,2017-08-02,0.7,29.0,9.0,45.0,20.0,40.0,225.0,219.0,210.0,37.0,36.6,36.0,755.0,681.4,583.0,48.0,47.0,46.0,0.0,0.0,0.0
44,41.0,江门,2017-08-03,0.7,29.0,9.0,58.0,20.0,38.0,200.0,196.0,195.0,34.0,32.8,32.0,552.0,415.4,311.0,63.0,59.8,56.0,10.0,6.0,0.0
45,40.0,江门,2017-08-04,0.6,25.0,9.0,81.0,16.0,32.0,190.0,171.0,145.0,34.0,34.0,34.0,840.0,766.4,696.0,59.0,57.0,56.0,6.0,3.4,0.0
46,43.0,江门,2017-08-05,0.6,21.0,8.0,86.0,19.0,38.0,175.0,175.0,175.0,35.0,34.8,34.0,824.0,759.6,701.0,55.0,53.0,52.0,8.0,4.8,0.0
47,49.0,江门,2017-08-06,0.5,16.0,8.0,98.0,18.0,34.0,250.0,228.0,215.0,36.0,35.6,35.0,783.0,721.4,640.0,52.0,49.6,48.0,0.0,0.0,0.0
48,40.0,江门,2017-08-07,0.4,10.0,7.0,80.0,13.0,24.0,245.0,226.0,210.0,36.0,35.8,35.0,805.0,760.8,722.0,50.0,48.4,47.0,0.0,0.0,0.0
49,39.0,江门,2017-08-08,0.5,16.0,7.0,52.0,13.0,34.0,210.0,203.0,195.0,36.0,35.6,35.0,845.0,784.0,728.0,52.0,51.2,50.0,3.0,1.8,0.0
50,35.0,江门,2017-08-09,0.5,20.0,8.0,52.0,15.0,34.0,220.0,218.0,215.0,36.0,35.8,35.0,847.0,781.0,726.0,50.0,48.6,48.0,1.0,0.6,0.0
51,37.0,江门,2017-08-10,0.5,19.0,7.0,49.0,16.0,37.0,215.0,212.0,210.0,36.0,35.8,35.0,754.0,725.4,679.0,51.0,49.6,49.0,0.0,0.0,0.0
52,36.0,江门,2017-08-11,0.5,14.0,6.0,58.0,15.0,35.0,200.0,199.0,195.0,36.0,35.4,35.0,833.0,744.2,659.0,55.0,53.4,52.0,3.0,1.8,0.0
53,33.0,江门,2017-08-12,0.4,11.0,7.0,59.0,15.0,32.0,195.0,195.0,195.0,35.0,34.6,34.0,799.0,728.8,659.0,56.0,54.8,54.0,0.0,0.0,0.0
54,34.0,江门,2017-08-13,0.4,11.0,7.0,52.0,14.0,31.0,195.0,193.0,190.0,35.0,35.0,35.0,806.0,717.2,644.0,54.0,53.0,52.0,0.0,0.0,0.0
55,33.0,江门,2017-08-14,0.4,13.0,7.0,66.0,14.0,29.0,205.0,201.0,200.0,36.0,35.2,35.0,726.0,698.2,670.0,54.0,52.0,50.0,0.0,0.0,0.0
56,29.0,江门,2017-08-15,0.4,15.0,8.0,50.0,11.0,27.0,210.0,207.0,205.0,36.0,35.4,35.0,738.0,697.6,623.0,50.0,48.4,47.0,0.0,0.0,0.0
