,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,41.0,深圳,2017-06-21,0.8,35.0,7.0,37.0,14.0,25.0,195.0,193.0,190.0,30.0,29.8,29.0,837.0,674.8,515.0,76.0,73.8,72.0,0.0,0.0,0.0
1,28.0,深圳,2017-06-22,0.7,22.0,7.0,48.0,15.0,28.0,185.0,184.0,180.0,30.0,30.0,30.0,705.0,568.2,439.0,78.0,77.2,76.0,1.0,0.4,0.0
2,25.0,深圳,2017-06-23,0.6,20.0,7.0,41.0,9.0,18.0,185.0,185.0,185.0,31.0,30.8,30.0,847.0,799.6,757.0,76.0,72.6,71.0,0.0,0.0,0.0
3,28.0,深圳,2017-06-24,0.6,23.0,7.0,39.0,9.0,17.0,200.0,200.0,200.0,31.0,30.6,30.0,850.0,800.2,756.0,76.0,73.2,72.0,0.0,0.0,0.0
4,26.0,深圳,2017-06-25,0.6,21.0,8.0,53.0,8.0,18.0,205.0,205.0,205.0,31.0,30.6,30.0,807.0,766.6,704.0,72.0,69.6,68.0,1.0,0.6,0.0
5,27.0,深圳,2017-06-26,0.6,22.0,8.0,44.0,9.0,21.0,210.0,206.0,205.0,31.0,30.6,30.0,815.0,705.4,599.0,78.0,75.6,74.0,1.0,0.6,0.0
6,28.0,深圳,2017-06-27,0.6,23.0,7.0,41.0,10.0,21.0,215.0,209.0,205.0,31.0,30.6,30.0,711.0,650.6,551.0,76.0,74.0,73.0,0.0,0.0,0.0
7,28.0,深圳,2017-06-28,0.6,23.0,8.0,48.0,9.0,17.0,215.0,209.0,200.0,31.0,30.8,30.0,736.0,654.2,571.0,74.0,71.4,70.0,0.0,0.0,0.0
8,30.0,深圳,2017-06-29,0.6,25.0,8.0,50.0,10.0,18.0,205.0,200.0,195.0,31.0,30.8,30.0,858.0,799.6,746.0,69.0,67.0,66.0,0.0,0.0,0.0
9,28.0,深圳,2017-06-30,0.6,22.0,8.0,47.0,11.0,17.0,185.0,182.0,180.0,31.0,31.0,31.0,857.0,808.0,764.0,67.0,64.4,63.0,0.0,0.0,0.0
10,22.0,深圳,2017-07-01,0.6,18.0,7.0,43.0,9.0,16.0,195.0,191.0,190.0,31.0,30.6,30.0,799.0,755.0,687.0,73.0,68.4,65.0,0.0,0.0,0.0
11,30.0,深圳,2017-07-02,0.7,24.0,7.0,34.0,10.0,20.0,190.0,190.0,190.0,30.0,30.0,30.0,589.0,564.6,520.0,75.0,72.4,70.0,1.0,0.6,0.0
12,37.0,深圳,2017-07-03,0.8,29.0,6.0,28.0,11.0,19.0,200.0,196.0,190.0,30.0,29.6,29.0,440.0,410.6,362.0,75.0,72.6,71.0,1.0,0.6,0.0
13,31.0,深圳,2017-07-04,0.7,25.0,6.0,37.0,9.0,16.0,165.0,163.0,160.0,32.0,31.4,31.0,749.0,675.2,605.0,65.0,61.6,60.0,0.0,0.0,0.0
14,25.0,深圳,2017-07-05,0.7,20.0,6.0,48.0,9.0,18.0,115.0,109.0,100.0,32.0,31.6,31.0,839.0,786.2,735.0,67.0,63.2,61.0,0.0,0.0,0.0
15,26.0,深圳,2017-07-06,0.7,21.0,6.0,36.0,7.0,15.0,130.0,127.0,125.0,31.0,31.0,31.0,850.0,783.0,722.0,69.0,67.6,67.0,2.0,0.8,0.0
16,28.0,深圳,2017-07-07,0.6,22.0,6.0,40.0,7.0,15.0,180.0,177.0,175.0,30.0,29.8,29.0,840.0,785.6,732.0,74.0,71.4,70.0,3.0,1.8,0.0
17,32.0,深圳,2017-07-08,0.7,27.0,6.0,28.0,10.0,19.0,190.0,185.0,175.0,29.0,27.4,26.0,575.0,341.8,77.0,88.0,82.4,75.0,5.0,3.0,1.0
18,25.0,深圳,2017-07-09,0.6,20.0,7.0,48.0,11.0,20.0,185.0,185.0,185.0,31.0,30.8,30.0,850.0,799.4,749.0,75.0,71.2,69.0,1.0,0.6,0.0
19,27.0,深圳,2017-07-10,0.6,22.0,8.0,46.0,11.0,20.0,185.0,183.0,180.0,31.0,30.8,30.0,850.0,792.0,735.0,72.0,68.8,67.0,0.0,0.0,0.0
20,26.0,深圳,2017-07-11,0.6,21.0,7.0,49.0,10.0,17.0,160.0,159.0,155.0,32.0,31.8,31.0,860.0,806.0,758.0,65.0,62.6,61.0,0.0,0.0,0.0
21,27.0,深圳,2017-07-12,0.6,20.0,7.0,55.0,11.0,19.0,140.0,129.0,115.0,32.0,31.8,31.0,850.0,801.2,753.0,64.0,62.0,61.0,8.0,4.8,0.0
22,24.0,深圳,2017-07-13,0.6,18.0,6.0,48.0,10.0,19.0,125.0,123.0,115.0,32.0,31.8,31.0,858.0,801.2,750.0,67.0,63.6,62.0,1.0,0.6,0.0
23,21.0,深圳,2017-07-14,0.6,14.0,6.0,42.0,7.0,15.0,120.0,118.0,115.0,32.0,31.6,31.0,860.0,801.8,751.0,68.0,65.4,64.0,1.0,0.4,0.0
24,21.0,深圳,2017-07-15,0.6,16.0,5.0,42.0,7.0,15.0,105.0,103.0,100.0,32.0,31.8,31.0,850.0,800.6,752.0,64.0,62.4,61.0,0.0,0.0,0.0
25,21.0,深圳,2017-07-16,0.6,17.0,6.0,33.0,7.0,15.0,110.0,106.0,105.0,31.0,30.8,30.0,842.0,784.0,729.0,70.0,67.6,66.0,3.0,1.8,0.0
26,25.0,深圳,2017-07-17,0.7,20.0,5.0,34.0,7.0,12.0,160.0,133.0,100.0,31.0,30.8,30.0,702.0,664.6,602.0,70.0,66.8,65.0,5.0,2.4,0.0
27,27.0,深圳,2017-07-18,0.7,23.0,5.0,26.0,7.0,11.0,130.0,121.0,105.0,29.0,28.2,27.0,274.0,221.6,160.0,80.0,74.6,71.0,1.0,0.6,0.0
28,28.0,深圳,2017-07-19,0.7,23.0,6.0,48.0,10.0,17.0,140.0,136.0,125.0,31.0,30.2,29.0,707.0,666.6,604.0,72.0,68.4,66.0,1.0,0.6,0.0
29,23.0,深圳,2017-07-20,0.6,19.0,6.0,44.0,10.0,20.0,135.0,128.0,120.0,33.0,32.6,32.0,823.0,751.6,679.0,60.0,57.8,56.0,1.0,0.4,0.0
30,24.0,深圳,2017-07-21,0.6,17.0,6.0,49.0,10.0,19.0,120.0,118.0,110.0,33.0,32.8,32.0,847.0,778.4,718.0,58.0,56.8,56.0,1.0,0.6,0.0
31,24.0,深圳,2017-07-21,0.6,17.0,6.0,49.0,10.0,19.0,120.0,118.0,110.0,33.0,32.8,32.0,847.0,778.4,718.0,58.0,56.8,56.0,1.0,0.6,0.0
32,27.0,深圳,2017-07-22,0.6,20.0,7.0,55.0,9.0,19.0,125.0,111.0,100.0,35.0,34.6,34.0,759.0,692.4,579.0,47.0,44.4,43.0,0.0,0.0,0.0
33,27.0,深圳,2017-07-23,0.7,24.0,6.0,35.0,12.0,23.0,125.0,106.0,70.0,29.0,29.0,29.0,340.0,233.8,143.0,75.0,73.4,72.0,8.0,3.8,1.0
34,26.0,深圳,2017-07-24,0.7,21.0,6.0,47.0,9.0,17.0,135.0,130.0,125.0,33.0,32.4,32.0,846.0,774.2,710.0,62.0,59.4,58.0,4.0,2.4,0.0
35,29.0,深圳,2017-07-25,0.6,23.0,6.0,58.0,10.0,18.0,155.0,151.0,145.0,34.0,33.6,33.0,813.0,764.6,720.0,58.0,55.6,54.0,1.0,0.4,0.0
36,41.0,深圳,2017-07-26,0.7,31.0,8.0,82.0,16.0,27.0,155.0,145.0,120.0,35.0,34.8,34.0,814.0,766.8,696.0,52.0,49.0,47.0,0.0,0.0,0.0
37,37.0,深圳,2017-07-27,0.6,24.0,6.0,75.0,16.0,26.0,105.0,85.0,55.0,35.0,34.6,34.0,824.0,744.2,644.0,52.0,47.0,44.0,1.0,0.2,0.0
38,79.0,深圳,2017-07-28,0.6,25.0,8.0,135.0,19.0,32.0,140.0,101.0,65.0,37.0,36.2,35.0,859.0,799.4,754.0,44.0,41.8,40.0,0.0,0.0,0.0
39,151.0,深圳,2017-07-29,0.8,37.0,11.0,216.0,42.0,67.0,290.0,244.0,200.0,37.0,36.0,35.0,752.0,606.8,392.0,49.0,47.0,46.0,0.0,0.0,0.0
40,137.0,深圳,2017-07-30,1.0,48.0,13.0,201.0,65.0,92.0,305.0,290.0,275.0,39.0,38.4,38.0,806.0,645.4,388.0,40.0,37.8,36.0,0.0,0.0,0.0
41,92.0,深圳,2017-07-31,0.9,35.0,12.0,151.0,46.0,65.0,245.0,222.0,205.0,36.0,35.4,34.0,729.0,668.4,611.0,58.0,50.6,47.0,0.0,0.0,0.0
42,44.0,深圳,2017-08-01,0.7,25.0,8.0,88.0,22.0,34.0,210.0,206.0,205.0,34.0,33.8,33.0,838.0,785.0,736.0,58.0,55.4,54.0,0.0,0.0,0.0
43,40.0,深圳,2017-08-02,0.8,33.0,7.0,47.0,16.0,27.0,205.0,196.0,190.0,35.0,34.2,34.0,718.0,679.2,620.0,54.0,52.2,51.0,0.0,0.0,0.0
44,41.0,深圳,2017-08-03,0.7,33.0,7.0,49.0,13.0,22.0,190.0,187.0,180.0,34.0,33.8,33.0,794.0,747.0,699.0,54.0,52.8,52.0,1.0,0.2,0.0
45,38.0,深圳,2017-08-04,0.7,31.0,7.0,49.0,13.0,23.0,180.0,175.0,165.0,33.0,33.0,33.0,835.0,773.6,718.0,60.0,58.2,57.0,0.0,0.0,0.0
46,35.0,深圳,2017-08-05,0.7,27.0,8.0,70.0,17.0,31.0,185.0,183.0,180.0,34.0,34.0,34.0,840.0,786.8,736.0,53.0,51.8,51.0,2.0,1.2,0.0
47,47.0,深圳,2017-08-06,0.7,32.0,9.0,94.0,21.0,34.0,235.0,215.0,205.0,35.0,34.6,34.0,787.0,759.6,718.0,52.0,49.4,48.0,0.0,0.0,0.0
48,41.0,深圳,2017-08-07,0.7,27.0,9.0,83.0,15.0,26.0,220.0,208.0,200.0,35.0,34.6,34.0,838.0,785.0,736.0,53.0,51.2,50.0,1.0,0.6,0.0
49,27.0,深圳,2017-08-08,0.6,22.0,8.0,55.0,10.0,21.0,210.0,205.0,200.0,34.0,33.8,33.0,840.0,786.2,736.0,59.0,55.6,54.0,0.0,0.0,0.0
50,28.0,深圳,2017-08-09,0.7,23.0,7.0,50.0,11.0,23.0,210.0,206.0,205.0,34.0,33.4,33.0,840.0,785.4,735.0,59.0,57.8,57.0,1.0,0.6,0.0
51,32.0,深圳,2017-08-10,0.7,26.0,7.0,46.0,13.0,28.0,205.0,203.0,200.0,33.0,33.0,33.0,775.0,739.4,704.0,61.0,59.4,58.0,0.0,0.0,0.0
52,30.0,深圳,2017-08-11,0.7,22.0,7.0,61.0,15.0,30.0,200.0,199.0,195.0,33.0,33.0,33.0,840.0,784.4,733.0,62.0,59.8,58.0,1.0,0.6,0.0
53,28.0,深圳,2017-08-12,0.6,22.0,7.0,57.0,14.0,27.0,200.0,196.0,195.0,33.0,33.0,33.0,849.0,767.2,693.0,62.0,60.2,59.0,0.0,0.0,0.0
54,25.0,深圳,2017-08-13,0.6,20.0,7.0,51.0,12.0,22.0,200.0,198.0,195.0,33.0,33.0,33.0,850.0,771.4,696.0,61.0,58.8,58.0,0.0,0.0,0.0
55,27.0,深圳,2017-08-14,0.6,22.0,8.0,46.0,11.0,23.0,205.0,202.0,200.0,34.0,33.4,33.0,849.0,780.0,716.0,60.0,57.4,56.0,0.0,0.0,0.0
56,27.0,深圳,2017-08-15,0.6,23.0,9.0,44.0,9.0,18.0,210.0,204.0,200.0,34.0,33.4,33.0,829.0,776.6,726.0,57.0,55.0,54.0,0.0,0.0,0.0
57,37.0,深圳,2017-08-16,0.6,30.0,9.0,48.0,11.0,22.0,205.0,198.0,195.0,34.0,33.6,33.0,786.0,747.2,689.0,53.0,51.2,50.0,0.0,0.0,0.0
58,42.0,深圳,2017-08-17,0.7,34.0,10.0,54.0,15.0,24.0,210.0,200.0,190.0,34.0,34.0,34.0,833.0,781.0,734.0,48.0,47.0,46.0,0.0,0.0,0.0
59,42.0,深圳,2017-08-18,0.7,34.0,9.0,77.0,19.0,32.0,190.0,185.0,180.0,36.0,35.4,35.0,837.0,787.6,741.0,50.0,47.2,46.0,0.0,0.0,0.0
60,36.0,深圳,2017-08-19,0.7,30.0,10.0,63.0,17.0,25.0,200.0,198.0,195.0,35.0,34.8,34.0,821.0,774.8,734.0,48.0,46.0,45.0,0.0,0.0,0.0
61,71.0,深圳,2017-08-20,0.8,38.0,12.0,126.0,22.0,34.0,240.0,224.0,210.0,36.0,35.2,34.0,839.0,789.0,742.0,49.0,46.6,45.0,0.0,0.0,0.0
62,71.0,深圳,2017-08-20,0.8,38.0,12.0,126.0,22.0,34.0,240.0,224.0,210.0,36.0,35.2,34.0,839.0,789.0,742.0,49.0,46.6,45.0,0.0,0.0,0.0
