,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,36.0,肇庆,2017-06-21,1.1,29.0,13.0,71.0,18.0,33.0,185.0,175.0,165.0,31.0,30.2,30.0,710.0,584.0,474.0,84.0,78.2,74.0,4.0,2.4,1.0
1,35.0,肇庆,2017-06-22,1.0,27.0,11.0,49.0,20.0,33.0,185.0,181.0,175.0,30.0,30.0,30.0,566.0,536.4,475.0,75.0,74.2,73.0,1.0,0.2,0.0
2,35.0,肇庆,2017-06-23,0.8,19.0,13.0,59.0,15.0,32.0,180.0,178.0,175.0,31.0,31.0,31.0,831.0,745.4,666.0,79.0,75.0,71.0,3.0,1.8,1.0
3,39.0,肇庆,2017-06-24,0.8,18.0,13.0,78.0,15.0,31.0,195.0,188.0,185.0,32.0,31.2,31.0,854.0,744.0,641.0,80.0,76.2,71.0,4.0,2.4,1.0
4,37.0,肇庆,2017-06-25,0.8,21.0,12.0,72.0,14.0,35.0,205.0,198.0,195.0,32.0,31.2,31.0,696.0,665.6,617.0,77.0,73.2,68.0,2.0,1.2,0.0
5,35.0,肇庆,2017-06-26,0.7,15.0,10.0,71.0,12.0,28.0,205.0,200.0,195.0,32.0,31.8,31.0,851.0,723.6,604.0,77.0,69.6,64.0,4.0,2.6,1.0
6,34.0,肇庆,2017-06-27,0.7,15.0,10.0,69.0,12.0,30.0,205.0,201.0,195.0,32.0,31.8,31.0,610.0,577.6,537.0,67.0,65.4,64.0,0.0,0.0,0.0
7,38.0,肇庆,2017-06-28,0.7,20.0,11.0,76.0,13.0,33.0,205.0,197.0,190.0,32.0,31.6,31.0,691.0,658.6,617.0,74.0,65.8,61.0,2.0,0.6,0.0
8,38.0,肇庆,2017-06-29,0.7,18.0,11.0,76.0,13.0,28.0,185.0,176.0,170.0,31.0,31.0,31.0,836.0,686.2,554.0,73.0,70.8,70.0,2.0,1.2,1.0
9,38.0,肇庆,2017-06-30,0.8,24.0,16.0,60.0,17.0,34.0,175.0,175.0,175.0,33.0,32.2,31.0,864.0,759.6,660.0,65.0,60.6,59.0,1.0,0.4,0.0
10,35.0,肇庆,2017-07-01,0.7,15.0,13.0,70.0,15.0,26.0,185.0,181.0,180.0,30.0,29.8,29.0,538.0,493.8,446.0,81.0,77.8,76.0,3.0,1.8,1.0
11,29.0,肇庆,2017-07-02,0.7,25.0,10.0,59.0,16.0,27.0,190.0,171.0,145.0,30.0,29.4,29.0,540.0,422.6,243.0,88.0,84.8,81.0,10.0,5.0,2.0
12,43.0,肇庆,2017-07-03,0.9,36.0,11.0,35.0,13.0,19.0,105.0,104.0,100.0,26.0,25.2,25.0,112.0,72.2,26.0,98.0,97.0,95.0,4.0,1.8,1.0
13,43.0,肇庆,2017-07-04,1.0,36.0,14.0,64.0,24.0,32.0,145.0,143.0,140.0,28.0,26.8,26.0,320.0,227.8,181.0,91.0,85.6,79.0,0.0,0.0,0.0
14,78.0,肇庆,2017-07-05,1.1,45.0,16.0,134.0,33.0,49.0,125.0,120.0,115.0,32.0,31.2,30.0,850.0,781.2,719.0,78.0,70.8,67.0,2.0,1.4,1.0
15,47.0,肇庆,2017-07-06,0.9,39.0,15.0,67.0,20.0,33.0,120.0,113.0,105.0,30.0,30.0,30.0,749.0,693.0,662.0,80.0,78.2,76.0,3.0,1.8,1.0
16,47.0,肇庆,2017-07-07,0.9,38.0,12.0,55.0,17.0,24.0,150.0,138.0,125.0,30.0,30.0,30.0,738.0,697.6,658.0,80.0,77.6,73.0,3.0,2.2,1.0
17,41.0,肇庆,2017-07-08,0.9,33.0,13.0,30.0,16.0,25.0,160.0,152.0,140.0,30.0,28.8,27.0,716.0,516.4,369.0,86.0,79.2,72.0,1.0,0.6,0.0
18,37.0,肇庆,2017-07-09,0.9,29.0,15.0,52.0,20.0,33.0,180.0,179.0,175.0,32.0,31.8,31.0,860.0,769.8,687.0,66.0,63.4,62.0,1.0,0.6,0.0
19,32.0,肇庆,2017-07-10,0.8,24.0,13.0,59.0,17.0,29.0,180.0,179.0,175.0,32.0,31.8,31.0,790.0,710.2,627.0,65.0,62.4,61.0,1.0,0.4,0.0
20,36.0,肇庆,2017-07-11,0.8,29.0,12.0,73.0,17.0,32.0,150.0,148.0,145.0,33.0,32.2,32.0,859.0,764.4,711.0,63.0,59.6,56.0,1.0,0.4,0.0
21,75.0,肇庆,2017-07-12,0.9,38.0,13.0,131.0,32.0,52.0,135.0,122.0,110.0,33.0,32.0,31.0,860.0,773.2,722.0,73.0,63.6,57.0,3.0,1.0,0.0
22,101.0,肇庆,2017-07-13,0.8,36.0,12.0,162.0,33.0,51.0,125.0,124.0,120.0,33.0,33.0,33.0,799.0,774.4,744.0,59.0,55.8,54.0,0.0,0.0,0.0
