,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,40.0,东莞,2021-01-01,0.5,25.0,11.0,77.0,24.0,40.0,355,146,10,16,14.6,12,610,559.8,511,11,9.8,9,0,0,0
1,55.0,东莞,2021-01-02,0.6,44.0,13.0,88.0,33.0,56.0,65,43,30,19,17.4,15,618,561.6,510,16,14.8,14,0,0,0
2,83.0,东莞,2021-01-03,0.8,66.0,14.0,79.0,42.0,79.0,355,78,0,22,20.8,19,600,549.4,500,21,20.4,20,0,0,0
3,68.0,东莞,2021-01-04,0.6,54.0,16.0,96.0,36.0,65.0,50,26,5,20,18.6,17,346,247.0,164,29,27.2,26,0,0,0
4,75.0,东莞,2021-01-05,0.7,60.0,16.0,114.0,42.0,74.0,355,147,0,24,23.0,22,598,534.6,476,29,28.2,27,0,0,0
5,75.0,东莞,2021-01-06,0.8,41.0,16.0,129.0,52.0,81.0,340,152,10,20,19.2,17,419,364.4,252,40,36.6,35,0,0,0
6,73.0,东莞,2021-01-07,0.8,26.0,12.0,54.0,53.0,71.0,25,18,15,15,14.8,14,153,138.8,115,47,44.4,43,0,0,0
7,41.0,东莞,2021-01-08,0.6,20.0,9.0,51.0,28.0,41.0,40,29,15,12,10.6,9,366,277.4,224,33,29.6,28,0,0,0
8,37.0,东莞,2021-01-09,0.5,29.0,11.0,60.0,17.0,34.0,50,41,35,14,12.2,10,619,468.8,323,11,10.0,9,0,0,0
9,40.0,东莞,2021-01-10,0.4,25.0,14.0,56.0,22.0,40.0,45,37,30,11,11.0,11,115,93.6,61,19,18.0,17,0,0,0
10,41.0,东莞,2021-01-11,0.5,26.0,10.0,54.0,23.0,41.0,355,82,5,9,8.2,7,105,71.8,47,46,35.2,28,0,0,0
11,59.0,东莞,2021-01-12,0.7,47.0,12.0,78.0,36.0,63.0,355,350,345,17,15.6,13,668,599.2,538,16,13.0,12,0,0,0
12,94.0,东莞,2021-01-13,0.8,75.0,14.0,99.0,53.0,97.0,355,176,15,19,17.6,15,658,589.6,530,11,9.6,9,0,0,0
13,117.0,东莞,2021-01-14,1.0,110.0,16.0,158.0,88.0,152.0,315,256,225,20,19.2,17,648,471.8,347,16,12.2,10,0,0,0
14,115.0,东莞,2021-01-15,1.0,96.0,15.0,171.0,87.0,146.0,240,200,65,22,21.4,20,630,479.2,333,38,37.0,36,0,0,0
15,143.0,东莞,2021-01-16,1.2,126.0,14.0,199.0,109.0,170.0,225,178,110,24,23.2,22,554,394.6,172,35,30.8,29,0,0,0
16,76.0,东莞,2021-01-17,0.6,34.0,12.0,103.0,45.0,101.0,30,24,15,21,19.8,18,630,538.0,449,32,29.4,27,0,0,0
17,70.0,东莞,2021-01-18,0.6,43.0,13.0,104.0,36.0,89.0,350,206,5,19,17.8,16,648,575.2,510,24,22.2,21,0,0,0
18,97.0,东莞,2021-01-19,0.8,77.0,14.0,151.0,63.0,120.0,180,125,75,21,19.8,18,650,582.0,520,23,21.6,21,0,0,0
19,101.0,东莞,2021-01-20,0.9,82.0,14.0,150.0,60.0,120.0,90,66,40,23,21.2,19,564,333.8,106,45,41.4,40,0,0,0
20,127.0,东莞,2021-01-21,1.3,133.0,16.0,100.0,95.0,170.0,305,291,275,23,21.8,20,562,348.2,165,60,54.4,50,0,0,0
21,79.0,东莞,2021-01-22,0.8,63.0,10.0,40.0,38.0,60.0,295,269,245,27,26.0,24,637,457.4,280,54,46.6,42,0,0,0
22,53.0,东莞,2021-01-23,0.7,42.0,9.0,102.0,30.0,48.0,305,142,15,27,25.8,24,650,572.0,500,48,41.6,38,0,0,0
23,66.0,东莞,2021-01-24,0.7,34.0,10.0,119.0,39.0,59.0,160,146,125,25,24.4,23,650,579.8,511,49,46.6,45,0,0,0
24,104.0,东莞,2021-01-25,0.7,45.0,9.0,164.0,38.0,64.0,275,207,95,26,25.2,24,645,555.8,474,50,45.0,42,0,0,0
25,96.0,东莞,2021-01-26,0.9,66.0,11.0,155.0,52.0,86.0,340,317,305,26,25.4,24,658,579.0,508,48,42.6,38,0,0,0
26,102.0,东莞,2021-01-27,0.9,38.0,10.0,162.0,41.0,64.0,225,170,90,25,24.2,22,654,572.6,494,46,42.2,40,0,0,0
27,53.0,东莞,2021-01-28,1.0,42.0,10.0,94.0,37.0,53.0,360,93,15,24,23.2,22,668,561.6,465,41,37.2,35,0,0,0
28,90.0,东莞,2021-01-29,0.8,29.0,10.0,148.0,21.0,40.0,300,164,75,22,20.8,19,680,604.0,530,30,28.4,26,0,0,0
29,134.0,东莞,2021-01-30,0.8,43.0,10.0,197.0,42.0,83.0,185,155,90,24,22.4,20,678,604.4,530,34,28.0,23,0,0,0
30,103.0,东莞,2021-01-31,0.6,40.0,10.0,163.0,28.0,61.0,170,147,105,24,23.6,22,680,603.2,530,35,27.8,23,0,0,0
63,113.0,东莞,2021-02-01,0.6,40.0,10.0,174.0,24.0,50.0,220,190,125,26,25.4,24,677,589.4,509,47,42.4,40,0,0,0
64,90.0,东莞,2021-02-02,0.7,42.0,10.0,148.0,27.0,56.0,235,109,45,29,27.6,26,680,605.0,530,39,34.2,30,0,0,0
65,115.0,东莞,2021-02-03,0.7,29.0,9.0,176.0,31.0,55.0,165,134,110,26,25.2,24,688,607.2,530,41,34.6,30,0,0,0
66,134.0,东莞,2021-02-04,0.7,41.0,10.0,197.0,30.0,63.0,180,151,125,27,25.8,24,690,612.0,538,44,38.0,33,0,0,0
67,102.0,东莞,2021-02-05,0.6,32.0,10.0,162.0,23.0,46.0,210,165,100,27,25.8,24,700,620.4,548,40,34.2,31,0,0,0
68,109.0,东莞,2021-02-06,0.8,47.0,12.0,169.0,34.0,58.0,265,247,215,28,27.4,26,708,624.0,548,35,31.6,30,0,0,0
69,118.0,东莞,2021-02-07,0.7,37.0,10.0,179.0,31.0,49.0,205,173,140,28,27.4,26,708,626.6,550,34,30.6,27,0,0,0
70,79.0,东莞,2021-02-08,0.7,24.0,9.0,134.0,25.0,41.0,240,179,95,25,24.2,24,440,323.2,252,39,38.2,36,0,0,0
71,40.0,东莞,2021-02-09,0.8,14.0,8.0,80.0,24.0,39.0,85,76,70,23,22.2,22,426,255.6,59,54,52.8,52,0,0,0
72,23.0,东莞,2021-02-10,0.8,12.0,8.0,45.0,8.0,10.0,70,62,50,16,15.2,15,20,14.8,10,87,85.8,84,0,0,0
73,28.0,东莞,2021-02-11,0.7,11.0,9.0,56.0,10.0,13.0,355,81,5,23,22.4,21,700,627.0,560,54,47.8,45,0,0,0
74,40.0,东莞,2021-02-12,0.6,8.0,12.0,80.0,26.0,32.0,355,218,20,23,22.4,21,724,643.4,570,44,40.2,38,0,0,0
75,47.0,东莞,2021-02-13,0.6,13.0,10.0,93.0,28.0,34.0,350,217,5,24,23.6,23,718,587.8,511,40,37.8,36,0,0,0
76,72.0,东莞,2021-02-14,0.6,21.0,12.0,126.0,34.0,43.0,310,298,285,26,25.2,24,730,647.6,570,42,36.8,33,0,0,0
