,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,52.0,中山,2021-01-01,0.5,41.0,7.0,64.0,23.0,43.0,15,13,5,16,14.4,13,623,568.4,518,11,9.6,9,0,0,0
1,75.0,中山,2021-01-02,0.6,60.0,7.0,86.0,37.0,62.0,50,38,30,18,17.2,16,623,567.0,516,15,14.2,14,0,0,0
2,100.0,中山,2021-01-03,0.8,80.0,8.0,71.0,49.0,86.0,30,20,15,21,20.4,19,603,550.0,500,25,22.6,21,0,0,0
3,101.0,中山,2021-01-04,0.8,81.0,11.0,82.0,48.0,89.0,35,30,25,20,19.4,18,585,353.6,179,28,26.4,25,0,0,0
4,101.0,中山,2021-01-05,0.8,81.0,10.0,89.0,50.0,90.0,5,4,0,23,21.6,20,489,342.2,207,33,30.2,29,0,0,0
5,80.0,中山,2021-01-06,0.7,64.0,10.0,110.0,53.0,84.0,30,25,15,19,18.4,17,600,430.4,265,41,39.6,39,0,0,0
6,72.0,中山,2021-01-07,0.7,44.0,6.0,41.0,52.0,76.0,360,79,5,15,14.8,14,155,126.2,100,48,46.4,45,0,0,0
7,48.0,中山,2021-01-08,0.6,30.0,4.0,41.0,30.0,48.0,355,144,0,10,9.6,9,258,229.4,190,42,38.8,36,0,0,0
8,57.0,中山,2021-01-09,0.4,45.0,8.0,43.0,18.0,50.0,35,27,20,13,11.4,9,568,351.6,184,14,12.0,11,0,0,0
9,60.0,中山,2021-01-10,0.4,48.0,9.0,44.0,27.0,54.0,20,19,15,12,12.0,12,212,153.0,72,20,18.8,17,0,0,0
10,44.0,中山,2021-01-11,0.4,33.0,6.0,50.0,25.0,44.0,10,5,0,9,8.0,7,101,62.2,31,54,45.8,37,0,0,0
11,68.0,中山,2021-01-12,0.6,54.0,8.0,66.0,40.0,68.0,360,145,0,16,14.4,12,678,605.8,540,18,15.6,14,0,0,0
12,101.0,中山,2021-01-13,0.8,82.0,7.0,70.0,50.0,83.0,45,32,15,18,17.4,16,660,594.4,530,12,9.8,8,0,0,0
13,105.0,中山,2021-01-14,0.8,89.0,8.0,142.0,76.0,103.0,35,18,10,19,18.6,18,415,348.8,206,18,17.2,15,0,0,0
14,98.0,中山,2021-01-15,0.8,78.0,5.0,137.0,54.0,86.0,115,96,70,23,22.2,21,630,547.6,467,48,46.4,44,0,0,0
15,70.0,中山,2021-01-16,0.7,54.0,5.0,123.0,46.0,76.0,125,100,80,23,22.2,21,489,398.8,302,49,40.2,36,0,0,0
16,81.0,中山,2021-01-17,0.7,38.0,7.0,106.0,54.0,111.0,10,9,5,20,18.8,17,643,448.2,256,34,31.4,30,0,0,0
17,73.0,中山,2021-01-18,0.6,51.0,8.0,78.0,39.0,95.0,10,7,5,18,17.2,16,653,580.4,510,23,22.2,22,0,0,0
18,75.0,中山,2021-01-19,0.7,60.0,4.0,106.0,44.0,86.0,130,99,80,20,19.4,18,660,583.4,510,36,31.8,29,0,0,0
19,93.0,中山,2021-01-20,0.7,74.0,5.0,90.0,56.0,94.0,80,66,50,23,21.8,20,640,420.6,219,50,45.2,43,0,0,0
20,133.0,中山,2021-01-21,1.0,106.0,7.0,98.0,101.0,132.0,355,338,330,24,22.6,21,334,239.0,142,60,55.4,52,0,0,0
21,65.0,中山,2021-01-22,0.9,52.0,4.0,46.0,35.0,52.0,355,213,0,27,25.4,23,643,503.0,366,55,47.6,43,0,0,0
22,64.0,中山,2021-01-23,1.0,51.0,4.0,92.0,42.0,68.0,350,98,20,26,25.2,24,660,578.2,500,51,44.6,39,0,0,0
23,57.0,中山,2021-01-24,0.8,36.0,3.0,107.0,39.0,63.0,135,126,120,23,22.2,22,655,546.0,449,62,58.4,56,0,0,0
24,85.0,中山,2021-01-25,0.8,33.0,3.0,141.0,30.0,56.0,110,84,70,25,24.2,23,525,476.2,414,57,51.2,49,0,0,0
25,123.0,中山,2021-01-26,0.9,43.0,4.0,185.0,47.0,74.0,30,25,20,26,25.2,24,663,582.4,510,51,45.4,41,0,0,0
26,75.0,中山,2021-01-27,0.8,36.0,4.0,129.0,34.0,59.0,145,123,85,23,22.4,22,567,477.4,398,56,53.0,51,0,0,0
27,55.0,中山,2021-01-28,1.0,34.0,4.0,99.0,39.0,60.0,40,17,5,23,22.4,21,629,395.4,186,59,46.0,39,0,0,0
28,70.0,中山,2021-01-29,0.8,29.0,4.0,124.0,16.0,39.0,125,92,70,21,20.2,19,690,608.2,530,37,33.0,30,0,0,0
29,66.0,中山,2021-01-30,0.6,29.0,3.0,119.0,34.0,70.0,125,102,85,22,21.4,20,684,608.2,536,35,32.6,30,0,0,0
30,59.0,中山,2021-01-31,0.6,24.0,3.0,110.0,16.0,40.0,135,117,100,23,22.8,22,698,610.2,530,41,34.6,29,0,0,0
63,50.0,中山,2021-02-01,0.6,24.0,2.0,100.0,18.0,34.0,135,115,85,25,24.8,24,673,596.0,527,52,49.8,48,0,0,0
64,133.0,中山,2021-02-02,0.6,28.0,4.0,196.0,28.0,46.0,100,59,25,28,26.6,25,690,607.4,529,47,40.4,35,0,0,0
65,76.0,中山,2021-02-03,0.6,19.0,3.0,131.0,21.0,44.0,130,118,110,24,23.4,22,700,578.0,462,50,43.4,40,0,0,0
66,96.0,中山,2021-02-04,0.6,24.0,4.0,155.0,24.0,51.0,135,108,90,25,24.4,23,708,620.6,539,47,41.6,38,0,0,0
67,66.0,中山,2021-02-05,0.5,20.0,3.0,119.0,20.0,38.0,130,95,65,26,24.6,23,713,625.4,543,45,38.2,34,0,0,0
68,90.0,中山,2021-02-06,0.6,24.0,3.0,148.0,23.0,38.0,110,74,40,27,26.6,26,719,633.6,556,35,31.2,29,0,0,0
69,73.0,中山,2021-02-07,0.6,23.0,3.0,127.0,20.0,32.0,135,126,120,26,25.4,25,719,633.6,556,42,40.4,38,0,0,0
70,76.0,中山,2021-02-08,0.6,20.0,3.0,131.0,26.0,38.0,115,77,45,25,24.0,23,355,282.6,214,45,41.4,38,0,0,0
71,50.0,中山,2021-02-09,0.6,18.0,3.0,100.0,24.0,44.0,125,93,60,21,20.6,20,265,170.4,47,64,60.0,58,0,0,0
72,31.0,中山,2021-02-10,0.7,13.0,2.0,61.0,6.0,10.0,55,45,20,16,15.8,15,34,21.4,10,88,86.8,86,0,0,0
73,33.0,中山,2021-02-11,0.8,12.0,3.0,65.0,10.0,18.0,360,80,5,23,22.0,21,733,644.6,566,56,49.6,45,0,0,0
74,45.0,中山,2021-02-12,0.6,12.0,5.0,90.0,31.0,42.0,30,30,30,23,22.0,21,740,654.4,576,46,41.4,38,0,0,0
75,47.0,中山,2021-02-13,0.6,14.0,4.0,94.0,31.0,38.0,140,117,105,24,23.2,23,638,529.6,371,45,44.0,43,0,0,0
76,54.0,中山,2021-02-14,0.6,12.0,4.0,104.0,25.0,30.0,355,269,65,25,24.8,24,739,652.2,570,44,40.6,38,0,0,0
77,60.0,中山,2021-02-15,0.6,12.0,4.0,111.0,23.0,31.0,135,106,75,27,26.0,25,756,664.6,580,41,35.6,32,0,0,0
78,50.0,中山,2021-02-16,0.6,14.0,3.0,100.0,24.0,35.0,155,145,135,25,24.4,23,740,654.0,575,51,44.2,41,0,0,0
79,56.0,中山,2021-02-17,0.6,12.0,4.0,107.0,17.0,28.0,25,19,15,24,23.4,22,749,655.4,571,43,38.8,36,0,0,0
80,65.0,中山,2021-02-18,0.5,14.0,4.0,118.0,17.0,34.0,50,45,40,23,22.4,21,769,680.4,600,27,25.8,24,0,0,0
81,89.0,中山,2021-02-19,0.5,18.0,4.0,146.0,32.0,51.0,85,60,35,23,22.8,22,753,669.2,590,43,39.2,37,0,0,0
82,86.0,中山,2021-02-20,0.6,18.0,6.0,143.0,30.0,46.0,145,144,140,25,24.4,24,753,670.2,590,40,38.4,37,0,0,0
83,80.0,中山,2021-02-21,0.6,14.0,4.0,136.0,24.0,36.0,160,156,155,25,24.6,24,759,674.6,598,43,41.8,41,0,0,0
84,80.0,中山,2021-02-22,0.6,16.0,4.0,135.0,24.0,36.0,135,110,60,28,27.0,26,760,677.0,599,39,37.8,37,0,0,0
85,107.0,中山,2021-02-23,0.6,20.0,5.0,167.0,26.0,39.0,140,111,75,28,27.4,27,760,677.8,600,45,41.8,40,0,0,0
86,52.0,中山,2021-02-24,0.5,14.0,4.0,102.0,17.0,34.0,145,134,125,25,24.4,23,760,642.2,532,58,53.8,51,0,0,0
87,35.0,中山,2021-02-25,0.5,16.0,4.0,70.0,14.0,24.0,150,144,135,25,24.6,24,463,377.2,312,62,60.8,60,0,0,0
88,48.0,中山,2021-02-26,0.7,38.0,4.0,28.0,23.0,32.0,335,202,160,26,25.6,25,446,294.0,173,67,64.0,62,0,0,0
89,39.0,中山,2021-02-27,0.8,31.0,5.0,14.0,13.0,33.0,40,18,5,20,20.0,20,228,184.0,102,64,62.6,62,0,0,0
90,43.0,中山,2021-02-28,0.7,25.0,4.0,86.0,16.0,31.0,135,132,130,23,22.6,21,736,424.0,143,71,64.6,62,0,0,0
91,45.0,中山,2021-03-01,0.7,36.0,4.0,52.0,24.0,45.0,170,160,155,25,23.6,23,428,256.6,152,78,74.4,69,0,0,0
92,38.0,中山,2021-03-02,0.9,30.0,5.0,73.0,8.0,26.0,355,286,10,24,22.8,21,780,700.6,626,47,43.8,42,0,0,0
94,43.0,中山,2021-03-03,0.7,34.0,4.0,58.0,21.0,40.0,130,124,120,23,22.8,22,650,579.0,517,55,53.8,53,0,0,0
95,75.0,中山,2021-03-04,1.2,60.0,5.0,10.0,48.0,81.0,180,124,80,20,19.4,19,46,39.4,31,84,82.2,81,0,0,0
96,64.0,中山,2021-03-05,1.0,40.0,4.0,47.0,39.0,77.0,140,130,115,22,22.0,22,119,104.0,84,82,80.6,79,0,0,0
97,33.0,中山,2021-03-06,0.6,26.0,3.0,44.0,17.0,31.0,165,157,150,25,24.8,24,464,330.4,196,78,75.8,74,0,0,0
98,50.0,中山,2021-03-07,1.0,40.0,4.0,32.0,20.0,37.0,10,6,0,22,21.8,21,179,131.0,92,65,61.4,59,0,0,0
99,40.0,中山,2021-03-08,0.7,32.0,4.0,67.0,14.0,32.0,135,134,130,23,22.4,21,534,328.0,138,74,68.4,66,0,0,0
100,62.0,中山,2021-03-09,0.6,29.0,4.0,114.0,22.0,44.0,135,119,105,26,25.4,24,699,605.4,526,60,54.8,52,0,0,0
