,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,42.0,云浮,2021-01-01,0.5,33.0,17.0,63.0,22.0,42.0,360,87,5,16,15.0,13,622,554.0,492,23,21.4,20,0,0,0
1,57.0,云浮,2021-01-02,0.6,44.0,25.0,63.0,31.0,63.0,100,82,70,19,18.2,16,630,560.4,492,22,20.6,20,0,0,0
2,78.0,云浮,2021-01-03,0.6,62.0,47.0,54.0,35.0,79.0,40,37,30,22,21.4,20,618,551.6,490,24,22.8,22,0,0,0
3,59.0,云浮,2021-01-04,0.6,47.0,26.0,78.0,37.0,64.0,100,88,65,20,19.2,17,433,316.0,175,36,30.8,29,0,0,0
4,68.0,云浮,2021-01-05,0.7,54.0,33.0,82.0,42.0,74.0,35,25,15,20,19.0,18,213,183.4,152,39,37.8,37,0,0,0
5,73.0,云浮,2021-01-06,0.9,24.0,16.0,93.0,53.0,67.0,55,44,30,19,18.0,16,474,366.4,242,40,37.0,35,0,0,0
6,85.0,云浮,2021-01-07,1.2,20.0,9.0,72.0,63.0,66.0,15,14,10,12,11.2,10,131,97.8,69,52,50.8,50,0,0,0
7,26.0,云浮,2021-01-08,0.8,14.0,7.0,45.0,14.0,26.0,360,77,5,7,6.2,6,224,168.4,90,48,46.8,45,0,0,0
8,40.0,云浮,2021-01-09,0.7,16.0,10.0,50.0,20.0,40.0,60,45,30,13,11.6,11,361,288.6,171,16,14.4,13,0,0,0
9,46.0,云浮,2021-01-10,0.7,24.0,16.0,48.0,27.0,46.0,40,27,10,10,10.0,10,107,68.4,42,23,22.2,22,0,0,0
10,46.0,云浮,2021-01-11,0.8,27.0,14.0,40.0,32.0,44.0,15,11,5,7,6.4,5,237,135.2,38,66,51.8,47,0,0,0
11,56.0,云浮,2021-01-12,0.6,34.0,22.0,82.0,34.0,62.0,355,348,345,17,15.2,12,682,597.6,520,17,13.8,12,0,0,0
12,74.0,云浮,2021-01-13,0.6,59.0,44.0,49.0,43.0,86.0,55,50,40,21,20.0,18,662,579.0,510,14,11.8,11,0,0,0
13,90.0,云浮,2021-01-14,0.8,72.0,64.0,88.0,52.0,98.0,340,244,160,22,20.2,17,657,424.0,259,14,12.0,11,0,0,0
14,104.0,云浮,2021-01-15,0.9,88.0,44.0,164.0,67.0,124.0,240,154,95,25,24.2,23,660,556.6,459,16,14.8,14,0,0,0
15,138.0,云浮,2021-01-16,0.9,88.0,45.0,201.0,81.0,121.0,55,46,35,21,19.8,19,435,255.6,130,55,48.6,42,0,0,0
16,84.0,云浮,2021-01-17,0.8,42.0,16.0,100.0,62.0,115.0,15,10,5,15,14.4,13,636,446.0,314,40,37.2,35,0,0,0
17,73.0,云浮,2021-01-18,0.6,45.0,19.0,91.0,45.0,96.0,360,288,20,19,17.8,16,662,574.6,491,28,26.2,25,0,0,0
18,80.0,云浮,2021-01-19,0.8,61.0,20.0,126.0,59.0,108.0,155,141,120,22,20.6,18,670,582.8,500,29,28.2,27,0,0,0
19,104.0,云浮,2021-01-20,1.2,76.0,13.0,102.0,78.0,132.0,100,92,75,21,19.6,17,525,283.6,106,59,51.2,47,0,0,0
20,82.0,云浮,2021-01-21,1.0,62.0,10.0,30.0,60.0,65.0,150,92,75,24,21.0,19,601,321.2,149,77,68.2,59,0,0,0
21,50.0,云浮,2021-01-22,0.8,40.0,9.0,60.0,30.0,46.0,340,209,20,28,27.0,26,586,499.4,412,51,46.2,43,0,0,0
22,67.0,云浮,2021-01-23,1.0,42.0,14.0,82.0,48.0,78.0,350,214,30,28,26.6,25,672,578.4,490,41,37.8,34,0,0,0
23,87.0,云浮,2021-01-24,1.0,41.0,8.0,119.0,64.0,93.0,155,145,130,26,24.0,20,604,552.6,500,46,42.0,39,0,0,0
24,58.0,云浮,2021-01-25,0.8,34.0,6.0,97.0,40.0,66.0,120,110,90,23,22.4,22,266,243.4,210,59,57.8,57,0,0,0
25,63.0,云浮,2021-01-26,0.8,39.0,10.0,92.0,45.0,75.0,355,210,5,26,25.6,24,580,459.0,331,47,41.6,39,0,0,0
26,80.0,云浮,2021-01-27,1.0,28.0,7.0,135.0,40.0,54.0,140,133,120,24,23.4,22,583,450.2,268,48,45.6,43,0,0,0
27,82.0,云浮,2021-01-28,1.1,42.0,12.0,62.0,60.0,80.0,350,72,0,22,19.4,16,656,323.8,81,59,47.4,40,0,0,0
28,67.0,云浮,2021-01-29,0.9,28.0,7.0,120.0,26.0,45.0,120,114,100,22,21.2,19,700,604.0,514,29,27.6,27,0,0,0
29,77.0,云浮,2021-01-30,1.0,45.0,6.0,132.0,46.0,85.0,125,112,100,25,23.4,21,692,586.6,510,38,34.4,30,0,0,0
30,97.0,云浮,2021-01-31,0.9,46.0,6.0,156.0,58.0,94.0,140,131,120,25,24.4,23,692,590.4,484,45,35.8,30,0,0,0
63,56.0,云浮,2021-02-01,0.8,36.0,6.0,92.0,32.0,62.0,210,175,125,28,27.2,26,593,489.4,343,43,37.8,35,0,0,0
64,87.0,云浮,2021-02-02,0.8,40.0,8.0,144.0,38.0,74.0,110,101,75,28,27.2,26,602,527.4,384,39,36.2,33,0,0,0
65,64.0,云浮,2021-02-03,0.7,21.0,5.0,116.0,40.0,65.0,115,115,115,26,25.2,24,622,540.6,461,46,41.6,39,0,0,0
