,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,41.0,佛山,2021-01-01,0.6,32.0,9.0,66.0,20.0,41.0,15,8,0,16,14.0,12,619,561.4,505,14,12.0,11,0,0,0
1,69.0,佛山,2021-01-02,0.8,55.0,11.0,68.0,32.0,59.0,45,35,25,18,16.8,15,619,561.4,505,16,14.6,14,0,0,0
2,94.0,佛山,2021-01-03,1.0,75.0,17.0,69.0,55.0,102.0,20,16,15,22,20.4,18,609,549.6,495,19,18.6,18,0,0,0
3,69.0,佛山,2021-01-04,0.7,55.0,15.0,70.0,38.0,72.0,25,20,15,19,17.6,16,314,237.0,174,32,29.4,28,0,0,0
4,67.0,佛山,2021-01-05,0.8,53.0,17.0,108.0,47.0,81.0,10,5,0,22,20.8,19,510,383.4,250,33,29.4,28,0,0,0
5,79.0,佛山,2021-01-06,0.9,44.0,13.0,95.0,58.0,93.0,360,85,10,18,16.6,15,294,234.4,174,38,36.4,35,0,0,0
6,72.0,佛山,2021-01-07,1.0,33.0,9.0,44.0,52.0,86.0,10,7,5,13,12.8,12,136,109.0,84,48,46.8,46,0,0,0
7,51.0,佛山,2021-01-08,0.7,23.0,8.0,51.0,27.0,51.0,5,3,0,9,8.2,8,201,162.0,125,44,41.2,38,0,0,0
8,49.0,佛山,2021-01-09,0.6,34.0,11.0,49.0,18.0,49.0,25,22,20,13,11.8,10,583,505.4,428,14,12.8,11,0,0,0
9,50.0,佛山,2021-01-10,0.6,37.0,12.0,42.0,24.0,50.0,20,15,10,12,11.2,10,64,56.2,46,15,15.0,15,0,0,0
10,54.0,佛山,2021-01-11,0.8,38.0,12.0,41.0,36.0,58.0,360,80,10,9,8.0,7,146,77.8,37,55,46.6,40,0,0,0
11,65.0,佛山,2021-01-12,0.8,52.0,13.0,72.0,37.0,72.0,360,145,0,16,14.6,12,670,598.4,529,17,14.0,12,0,0,0
12,103.0,佛山,2021-01-13,0.9,86.0,14.0,63.0,64.0,109.0,105,49,20,18,17.0,15,659,586.4,519,13,10.0,8,0,0,0
13,135.0,佛山,2021-01-14,1.2,136.0,20.0,88.0,103.0,164.0,170,110,20,20,19.0,17,463,359.0,262,12,10.4,10,0,0,0
14,129.0,佛山,2021-01-15,1.3,137.0,18.0,132.0,95.0,168.0,155,131,95,23,21.6,20,634,538.2,446,47,42.6,38,0,0,0
15,159.0,佛山,2021-01-16,1.5,152.0,18.0,162.0,121.0,216.0,310,139,70,21,20.2,19,244,214.4,192,54,48.4,44,0,0,0
16,97.0,佛山,2021-01-17,0.8,43.0,13.0,87.0,52.0,144.0,360,146,0,19,17.8,16,640,541.4,447,33,29.2,27,0,0,0
17,82.0,佛山,2021-01-18,0.7,50.0,13.0,89.0,47.0,114.0,15,14,10,18,16.8,15,650,575.6,505,24,23.2,23,0,0,0
18,107.0,佛山,2021-01-19,1.0,94.0,14.0,110.0,75.0,141.0,125,110,90,20,19.4,18,660,581.8,510,27,25.6,25,0,0,0
19,123.0,佛山,2021-01-20,1.1,126.0,16.0,74.0,81.0,162.0,85,64,40,21,19.4,18,496,242.2,69,49,46.2,42,0,0,0
20,92.0,佛山,2021-01-21,0.8,73.0,9.0,64.0,54.0,92.0,350,340,325,21,19.4,18,368,181.8,43,76,71.0,65,0,0,0
21,59.0,佛山,2021-01-22,0.7,47.0,6.0,56.0,22.0,38.0,350,335,280,26,25.2,23,639,468.8,308,57,49.6,46,0,0,0
22,65.0,佛山,2021-01-23,0.9,47.0,6.0,108.0,47.0,72.0,345,83,0,26,24.8,23,660,576.6,499,49,41.8,36,0,0,0
23,62.0,佛山,2021-01-24,0.8,48.0,7.0,90.0,44.0,73.0,165,149,125,25,24.0,23,558,525.4,487,51,49.4,48,0,0,0
24,83.0,佛山,2021-01-25,0.8,52.0,7.0,139.0,34.0,63.0,160,113,95,25,24.4,23,622,477.2,326,54,48.0,44,0,0,0
25,65.0,佛山,2021-01-26,0.9,42.0,6.0,117.0,38.0,66.0,360,357,350,25,22.6,20,660,484.4,342,46,42.4,39,0,0,0
26,81.0,佛山,2021-01-27,1.0,42.0,6.0,137.0,42.0,67.0,150,128,100,25,23.4,21,669,548.0,433,49,44.8,42,0,0,0
27,57.0,佛山,2021-01-28,1.0,31.0,6.0,81.0,39.0,64.0,360,148,5,22,21.6,21,670,530.6,392,42,37.6,35,0,0,0
28,69.0,佛山,2021-01-29,0.7,34.0,5.0,122.0,24.0,49.0,125,86,55,21,19.8,18,690,606.2,529,28,27.0,26,0,0,0
29,99.0,佛山,2021-01-30,0.8,53.0,6.0,158.0,47.0,92.0,130,122,110,24,22.6,21,689,603.6,525,32,26.4,23,0,0,0
30,100.0,佛山,2021-01-31,0.7,50.0,7.0,159.0,34.0,78.0,145,132,115,24,23.4,23,689,597.8,525,32,27.4,24,0,0,0
63,93.0,佛山,2021-02-01,0.7,50.0,6.0,151.0,28.0,60.0,145,131,90,27,25.8,24,680,591.0,503,47,39.0,34,0,0,0
64,108.0,佛山,2021-02-02,0.6,39.0,6.0,168.0,31.0,63.0,100,62,30,28,26.6,25,690,601.8,520,44,37.0,31,0,0,0
65,93.0,佛山,2021-02-03,0.6,21.0,5.0,151.0,28.0,53.0,150,147,145,26,24.6,23,694,552.0,415,45,38.4,33,0,0,0
66,110.0,佛山,2021-02-04,0.6,28.0,6.0,171.0,32.0,66.0,140,136,130,27,25.6,24,699,611.4,529,48,40.6,34,0,0,0
67,86.0,佛山,2021-02-05,0.5,26.0,5.0,143.0,24.0,49.0,150,145,140,27,25.4,24,710,619.6,535,45,36.8,30,0,0,0
68,103.0,佛山,2021-02-06,0.6,29.0,6.0,163.0,32.0,56.0,140,123,105,28,27.0,26,710,623.2,540,35,30.8,28,0,0,0
69,108.0,佛山,2021-02-07,0.6,31.0,6.0,168.0,31.0,52.0,135,135,135,28,27.4,26,710,624.4,545,35,29.8,25,0,0,0
70,73.0,佛山,2021-02-08,0.6,29.0,6.0,127.0,31.0,53.0,225,143,65,26,24.6,23,345,261.2,143,48,39.0,34,0,0,0
71,35.0,佛山,2021-02-09,0.8,16.0,4.0,62.0,24.0,34.0,45,38,30,21,20.4,20,280,181.8,54,64,60.2,57,0,0,0
72,20.0,佛山,2021-02-10,0.8,12.0,4.0,35.0,4.0,7.0,50,31,0,16,15.2,15,96,41.2,15,87,85.8,84,0,0,0
73,37.0,佛山,2021-02-11,0.7,11.0,4.0,73.0,9.0,14.0,360,216,5,23,22.2,21,728,639.0,559,52,47.4,45,0,0,0
74,42.0,佛山,2021-02-12,0.6,10.0,6.0,84.0,23.0,29.0,355,147,5,23,22.2,21,727,638.8,565,44,40.0,38,0,0,0
75,48.0,佛山,2021-02-13,0.6,15.0,6.0,96.0,24.0,32.0,330,89,15,24,23.4,22,735,637.4,545,41,37.4,35,0,0,0
76,52.0,佛山,2021-02-14,0.6,16.0,6.0,102.0,32.0,40.0,320,312,305,26,24.6,23,739,648.2,565,42,37.8,35,0,0,0
77,73.0,佛山,2021-02-15,0.6,15.0,6.0,127.0,30.0,40.0,130,115,90,28,26.6,25,750,661.0,579,38,31.8,27,0,0,0
78,56.0,佛山,2021-02-16,0.5,13.0,5.0,107.0,24.0,37.0,225,198,165,27,25.6,24,721,561.0,405,51,43.4,39,0,0,0
79,49.0,佛山,2021-02-17,0.6,9.0,4.0,97.0,15.0,24.0,25,18,15,24,23.4,22,749,629.6,516,42,34.8,30,0,0,0
80,59.0,佛山,2021-02-18,0.5,14.0,5.0,110.0,15.0,35.0,45,33,20,24,22.8,21,770,678.6,595,22,19.8,17,0,0,0
81,81.0,佛山,2021-02-19,0.6,24.0,6.0,137.0,36.0,57.0,315,297,280,24,23.4,22,754,660.2,571,41,34.0,29,0,0,0
82,87.0,佛山,2021-02-20,0.6,22.0,7.0,144.0,35.0,56.0,225,206,185,26,25.4,24,759,670.4,589,34,30.6,29,0,0,0
83,100.0,佛山,2021-02-21,0.6,19.0,6.0,159.0,31.0,51.0,175,175,175,28,26.6,25,759,659.4,565,35,32.6,31,0,0,0
84,110.0,佛山,2021-02-22,0.7,26.0,7.0,170.0,33.0,52.0,235,206,185,28,27.4,26,754,668.4,589,39,36.2,34,0,0,0
85,139.0,佛山,2021-02-23,0.7,35.0,7.0,202.0,37.0,61.0,135,101,50,30,29.2,28,760,672.8,590,39,34.8,32,0,0,0
86,75.0,佛山,2021-02-24,0.5,21.0,5.0,129.0,23.0,46.0,175,167,160,28,26.0,24,759,539.2,352,54,46.8,40,0,0,0
87,38.0,佛山,2021-02-25,0.6,30.0,5.0,66.0,20.0,37.0,155,152,150,26,25.0,24,281,244.0,196,59,56.6,55,0,0,0
88,39.0,佛山,2021-02-26,0.7,31.0,5.0,29.0,20.0,34.0,360,343,295,24,22.2,21,560,330.8,205,68,65.8,64,0,0,0
89,32.0,佛山,2021-02-27,0.8,25.0,5.0,21.0,12.0,24.0,15,10,5,19,18.4,18,272,240.2,185,58,57.2,57,0,0,0
90,59.0,佛山,2021-02-28,0.9,47.0,8.0,22.0,30.0,55.0,165,153,135,24,23.2,21,442,312.0,202,58,56.6,55,0,0,0
91,79.0,佛山,2021-03-01,1.1,63.0,9.0,56.0,46.0,85.0,170,158,140,27,25.4,23,681,361.8,136,72,64.2,59,0,0,0
92,32.0,佛山,2021-03-02,0.8,20.0,6.0,63.0,9.0,22.0,355,143,0,23,21.8,20,780,695.2,615,47,43.4,41,0,0,0
94,48.0,佛山,2021-03-03,0.8,38.0,7.0,32.0,23.0,47.0,350,231,50,23,22.0,21,473,365.2,290,51,48.6,47,0,0,0
95,52.0,佛山,2021-03-04,1.0,40.0,6.0,7.0,33.0,54.0,35,15,0,19,19.0,19,100,83.8,56,70,69.0,68,0,0,0
96,68.0,佛山,2021-03-05,1.2,50.0,6.0,7.0,49.0,83.0,140,128,115,23,22.4,21,209,139.6,75,78,74.6,71,0,0,0
97,57.0,佛山,2021-03-06,0.8,45.0,5.0,19.0,28.0,44.0,205,187,165,27,26.6,26,402,359.2,326,70,67.0,65,0,0,0
