,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,42.0,广州,2021-01-01,0.5,33.0,8.0,71.0,18.0,36.0,360,76,0,16,14.2,12,615,561.0,510,13,11.6,11,0,0,0
1,63.0,广州,2021-01-02,0.7,50.0,10.0,75.0,30.0,62.0,45,32,25,18,16.8,15,615,559.2,506,17,15.8,15,0,0,0
2,80.0,广州,2021-01-03,0.8,64.0,12.0,73.0,41.0,89.0,10,8,5,22,20.4,18,604,548.0,496,22,20.6,20,0,0,0
3,65.0,广州,2021-01-04,0.7,52.0,13.0,82.0,34.0,68.0,355,85,5,19,17.6,16,295,232.4,169,32,30.0,29,0,0,0
4,64.0,广州,2021-01-05,0.8,51.0,14.0,112.0,41.0,76.0,355,74,0,23,21.4,19,587,439.6,288,33,30.0,29,0,0,0
5,69.0,广州,2021-01-06,0.8,42.0,12.0,107.0,50.0,84.0,355,146,0,18,17.2,16,285,249.4,204,38,36.8,36,0,0,0
6,62.0,广州,2021-01-07,0.8,30.0,9.0,54.0,44.0,68.0,10,6,5,13,12.6,12,126,106.0,90,48,47.6,47,0,0,0
7,51.0,广州,2021-01-08,0.6,22.0,8.0,54.0,31.0,51.0,10,5,0,9,8.4,8,341,250.8,201,43,39.8,36,0,0,0
8,37.0,广州,2021-01-09,0.4,29.0,9.0,59.0,14.0,37.0,25,23,20,13,11.8,10,584,491.0,408,14,12.6,12,0,0,0
9,45.0,广州,2021-01-10,0.4,31.0,11.0,55.0,21.0,45.0,20,15,5,12,11.4,10,83,71.2,56,17,16.2,16,0,0,0
10,51.0,广州,2021-01-11,0.6,33.0,11.0,53.0,29.0,52.0,360,79,5,9,8.0,7,190,89.4,36,54,45.4,39,0,0,0
11,62.0,广州,2021-01-12,0.7,49.0,12.0,77.0,36.0,72.0,360,356,355,16,14.6,12,669,597.0,530,18,15.4,14,0,0,0
12,95.0,广州,2021-01-13,0.9,76.0,11.0,64.0,48.0,103.0,350,178,10,19,17.4,15,654,585.4,521,13,10.6,9,0,0,0
13,119.0,广州,2021-01-14,1.2,118.0,13.0,74.0,84.0,162.0,335,255,190,20,19.2,17,478,427.8,336,13,10.8,10,0,0,0
14,138.0,广州,2021-01-15,1.4,137.0,13.0,134.0,105.0,191.0,200,179,130,22,21.4,20,630,529.4,434,44,41.4,38,0,0,0
15,170.0,广州,2021-01-16,1.5,143.0,13.0,147.0,129.0,224.0,265,201,145,21,21.0,21,365,272.8,163,45,43.2,42,0,0,0
16,86.0,广州,2021-01-17,0.8,39.0,12.0,101.0,54.0,122.0,5,3,0,19,18.4,17,639,557.2,480,33,29.4,27,0,0,0
17,80.0,广州,2021-01-18,0.7,49.0,12.0,95.0,43.0,110.0,360,148,5,19,17.0,15,649,574.8,505,25,23.6,23,0,0,0
18,101.0,广州,2021-01-19,0.9,81.0,12.0,115.0,58.0,125.0,150,130,95,20,19.2,18,659,582.0,510,25,23.6,23,0,0,0
19,113.0,广州,2021-01-20,1.0,106.0,12.0,92.0,64.0,143.0,85,68,40,21,19.2,18,455,235.8,81,48,44.4,42,0,0,0
20,104.0,广州,2021-01-21,1.0,88.0,11.0,77.0,68.0,128.0,335,327,320,21,19.6,19,304,151.6,64,73,70.2,65,0,0,0
21,62.0,广州,2021-01-22,0.8,49.0,7.0,52.0,22.0,41.0,335,295,275,26,25.2,23,635,496.4,359,57,49.6,46,0,0,0
22,58.0,广州,2021-01-23,0.9,46.0,7.0,101.0,39.0,64.0,330,138,5,26,24.8,23,659,575.6,500,50,43.4,38,0,0,0
23,62.0,广州,2021-01-24,0.8,45.0,8.0,112.0,44.0,68.0,160,149,130,25,23.6,22,646,575.6,506,51,48.4,47,0,0,0
24,70.0,广州,2021-01-25,0.9,56.0,8.0,123.0,33.0,65.0,230,172,115,25,24.4,23,650,481.0,321,54,48.0,44,0,0,0
25,64.0,广州,2021-01-26,1.0,51.0,8.0,105.0,41.0,75.0,355,344,330,25,23.0,21,660,501.0,349,48,44.0,41,0,0,0
26,77.0,广州,2021-01-27,1.0,45.0,8.0,132.0,40.0,66.0,165,148,105,24,23.2,22,661,542.0,426,49,45.2,43,0,0,0
27,56.0,广州,2021-01-28,1.1,39.0,8.0,81.0,38.0,62.0,360,215,0,23,21.8,21,669,533.0,399,44,38.8,36,0,0,0
28,65.0,广州,2021-01-29,0.8,36.0,8.0,118.0,24.0,48.0,155,102,55,21,20.2,18,688,605.6,530,29,28.2,27,0,0,0
29,90.0,广州,2021-01-30,0.9,58.0,9.0,147.0,43.0,85.0,150,138,115,23,21.6,20,685,602.6,525,33,28.2,25,0,0,0
30,96.0,广州,2021-01-31,0.8,56.0,8.0,155.0,35.0,72.0,150,140,120,24,23.2,22,684,596.8,525,34,29.4,25,0,0,0
63,77.0,广州,2021-02-01,0.8,57.0,8.0,132.0,30.0,62.0,165,149,95,26,25.2,24,680,571.4,465,47,40.2,36,0,0,0
64,89.0,广州,2021-02-02,0.8,45.0,8.0,146.0,30.0,60.0,130,71,25,28,26.6,25,689,602.0,521,43,36.6,32,0,0,0
65,96.0,广州,2021-02-03,0.8,35.0,8.0,155.0,34.0,61.0,155,152,150,25,24.4,23,690,573.2,459,45,38.0,33,0,0,0
66,113.0,广州,2021-02-04,0.8,46.0,9.0,174.0,38.0,71.0,145,144,140,26,25.2,24,695,608.8,526,48,41.4,36,0,0,0
67,90.0,广州,2021-02-05,0.7,40.0,8.0,148.0,30.0,56.0,165,159,150,26,25.2,24,709,620.8,540,43,36.8,32,0,0,0
68,106.0,广州,2021-02-06,0.8,49.0,8.0,166.0,38.0,65.0,200,185,170,27,26.4,25,709,622.4,541,36,32.4,30,0,0,0
69,107.0,广州,2021-02-07,0.8,42.0,8.0,167.0,35.0,57.0,150,146,145,28,26.8,25,709,623.6,545,36,31.4,28,0,0,0
70,80.0,广州,2021-02-08,0.7,36.0,8.0,136.0,33.0,54.0,220,159,70,26,24.4,23,373,260.8,125,47,38.6,34,0,0,0
71,37.0,广州,2021-02-09,0.8,18.0,6.0,70.0,24.0,37.0,40,37,35,21,20.2,20,311,203.2,55,63,60.8,59,0,0,0
72,20.0,广州,2021-02-10,0.8,15.0,6.0,38.0,5.0,7.0,65,46,20,15,15.0,15,82,38.2,15,87,86.0,85,0,0,0
73,33.0,广州,2021-02-11,0.8,13.0,6.0,65.0,9.0,13.0,360,217,5,22,21.4,20,689,623.2,560,54,49.8,48,0,0,0
74,43.0,广州,2021-02-12,0.6,12.0,10.0,83.0,30.0,38.0,355,152,10,23,22.2,21,703,627.6,566,45,41.0,39,0,0,0
75,47.0,广州,2021-02-13,0.6,17.0,7.0,93.0,27.0,34.0,310,89,20,24,23.4,22,726,611.6,510,42,38.0,36,0,0,0
76,57.0,广州,2021-02-14,0.7,24.0,7.0,108.0,39.0,52.0,315,307,300,26,24.6,23,734,646.6,566,42,37.8,35,0,0,0
77,67.0,广州,2021-02-15,0.7,23.0,7.0,120.0,34.0,46.0,140,122,90,27,26.4,25,750,660.6,576,40,32.6,27,0,0,0
78,64.0,广州,2021-02-16,0.6,19.0,7.0,116.0,27.0,39.0,210,194,175,26,25.4,24,731,629.6,532,48,42.0,38,0,0,0
79,47.0,广州,2021-02-17,0.7,11.0,6.0,94.0,16.0,24.0,25,19,15,24,23.2,22,744,604.2,466,43,35.4,30,0,0,0
80,55.0,广州,2021-02-18,0.5,16.0,7.0,106.0,21.0,36.0,40,30,20,24,22.6,21,768,678.8,600,23,21.0,19,0,0,0
81,76.0,广州,2021-02-19,0.7,34.0,8.0,131.0,37.0,61.0,310,297,290,24,23.2,22,750,659.8,574,40,34.0,30,0,0,0
82,100.0,广州,2021-02-20,0.7,34.0,9.0,159.0,40.0,65.0,210,197,180,26,25.2,24,754,668.4,590,36,32.8,31,0,0,0
83,100.0,广州,2021-02-21,0.7,32.0,8.0,160.0,34.0,55.0,170,168,160,27,26.0,25,754,656.8,566,38,35.4,34,0,0,0
84,107.0,广州,2021-02-22,0.8,40.0,8.0,167.0,35.0,57.0,225,205,190,28,26.8,25,750,667.2,590,40,36.6,34,0,0,0
85,127.0,广州,2021-02-23,0.8,49.0,9.0,189.0,36.0,62.0,160,124,50,29,28.8,28,759,671.8,592,39,35.6,34,0,0,0
86,81.0,广州,2021-02-24,0.6,31.0,7.0,137.0,24.0,45.0,170,168,165,27,26.0,25,758,619.8,512,49,44.2,40,0,0,0
87,45.0,广州,2021-02-25,0.6,36.0,7.0,83.0,23.0,43.0,160,154,145,25,24.8,24,294,250.0,212,60,57.2,56,0,0,0
88,48.0,广州,2021-02-26,0.8,38.0,8.0,18.0,20.0,36.0,360,340,295,24,22.6,22,513,337.6,236,70,68.0,65,0,0,0
