,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,43.0,惠州,2021-01-01,0.5,22.0,11.0,81.0,20.0,43.0,20,17,10,15,13.8,12,607,560.4,520,16,15.2,14,0,0,0
1,52.0,惠州,2021-01-02,0.5,30.0,12.0,90.0,28.0,53.0,30,28,25,18,16.8,15,607,562.2,520,21,19.6,19,0,0,0
2,64.0,惠州,2021-01-03,0.6,39.0,12.0,107.0,38.0,77.0,30,23,20,21,20.2,18,590,543.2,501,28,26.6,26,0,0,0
3,60.0,惠州,2021-01-04,0.5,32.0,15.0,103.0,34.0,69.0,355,86,5,20,18.8,17,454,333.8,229,33,31.2,30,0,0,0
4,62.0,惠州,2021-01-05,0.6,34.0,15.0,108.0,38.0,74.0,20,14,5,23,22.2,21,590,537.2,489,33,31.8,31,0,0,0
5,70.0,惠州,2021-01-06,0.6,30.0,14.0,123.0,49.0,74.0,35,24,15,20,18.8,17,584,519.2,457,44,41.2,40,0,0,0
6,70.0,惠州,2021-01-07,0.7,24.0,9.0,48.0,51.0,72.0,15,11,10,15,14.0,13,298,231.6,137,50,48.2,47,0,0,0
7,52.0,惠州,2021-01-08,0.6,18.0,9.0,58.0,27.0,54.0,25,21,15,9,8.2,7,382,277.8,148,33,29.8,28,0,0,0
8,42.0,惠州,2021-01-09,0.4,18.0,9.0,70.0,14.0,42.0,25,18,15,12,10.8,8,536,332.4,140,16,14.6,14,0,0,0
9,47.0,惠州,2021-01-10,0.4,21.0,12.0,61.0,22.0,47.0,30,29,25,10,9.6,9,141,126.0,93,25,23.8,22,0,0,0
10,53.0,惠州,2021-01-11,0.5,24.0,13.0,55.0,30.0,55.0,20,15,5,8,7.0,6,61,45.2,28,49,38.0,32,0,0,0
11,62.0,惠州,2021-01-12,0.6,34.0,12.0,86.0,34.0,74.0,25,14,10,16,14.8,13,660,599.4,544,17,15.2,14,0,0,0
12,71.0,惠州,2021-01-13,0.7,52.0,12.0,97.0,39.0,92.0,35,29,20,19,18.0,16,650,592.6,538,15,12.8,12,0,0,0
13,83.0,惠州,2021-01-14,0.7,66.0,12.0,122.0,50.0,111.0,255,184,5,22,21.4,20,634,574.8,524,18,15.8,15,0,0,0
14,102.0,惠州,2021-01-15,0.8,63.0,11.0,162.0,50.0,104.0,325,196,15,24,23.6,22,630,557.0,488,30,24.4,22,0,0,0
15,78.0,惠州,2021-01-16,0.6,48.0,11.0,133.0,44.0,90.0,180,147,90,25,24.2,23,627,565.8,510,30,27.6,26,0,0,0
16,93.0,惠州,2021-01-17,0.8,25.0,12.0,115.0,64.0,135.0,25,23,20,18,17.4,16,627,554.2,485,37,35.2,33,0,0,0
17,73.0,惠州,2021-01-18,0.6,28.0,12.0,109.0,37.0,95.0,20,14,10,19,17.8,16,640,576.6,518,26,24.8,24,0,0,0
18,71.0,惠州,2021-01-19,0.6,41.0,11.0,121.0,40.0,92.0,170,95,35,21,20.2,18,644,580.4,520,28,26.8,26,0,0,0
19,66.0,惠州,2021-01-20,0.6,41.0,11.0,111.0,34.0,82.0,160,96,20,25,23.4,20,601,394.2,217,47,42.2,40,0,0,0
