,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,53.0,揭阳,2021-01-01,0.6,29.0,14.0,83.0,33.0,56.0,25,17,10,14,13.0,11,594,553.6,490,28,25.2,23,0,0,0
1,60.0,揭阳,2021-01-02,0.6,36.0,16.0,99.0,38.0,70.0,115,68,30,17,16.4,15,600,558.6,495,33,27.6,26,0,0,0
2,79.0,揭阳,2021-01-03,0.9,46.0,14.0,114.0,58.0,89.0,120,103,80,20,19.2,18,560,498.2,435,49,45.2,44,0,0,0
3,66.0,揭阳,2021-01-04,0.9,41.0,17.0,119.0,47.0,80.0,120,97,55,21,20.4,19,570,532.2,475,47,43.8,42,0,0,0
4,66.0,揭阳,2021-01-05,0.8,36.0,12.0,119.0,42.0,70.0,360,88,0,23,22.0,21,570,532.2,478,42,39.4,37,0,0,0
5,62.0,揭阳,2021-01-06,0.8,29.0,13.0,107.0,44.0,65.0,105,81,30,19,18.8,18,538,493.8,426,50,47.8,47,0,0,0
6,67.0,揭阳,2021-01-07,0.9,29.0,10.0,33.0,48.0,69.0,65,34,5,18,17.4,16,539,405.8,214,57,50.8,47,0,0,0
7,42.0,揭阳,2021-01-08,0.7,19.0,7.0,46.0,24.0,42.0,345,341,335,12,10.0,9,518,352.2,176,40,30.2,26,0,0,0
8,51.0,揭阳,2021-01-09,0.5,22.0,9.0,59.0,23.0,51.0,355,145,0,14,12.8,11,600,564.0,510,18,16.4,15,0,0,0
9,57.0,揭阳,2021-01-10,0.6,36.0,16.0,54.0,36.0,64.0,355,347,340,8,8.0,8,53,44.2,42,31,30.4,30,0,0,0
10,44.0,揭阳,2021-01-11,0.5,28.0,11.0,42.0,28.0,44.0,340,333,325,8,7.2,7,45,39.0,34,57,53.2,46,0,0,0
11,55.0,揭阳,2021-01-12,0.6,30.0,11.0,74.0,30.0,59.0,355,348,345,16,14.8,13,640,598.0,550,19,16.4,15,0,0,0
12,70.0,揭阳,2021-01-13,0.9,53.0,16.0,89.0,51.0,88.0,145,112,70,18,17.2,15,634,596.2,548,20,18.4,17,0,0,0
13,87.0,揭阳,2021-01-14,1.0,55.0,16.0,126.0,64.0,104.0,165,149,115,20,19.6,18,614,575.4,529,25,21.6,19,0,0,0
14,85.0,揭阳,2021-01-15,1.1,57.0,15.0,111.0,63.0,100.0,150,140,125,23,22.2,21,610,567.0,520,31,27.2,25,0,0,0
15,89.0,揭阳,2021-01-16,1.0,44.0,15.0,117.0,66.0,101.0,115,106,90,23,22.4,21,600,559.0,515,47,39.0,35,0,0,0
16,82.0,揭阳,2021-01-17,0.8,31.0,13.0,110.0,57.0,113.0,45,19,0,20,19.2,18,573,533.2,486,45,41.0,39,0,0,0
17,71.0,揭阳,2021-01-18,0.7,30.0,11.0,117.0,46.0,92.0,115,63,0,19,18.2,16,610,568.8,530,35,32.4,31,0,0,0
18,67.0,揭阳,2021-01-19,0.7,33.0,13.0,107.0,40.0,83.0,125,102,70,20,19.2,18,620,576.8,535,41,33.8,30,0,0,0
19,73.0,揭阳,2021-01-20,0.8,34.0,12.0,127.0,41.0,79.0,130,92,5,23,22.2,20,593,437.4,283,47,44.4,43,0,0,0
20,95.0,揭阳,2021-01-21,1.0,37.0,15.0,153.0,57.0,87.0,145,125,95,27,26.4,25,609,551.2,503,45,41.8,40,0,0,0
21,83.0,揭阳,2021-01-22,1.0,36.0,14.0,130.0,61.0,80.0,340,243,155,29,28.2,27,590,539.6,491,41,38.6,36,0,0,0
22,52.0,揭阳,2021-01-23,0.8,23.0,8.0,98.0,36.0,44.0,360,296,70,27,26.4,25,621,570.2,520,45,39.0,35,0,0,0
23,68.0,揭阳,2021-01-24,0.7,19.0,8.0,111.0,49.0,55.0,130,126,120,23,21.8,20,629,484.0,342,59,55.0,51,0,0,0
24,90.0,揭阳,2021-01-25,0.9,25.0,11.0,147.0,42.0,60.0,160,154,140,25,24.0,22,620,574.6,530,50,45.0,42,0,0,0
25,95.0,揭阳,2021-01-26,1.0,28.0,11.0,153.0,54.0,70.0,330,305,285,27,26.2,24,619,574.0,532,45,39.2,36,0,0,0
26,81.0,揭阳,2021-01-27,0.9,22.0,11.0,137.0,47.0,59.0,135,126,105,23,22.0,20,613,561.6,500,61,53.4,49,0,0,0
27,55.0,揭阳,2021-01-28,1.0,22.0,9.0,94.0,39.0,50.0,350,345,340,23,22.8,22,640,588.0,537,40,36.4,34,0,0,0
28,77.0,揭阳,2021-01-29,0.7,17.0,9.0,132.0,26.0,55.0,130,122,110,20,19.0,18,659,606.4,560,45,38.0,33,0,0,0
29,65.0,揭阳,2021-01-30,0.7,22.0,11.0,117.0,34.0,80.0,135,122,90,21,20.0,18,659,606.4,559,37,32.0,29,0,0,0
30,60.0,揭阳,2021-01-31,0.8,28.0,10.0,111.0,35.0,62.0,125,122,120,22,21.8,21,659,604.4,554,41,38.0,35,0,0,0
63,65.0,揭阳,2021-02-01,1.0,32.0,9.0,118.0,43.0,68.0,235,189,160,26,25.2,24,650,597.2,550,44,41.6,39,0,0,0
64,75.0,揭阳,2021-02-02,0.9,27.0,10.0,130.0,50.0,75.0,115,114,110,26,24.0,22,630,591.0,550,56,46.4,38,0,0,0
65,79.0,揭阳,2021-02-03,0.8,19.0,10.0,134.0,37.0,66.0,145,131,110,24,22.8,21,660,609.6,560,41,38.2,36,0,0,0
66,70.0,揭阳,2021-02-04,0.7,19.0,10.0,123.0,37.0,70.0,125,123,120,25,24.0,23,670,614.6,564,43,37.8,35,0,0,0
67,74.0,揭阳,2021-02-05,0.9,20.0,10.0,128.0,43.0,64.0,160,141,115,25,24.4,23,674,619.8,570,46,39.6,36,0,0,0
68,81.0,揭阳,2021-02-06,1.0,24.0,9.0,137.0,58.0,77.0,190,167,150,28,27.4,26,674,620.0,570,38,33.8,31,0,0,0
69,97.0,揭阳,2021-02-07,1.0,18.0,8.0,146.0,72.0,72.0,130,126,120,26,25.2,24,679,622.6,570,44,39.8,37,0,0,0
70,75.0,揭阳,2021-02-08,0.9,10.0,8.0,130.0,49.0,65.0,130,119,110,26,24.6,22,639,594.0,539,56,47.6,42,0,0,0
71,55.0,揭阳,2021-02-09,0.7,9.0,8.0,106.0,28.0,52.0,110,104,90,20,19.8,19,325,292.0,209,55,50.8,49,0,0,0
72,31.0,揭阳,2021-02-10,0.6,9.0,6.0,62.0,14.0,18.0,345,332,310,15,14.2,14,43,33.2,20,91,86.2,75,0,0,0
73,25.0,揭阳,2021-02-11,0.7,7.0,6.0,50.0,15.0,17.0,335,327,320,21,19.8,18,627,372.8,175,75,67.8,62,0,0,0
74,53.0,揭阳,2021-02-12,0.7,7.0,7.0,89.0,37.0,39.0,110,78,10,22,21.2,20,600,450.0,205,60,55.4,53,0,0,0
75,54.0,揭阳,2021-02-13,0.7,8.0,8.0,93.0,38.0,40.0,125,92,60,22,21.6,21,430,385.0,308,62,60.2,59,0,0,0
76,59.0,揭阳,2021-02-14,0.7,9.0,7.0,86.0,42.0,47.0,320,298,275,25,24.0,23,662,596.4,474,53,46.2,42,0,0,0
77,50.0,揭阳,2021-02-15,0.7,8.0,7.0,99.0,33.0,41.0,140,132,120,25,24.4,23,720,667.2,620,41,37.6,35,0,0,0
78,66.0,揭阳,2021-02-16,0.8,10.0,9.0,119.0,39.0,47.0,155,142,120,24,23.2,22,710,656.0,606,46,43.6,42,0,0,0
79,58.0,揭阳,2021-02-17,0.8,9.0,8.0,93.0,41.0,51.0,100,49,15,22,20.8,19,554,393.4,183,63,56.6,54,0,0,0
