,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,49.0,梅州,2021-01-01,0.6,39.0,6.0,56.0,22.0,36.0,345,73,0,14,13.0,11,584,546.2,489,19,17.0,16,0,0,0
1,54.0,梅州,2021-01-02,0.6,43.0,9.0,60.0,28.0,50.0,65,43,15,18,17.0,15,590,549.4,490,21,19.4,18,0,0,0
2,63.0,梅州,2021-01-03,0.8,50.0,8.0,72.0,42.0,72.0,360,285,5,20,19.6,18,570,534.6,480,33,30.2,29,0,0,0
3,63.0,梅州,2021-01-04,0.8,50.0,10.0,82.0,40.0,61.0,350,208,20,23,21.6,20,566,528.8,474,35,32.4,31,0,0,0
4,57.0,梅州,2021-01-05,0.8,42.0,10.0,102.0,40.0,63.0,350,343,335,21,20.2,19,560,526.2,474,38,36.2,35,0,0,0
5,73.0,梅州,2021-01-06,0.8,38.0,10.0,86.0,53.0,64.0,360,215,5,18,16.8,16,456,404.2,331,48,45.8,44,0,0,0
6,54.0,梅州,2021-01-07,1.0,26.0,5.0,28.0,38.0,34.0,340,337,335,14,13.2,12,512,466.0,416,51,48.2,47,0,0,0
7,38.0,梅州,2021-01-08,0.6,20.0,5.0,49.0,26.0,37.0,355,341,330,7,4.8,4,295,230.2,115,30,26.0,19,0,0,0
8,34.0,梅州,2021-01-09,0.4,27.0,6.0,67.0,16.0,32.0,360,352,340,13,11.6,9,598,559.4,510,13,12.0,11,0,0,0
9,42.0,梅州,2021-01-10,0.6,33.0,10.0,54.0,20.0,35.0,355,305,250,8,7.0,6,123,101.2,64,27,26.4,26,0,0,0
10,39.0,梅州,2021-01-11,0.6,26.0,10.0,54.0,27.0,36.0,355,350,345,7,6.4,6,52,48.4,43,45,40.0,34,0,0,0
11,54.0,梅州,2021-01-12,0.6,43.0,8.0,77.0,28.0,54.0,355,351,350,14,13.2,11,630,588.4,544,16,13.8,13,0,0,0
