,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,46.0,汕头,2021-01-01,0.6,22.0,9.0,92.0,25.0,44.0,60,50,40,14,12.8,11,595,554.0,490,36,34.4,33,0,0,0
1,51.0,汕头,2021-01-02,0.6,26.0,12.0,98.0,28.0,51.0,85,73,50,15,14.6,14,600,557.2,490,58,48.0,41,0,0,0
2,60.0,汕头,2021-01-03,0.7,30.0,11.0,112.0,37.0,60.0,80,78,70,17,16.8,16,560,510.0,464,67,61.8,57,0,0,0
3,55.0,汕头,2021-01-04,0.6,22.0,10.0,106.0,26.0,47.0,85,80,65,19,18.2,18,570,530.2,470,68,62.8,58,0,0,0
4,60.0,汕头,2021-01-05,0.6,26.0,10.0,111.0,28.0,47.0,90,81,60,20,19.2,18,570,527.2,461,71,62.6,56,0,0,0
5,50.0,汕头,2021-01-06,0.5,20.0,8.0,99.0,22.0,38.0,80,75,65,17,16.8,16,467,420.4,351,64,61.6,60,0,0,0
6,35.0,汕头,2021-01-07,0.7,22.0,8.0,70.0,22.0,35.0,75,72,65,17,15.4,14,516,458.0,385,73,67.0,59,0,0,0
7,34.0,汕头,2021-01-08,0.8,22.0,9.0,45.0,18.0,34.0,355,281,0,12,11.4,10,355,306.0,230,47,39.4,35,0,0,0
8,42.0,汕头,2021-01-09,0.5,19.0,10.0,78.0,18.0,42.0,80,54,25,13,12.4,11,600,565.0,510,28,23.2,21,0,0,0
9,53.0,汕头,2021-01-10,0.6,27.0,11.0,75.0,26.0,56.0,360,217,0,10,9.2,9,45,41.0,35,40,38.4,36,0,0,0
10,45.0,汕头,2021-01-11,0.7,31.0,13.0,43.0,24.0,45.0,335,332,330,9,8.2,8,40,39.0,35,59,57.8,55,0,0,0
11,48.0,汕头,2021-01-12,0.6,26.0,12.0,89.0,26.0,48.0,355,99,0,15,14.2,13,635,596.2,541,23,21.4,20,0,0,0
12,62.0,汕头,2021-01-13,0.8,44.0,14.0,103.0,42.0,74.0,105,82,55,15,14.4,13,640,599.0,545,31,28.6,27,0,0,0
13,72.0,汕头,2021-01-14,0.9,50.0,14.0,116.0,52.0,85.0,110,97,70,17,16.8,16,610,576.0,530,41,34.4,31,0,0,0
14,65.0,汕头,2021-01-15,0.8,48.0,12.0,109.0,47.0,74.0,120,110,90,19,18.6,18,610,568.0,520,47,42.2,40,0,0,0
15,70.0,汕头,2021-01-16,0.8,36.0,11.0,123.0,50.0,78.0,85,81,75,20,19.4,18,600,562.0,515,68,59.4,54,0,0,0
16,68.0,汕头,2021-01-17,0.5,21.0,8.0,112.0,28.0,86.0,80,77,70,17,16.2,16,583,550.0,507,56,52.4,51,0,0,0
17,66.0,汕头,2021-01-18,0.6,24.0,11.0,118.0,35.0,82.0,100,87,55,16,15.4,15,610,568.2,521,53,45.8,41,0,0,0
18,58.0,汕头,2021-01-19,0.6,23.0,10.0,109.0,26.0,66.0,80,76,65,17,16.8,16,611,576.2,530,57,52.4,47,0,0,0
19,56.0,汕头,2021-01-20,0.6,29.0,10.0,103.0,33.0,62.0,105,80,45,20,19.4,19,461,379.8,262,66,57.4,53,0,0,0
20,74.0,汕头,2021-01-21,0.7,34.0,11.0,128.0,48.0,69.0,110,95,70,22,21.8,21,605,555.4,509,66,59.2,56,0,0,0
21,99.0,汕头,2021-01-22,0.9,39.0,12.0,158.0,54.0,73.0,125,113,95,24,23.6,23,610,552.0,516,61,56.2,54,0,0,0
22,41.0,汕头,2021-01-23,0.5,21.0,8.0,82.0,27.0,31.0,120,110,85,22,21.8,21,611,564.6,516,70,64.6,61,0,0,0
23,67.0,汕头,2021-01-24,0.6,18.0,7.0,120.0,27.0,37.0,90,89,85,19,18.2,17,630,554.4,484,70,67.8,67,0,0,0
24,75.0,汕头,2021-01-25,0.7,21.0,9.0,130.0,29.0,42.0,95,87,70,20,19.6,19,625,580.0,540,62,58.0,56,0,0,0
25,92.0,汕头,2021-01-26,0.7,26.0,10.0,150.0,39.0,52.0,125,98,10,23,22.0,21,630,583.4,540,54,51.0,49,0,0,0
