,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,37.0,河源,2021-01-01,0.6,16.0,10.0,73.0,18.0,33.0,30,21,15,14,12.8,11,591,551.8,510,17,15.0,14,0,0,0
1,48.0,河源,2021-01-02,0.8,30.0,12.0,80.0,28.0,48.0,20,18,15,17,16.2,14,600,555.8,511,21,19.0,18,0,0,0
2,57.0,河源,2021-01-03,0.8,42.0,14.0,88.0,33.0,64.0,15,7,5,20,19.4,18,581,540.6,500,26,25.2,24,0,0,0
3,54.0,河源,2021-01-04,0.8,32.0,15.0,91.0,34.0,58.0,350,272,15,21,20.2,18,580,488.0,398,31,30.0,29,0,0,0
4,67.0,河源,2021-01-05,0.8,21.0,16.0,120.0,35.0,54.0,25,21,15,21,20.0,19,580,520.8,461,35,34.0,33,0,0,0
5,84.0,河源,2021-01-06,1.0,24.0,14.0,109.0,62.0,78.0,360,280,5,18,17.4,16,580,477.0,376,47,43.8,42,0,0,0
6,59.0,河源,2021-01-07,0.9,20.0,8.0,45.0,42.0,52.0,20,17,15,12,11.2,9,403,352.4,253,52,49.4,48,0,0,0
7,51.0,河源,2021-01-08,0.6,16.0,9.0,57.0,28.0,52.0,20,18,15,6,5.2,4,251,130.2,62,38,31.4,25,0,0,0
8,37.0,河源,2021-01-09,0.4,12.0,10.0,73.0,14.0,32.0,35,28,20,11,10.0,9,589,525.4,480,16,14.8,14,0,0,0
9,44.0,河源,2021-01-10,0.5,18.0,14.0,60.0,28.0,44.0,360,87,15,11,9.2,6,237,163.4,45,28,24.2,22,0,0,0
10,51.0,河源,2021-01-11,0.6,26.0,15.0,56.0,34.0,51.0,25,18,10,8,7.0,6,77,49.8,31,40,33.6,30,0,0,0
11,56.0,河源,2021-01-12,0.7,34.0,12.0,88.0,34.0,61.0,30,27,20,15,13.8,12,650,592.2,540,17,15.0,14,0,0,0
12,63.0,河源,2021-01-13,0.8,48.0,11.0,75.0,36.0,75.0,350,338,320,19,18.0,16,640,585.8,530,15,12.8,12,0,0,0
13,68.0,河源,2021-01-14,1.0,54.0,11.0,89.0,39.0,83.0,280,255,195,21,20.4,19,630,574.0,520,16,14.8,14,0,0,0
14,102.0,河源,2021-01-15,1.2,72.0,12.0,162.0,56.0,108.0,285,277,260,23,22.4,21,620,560.4,510,30,26.0,24,0,0,0
15,95.0,河源,2021-01-16,1.0,74.0,12.0,154.0,54.0,104.0,330,284,260,24,23.6,23,611,558.4,510,29,27.8,27,0,0,0
16,94.0,河源,2021-01-17,0.9,22.0,13.0,97.0,62.0,137.0,25,22,20,16,15.8,15,620,556.2,500,40,35.4,33,0,0,0
17,69.0,河源,2021-01-18,0.8,32.0,12.0,100.0,34.0,88.0,35,21,15,17,16.4,15,630,568.0,510,26,25.4,25,0,0,0
18,66.0,河源,2021-01-19,0.8,48.0,10.0,118.0,37.0,81.0,315,228,5,21,20.4,19,640,576.2,520,27,24.8,24,0,0,0
19,65.0,河源,2021-01-20,1.0,52.0,10.0,112.0,39.0,76.0,300,237,20,25,23.4,22,602,477.4,410,43,41.2,39,0,0,0
20,61.0,河源,2021-01-21,0.9,48.0,8.0,113.0,32.0,60.0,280,253,230,25,23.6,20,511,311.2,129,55,47.6,45,0,0,0
21,48.0,河源,2021-01-22,0.8,33.0,8.0,96.0,32.0,48.0,360,320,295,27,26.6,26,551,498.6,444,46,43.6,42,0,0,0
22,52.0,河源,2021-01-23,0.8,14.0,6.0,102.0,32.0,40.0,350,78,0,26,24.4,23,641,572.2,510,47,41.0,38,0,0,0
23,65.0,河源,2021-01-24,1.0,23.0,8.0,117.0,44.0,61.0,240,231,220,25,23.8,23,641,578.4,520,45,41.4,38,0,0,0
