,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,34.0,清远,2021-01-01,0.7,24.0,12.0,68.0,20.0,32.0,360,358,355,14,13.0,11,602,544.8,492,29,27.6,26,0,0,0
1,45.0,清远,2021-01-02,0.8,36.0,12.0,76.0,24.0,44.0,10,9,5,17,16.4,15,610,549.2,493,21,20.2,20,0,0,0
2,55.0,清远,2021-01-03,0.9,41.0,14.0,84.0,30.0,60.0,360,219,5,20,19.4,18,600,542.6,490,26,23.6,22,0,0,0
3,53.0,清远,2021-01-04,0.8,28.0,14.0,85.0,34.0,56.0,265,105,10,20,18.6,16,524,350.4,203,38,33.2,31,0,0,0
4,67.0,清远,2021-01-05,0.9,26.0,16.0,120.0,45.0,67.0,10,6,0,21,20.2,18,587,448.0,321,37,35.8,35,0,0,0
5,99.0,清远,2021-01-06,1.0,25.0,14.0,105.0,74.0,97.0,355,74,0,18,16.2,14,568,394.4,239,44,40.4,39,0,0,0
6,87.0,清远,2021-01-07,1.2,26.0,10.0,53.0,64.0,82.0,360,356,355,10,9.2,8,83,77.0,64,57,56.0,55,0,0,0
7,40.0,清远,2021-01-08,0.9,18.0,8.0,52.0,24.0,40.0,360,151,5,8,6.0,4,393,281.4,190,56,48.2,41,0,0,0
8,33.0,清远,2021-01-09,0.7,19.0,10.0,66.0,12.0,30.0,20,18,15,12,10.8,8,620,398.8,221,25,19.8,17,0,0,0
9,37.0,清远,2021-01-10,0.7,22.0,13.0,59.0,21.0,37.0,20,13,0,12,10.8,10,251,166.8,59,21,20.2,19,0,0,0
10,51.0,清远,2021-01-11,0.9,28.0,10.0,46.0,35.0,52.0,15,9,5,9,7.4,6,308,149.6,62,57,46.8,37,0,0,0
11,48.0,清远,2021-01-12,0.9,33.0,9.0,83.0,26.0,48.0,360,217,5,15,14.0,12,660,586.4,520,21,19.0,18,0,0,0
12,65.0,清远,2021-01-13,1.1,52.0,12.0,70.0,40.0,74.0,355,281,5,20,18.8,17,642,572.8,510,18,14.6,13,0,0,0
13,80.0,清远,2021-01-14,1.1,62.0,14.0,99.0,59.0,103.0,190,182,170,21,20.6,19,642,566.8,497,16,13.8,12,0,0,0
14,130.0,清远,2021-01-15,1.2,82.0,16.0,190.0,99.0,151.0,200,190,185,23,22.8,22,630,551.8,481,33,28.6,27,0,0,0
15,119.0,清远,2021-01-16,1.2,83.0,16.0,156.0,90.0,143.0,235,228,220,23,22.8,22,437,393.8,284,28,25.4,24,0,0,0
16,92.0,清远,2021-01-17,0.9,28.0,14.0,83.0,61.0,133.0,360,355,350,16,15.4,14,630,502.0,380,38,35.2,33,0,0,0
17,79.0,清远,2021-01-18,0.8,34.0,12.0,94.0,43.0,107.0,15,5,0,18,16.8,15,649,568.2,493,29,27.0,26,0,0,0
18,79.0,清远,2021-01-19,0.9,56.0,12.0,111.0,52.0,108.0,180,163,130,20,19.2,18,652,578.0,510,25,23.2,22,0,0,0
19,95.0,清远,2021-01-20,1.0,71.0,12.0,152.0,71.0,133.0,215,161,5,21,19.8,17,337,229.0,101,43,41.4,38,0,0,0
20,63.0,清远,2021-01-21,1.0,50.0,8.0,62.0,40.0,61.0,355,87,10,18,17.6,17,84,65.4,32,86,82.4,78,0,0,0
21,42.0,清远,2021-01-22,0.8,33.0,8.0,60.0,20.0,24.0,355,212,0,25,24.6,23,500,460.6,381,60,55.0,53,0,0,0
22,63.0,清远,2021-01-23,0.9,25.0,8.0,110.0,45.0,54.0,355,278,0,26,24.6,23,658,573.6,490,47,41.6,39,0,0,0
23,80.0,清远,2021-01-24,1.0,40.0,10.0,108.0,59.0,77.0,175,166,150,25,23.4,22,652,574.8,500,48,44.8,43,0,0,0
24,82.0,清远,2021-01-25,0.9,42.0,10.0,138.0,36.0,57.0,225,185,120,25,24.0,21,645,415.4,192,59,48.6,44,0,0,0
