,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,56.0,湛江,2021-01-01,0.6,24.0,24.0,96.0,39.0,62.0,130,97,60,17,16.4,15,665,579.0,500,27,24.8,23,0,0,0
1,56.0,湛江,2021-01-02,0.6,29.0,20.0,104.0,39.0,61.0,130,109,80,18,17.6,17,670,580.8,500,31,26.8,25,0,0,0
2,69.0,湛江,2021-01-03,0.6,33.0,21.0,122.0,41.0,68.0,85,56,45,22,21.4,20,650,561.0,480,35,33.6,33,0,0,0
3,69.0,湛江,2021-01-04,0.6,31.0,22.0,119.0,50.0,77.0,105,100,85,21,20.0,19,518,315.2,128,47,40.8,35,0,0,0
4,74.0,湛江,2021-01-05,0.7,35.0,19.0,106.0,54.0,80.0,345,167,45,20,19.4,19,108,86.6,69,48,46.6,46,0,0,0
5,72.0,湛江,2021-01-06,0.7,24.0,19.0,113.0,52.0,75.0,100,99,95,20,19.4,19,638,351.8,140,57,53.6,51,0,0,0
6,133.0,湛江,2021-01-07,1.0,25.0,18.0,77.0,101.0,109.0,30,23,15,17,17.0,17,358,215.4,104,49,47.6,47,0,0,0
7,32.0,湛江,2021-01-08,0.9,20.0,9.0,34.0,22.0,30.0,360,147,0,9,9.0,9,118,91.6,66,56,53.0,51,0,0,0
8,52.0,湛江,2021-01-09,0.7,20.0,17.0,44.0,35.0,54.0,45,30,25,12,11.6,11,606,349.0,181,33,33.0,33,0,0,0
9,60.0,湛江,2021-01-10,0.7,25.0,16.0,46.0,43.0,60.0,40,32,20,13,12.4,12,266,163.4,84,32,31.2,31,0,0,0
10,46.0,湛江,2021-01-11,0.7,17.0,10.0,51.0,32.0,36.0,360,146,0,8,8.0,8,123,77.4,40,62,57.6,55,0,0,0
11,58.0,湛江,2021-01-12,0.7,32.0,16.0,86.0,41.0,65.0,65,25,10,18,17.0,15,710,606.0,510,15,13.4,12,0,0,0
12,83.0,湛江,2021-01-13,0.8,48.0,22.0,109.0,61.0,92.0,120,103,85,18,17.4,16,694,500.6,342,26,22.2,20,0,0,0
13,73.0,湛江,2021-01-14,0.7,55.0,22.0,124.0,53.0,86.0,140,119,85,21,20.0,19,690,512.0,343,34,29.2,26,0,0,0
14,89.0,湛江,2021-01-15,0.8,45.0,18.0,124.0,66.0,84.0,135,124,115,22,21.6,21,680,583.0,490,46,43.4,42,0,0,0
15,82.0,湛江,2021-01-16,0.6,24.0,9.0,138.0,48.0,57.0,105,78,55,23,22.4,21,670,470.8,302,63,52.8,47,0,0,0
16,85.0,湛江,2021-01-17,0.8,28.0,18.0,121.0,63.0,112.0,360,77,5,21,19.6,18,680,373.8,137,47,40.8,36,0,0,0
17,83.0,湛江,2021-01-18,0.8,33.0,16.0,114.0,59.0,116.0,355,135,5,19,18.4,17,700,591.0,490,33,30.8,29,0,0,0
18,92.0,湛江,2021-01-19,0.8,38.0,19.0,148.0,68.0,113.0,120,114,105,19,18.8,18,700,597.0,500,55,45.4,39,0,0,0
19,48.0,湛江,2021-01-20,0.7,22.0,8.0,91.0,33.0,46.0,95,93,90,20,18.6,18,253,192.4,106,84,79.2,74,0,0,0
20,57.0,湛江,2021-01-21,0.7,22.0,8.0,76.0,40.0,39.0,120,115,105,23,22.6,22,596,531.0,450,73,69.8,67,0,0,0
21,70.0,湛江,2021-01-22,0.8,38.0,12.0,73.0,51.0,64.0,145,139,120,25,25.0,25,683,571.2,471,59,56.0,54,0,0,0
22,113.0,湛江,2021-01-23,0.9,35.0,15.0,108.0,85.0,85.0,135,128,105,26,25.2,25,705,595.0,490,55,48.2,46,0,0,0
23,75.0,湛江,2021-01-24,0.7,17.0,5.0,121.0,55.0,44.0,125,124,120,23,22.4,21,705,599.0,500,72,65.2,62,0,0,0
24,58.0,湛江,2021-01-25,0.7,13.0,4.0,109.0,24.0,39.0,105,105,105,23,22.6,22,679,570.4,466,74,70.4,67,0,0,0
25,55.0,湛江,2021-01-26,0.6,19.0,5.0,106.0,30.0,40.0,135,103,70,25,24.0,22,710,454.2,206,68,57.8,53,0,0,0
26,85.0,湛江,2021-01-27,0.6,15.0,5.0,142.0,35.0,44.0,115,112,105,23,22.4,21,720,603.8,494,68,60.6,56,0,0,0
27,79.0,湛江,2021-01-28,0.8,24.0,13.0,127.0,58.0,73.0,115,48,5,25,24.2,22,706,474.0,256,60,50.0,45,0,0,0
28,81.0,湛江,2021-01-29,0.9,20.0,11.0,137.0,34.0,55.0,120,109,100,20,19.8,19,725,611.0,510,62,51.2,43,0,0,0
29,65.0,湛江,2021-01-30,0.6,14.0,6.0,118.0,28.0,56.0,115,102,90,22,20.8,20,677,577.8,492,66,62.6,57,0,0,0
30,65.0,湛江,2021-01-31,0.5,11.0,6.0,117.0,18.0,42.0,115,109,105,22,21.6,21,720,609.0,500,69,63.2,60,0,0,0
63,46.0,湛江,2021-02-01,0.5,18.0,6.0,92.0,22.0,39.0,130,125,115,24,23.6,23,730,614.6,510,61,59.2,58,0,0,0
64,43.0,湛江,2021-02-02,0.5,20.0,5.0,86.0,20.0,36.0,130,123,115,25,24.8,24,740,619.8,514,56,51.6,47,0,0,0
65,62.0,湛江,2021-02-03,0.6,10.0,5.0,114.0,27.0,44.0,110,106,105,23,22.0,21,740,535.2,346,64,62.2,60,0,0,0
66,63.0,湛江,2021-02-04,0.6,10.0,5.0,115.0,26.0,49.0,125,118,105,23,22.8,22,750,631.0,520,64,60.0,58,0,0,0
67,63.0,湛江,2021-02-05,0.5,9.0,5.0,115.0,25.0,47.0,120,111,95,24,23.4,23,760,630.2,514,56,54.6,53,0,0,0
68,51.0,湛江,2021-02-06,0.6,16.0,7.0,101.0,28.0,46.0,140,129,115,25,24.8,24,755,637.2,530,53,50.6,49,0,0,0
69,54.0,湛江,2021-02-07,0.5,12.0,6.0,104.0,23.0,34.0,125,123,120,25,24.4,24,760,641.0,530,61,53.0,46,0,0,0
70,64.0,湛江,2021-02-08,0.6,9.0,7.0,116.0,31.0,41.0,120,77,45,23,21.4,20,321,136.6,36,72,67.4,60,0,0,0
71,49.0,湛江,2021-02-09,0.6,8.0,5.0,97.0,20.0,28.0,95,93,85,20,19.2,19,98,83.4,62,85,81.8,78,0,0,0
72,26.0,湛江,2021-02-10,0.9,9.0,5.0,51.0,9.0,12.0,330,308,295,21,18.6,17,556,268.8,67,87,81.2,72,0,0,0
73,50.0,湛江,2021-02-11,0.8,10.0,9.0,86.0,35.0,40.0,345,130,20,22,21.4,21,680,610.0,550,64,60.0,58,0,0,0
74,160.0,湛江,2021-02-12,0.8,12.0,23.0,88.0,122.0,132.0,140,133,115,21,20.8,20,571,471.6,321,63,60.8,59,0,0,0
75,68.0,湛江,2021-02-13,0.7,14.0,10.0,89.0,49.0,55.0,140,127,115,21,21.0,21,753,633.0,525,56,55.4,55,0,0,0
76,94.0,湛江,2021-02-14,0.8,19.0,10.0,108.0,70.0,72.0,285,271,255,23,22.8,22,659,612.0,550,55,53.4,52,0,0,0
77,99.0,湛江,2021-02-15,0.8,17.0,12.0,114.0,74.0,72.0,145,138,130,24,23.6,23,790,669.0,560,55,53.2,52,0,0,0
78,62.0,湛江,2021-02-16,0.6,7.0,6.0,114.0,37.0,39.0,130,128,125,23,22.8,22,749,568.2,452,68,66.2,64,0,0,0
79,60.0,湛江,2021-02-17,0.8,12.0,8.0,101.0,43.0,51.0,145,129,90,24,23.2,23,679,622.2,560,60,58.0,57,0,0,0
80,70.0,湛江,2021-02-18,0.6,8.0,6.0,123.0,25.0,39.0,115,104,95,22,22.0,22,800,657.0,525,47,43.6,42,0,0,0
81,67.0,湛江,2021-02-19,0.6,12.0,8.0,120.0,30.0,51.0,135,115,100,22,22.0,22,800,680.0,570,49,47.0,46,0,0,0
82,84.0,湛江,2021-02-20,0.7,21.0,11.0,140.0,40.0,61.0,145,143,140,23,23.0,23,795,677.8,570,50,49.6,49,0,0,0
83,73.0,湛江,2021-02-21,0.6,16.0,7.0,127.0,36.0,45.0,150,142,130,24,23.4,23,800,682.6,574,54,53.0,52,0,0,0
84,63.0,湛江,2021-02-22,0.6,15.0,7.0,115.0,34.0,41.0,145,140,135,25,24.4,24,795,679.0,570,56,54.6,54,0,0,0
85,72.0,湛江,2021-02-23,0.7,27.0,9.0,126.0,42.0,51.0,155,151,150,27,26.4,26,805,687.8,580,48,46.6,45,0,0,0
86,53.0,湛江,2021-02-24,0.4,10.0,5.0,103.0,20.0,35.0,130,128,125,25,24.0,23,773,497.4,241,69,66.0,63,0,0,0
87,41.0,湛江,2021-02-25,0.4,5.0,4.0,81.0,14.0,31.0,145,140,135,26,25.0,24,717,453.8,220,75,69.2,66,0,0,0
88,32.0,湛江,2021-02-26,0.4,6.0,5.0,64.0,14.0,24.0,120,117,110,25,24.8,24,609,415.8,237,79,75.6,73,0,0,0
89,35.0,湛江,2021-02-27,0.7,13.0,7.0,32.0,24.0,28.0,90,59,40,21,20.2,20,205,148.6,106,80,79.6,79,0,0,0
90,49.0,湛江,2021-02-28,0.6,14.0,5.0,97.0,24.0,34.0,105,100,95,22,21.2,21,173,148.0,138,89,87.2,86,0,0,0
91,43.0,湛江,2021-03-01,0.5,8.0,4.0,86.0,17.0,31.0,130,127,120,27,26.2,26,797,653.4,511,70,67.4,66,0,0,0
92,32.0,湛江,2021-03-02,0.8,16.0,11.0,43.0,16.0,32.0,130,86,30,24,23.2,21,740,511.0,290,61,59.2,58,0,0,0
94,48.0,湛江,2021-03-03,0.8,18.0,8.0,74.0,28.0,48.0,95,92,90,21,20.4,20,160,107.8,56,83,81.0,76,0,0,0
95,45.0,湛江,2021-03-04,0.8,20.0,5.0,51.0,31.0,36.0,125,120,110,24,23.0,21,544,267.6,53,93,84.0,78,0,0,0
96,38.0,湛江,2021-03-05,0.6,18.0,4.0,55.0,19.0,38.0,145,139,135,26,26.0,26,735,609.2,490,72,71.0,70,0,0,0
97,30.0,湛江,2021-03-06,0.5,17.0,5.0,57.0,17.0,30.0,150,102,70,27,26.2,25,624,448.0,276,80,74.6,70,0,0,0
98,40.0,湛江,2021-03-07,0.8,13.0,8.0,80.0,27.0,34.0,100,89,65,25,24.0,23,402,321.8,174,75,71.0,68,0,0,0
99,51.0,湛江,2021-03-08,0.6,11.0,5.0,101.0,17.0,32.0,110,106,100,23,22.8,22,594,389.8,178,82,78.8,77,0,0,0
100,56.0,湛江,2021-03-09,0.5,7.0,5.0,107.0,18.0,35.0,105,100,95,24,23.8,23,768,499.8,274,74,70.4,68,0,0,0
