,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,44.0,潮州,2021-01-01,0.6,18.0,10.0,87.0,24.0,40.0,25,20,15,14,13.2,12,592,552.2,490,29,27.0,26,0,0,0
1,48.0,潮州,2021-01-02,0.6,21.0,12.0,96.0,24.0,47.0,120,75,35,16,15.6,15,600,556.8,490,42,33.4,30,0,0,0
2,60.0,潮州,2021-01-03,0.8,32.0,14.0,110.0,42.0,70.0,115,94,65,19,18.6,18,560,514.2,470,53,48.4,47,0,0,0
3,57.0,潮州,2021-01-04,0.8,24.0,13.0,108.0,30.0,53.0,125,102,55,21,19.8,19,570,531.0,470,56,49.8,47,0,0,0
4,60.0,潮州,2021-01-05,0.8,26.0,14.0,112.0,32.0,54.0,100,53,10,22,21.2,20,567,503.8,404,56,47.4,44,0,0,0
5,52.0,潮州,2021-01-06,0.7,23.0,12.0,96.0,34.0,54.0,105,88,50,18,17.4,17,432,369.6,299,57,53.4,52,0,0,0
6,48.0,潮州,2021-01-07,0.8,22.0,10.0,42.0,32.0,48.0,75,52,20,18,16.6,15,501,367.0,180,60,55.2,51,0,0,0
7,32.0,潮州,2021-01-08,0.7,13.0,8.0,51.0,16.0,32.0,345,345,345,11,9.4,8,446,364.6,315,41,33.0,29,0,0,0
8,39.0,潮州,2021-01-09,0.6,13.0,9.0,71.0,17.0,39.0,355,154,10,13,12.4,11,600,565.0,510,18,17.4,17,0,0,0
9,50.0,潮州,2021-01-10,0.6,26.0,11.0,60.0,22.0,50.0,350,338,325,8,8.0,8,52,42.8,30,35,33.6,33,0,0,0
10,38.0,潮州,2021-01-11,0.6,18.0,11.0,52.0,19.0,38.0,340,334,330,8,7.0,6,45,37.4,34,59,55.8,50,0,0,0
11,48.0,潮州,2021-01-12,0.6,19.0,12.0,84.0,25.0,48.0,355,211,0,15,14.2,12,635,596.0,545,21,17.2,15,0,0,0
12,61.0,潮州,2021-01-13,0.8,36.0,16.0,106.0,38.0,72.0,135,108,70,17,16.4,15,632,595.2,542,22,20.8,20,0,0,0
13,75.0,潮州,2021-01-14,0.8,38.0,17.0,130.0,45.0,78.0,160,148,130,19,18.6,18,610,574.2,524,28,23.8,21,0,0,0
14,77.0,潮州,2021-01-15,0.8,38.0,14.0,132.0,42.0,78.0,150,144,135,22,21.2,20,607,567.4,520,33,29.0,27,0,0,0
15,69.0,潮州,2021-01-16,0.8,32.0,14.0,122.0,49.0,84.0,105,96,85,23,21.8,21,597,558.4,510,49,40.6,37,0,0,0
16,71.0,潮州,2021-01-17,0.8,26.0,14.0,112.0,46.0,92.0,55,33,10,19,18.6,18,571,529.2,463,46,43.4,42,0,0,0
17,67.0,潮州,2021-01-18,0.6,22.0,11.0,116.0,38.0,83.0,105,69,5,18,17.2,16,610,568.4,525,40,36.2,34,0,0,0
18,60.0,潮州,2021-01-19,0.6,22.0,12.0,110.0,30.0,69.0,115,97,65,19,18.6,18,615,576.4,530,43,36.4,33,0,0,0
19,70.0,潮州,2021-01-20,0.8,30.0,17.0,124.0,40.0,77.0,130,85,20,23,22.0,20,567,408.6,259,51,47.2,45,0,0,0
20,89.0,潮州,2021-01-21,1.0,32.0,18.0,146.0,52.0,85.0,145,133,110,26,25.4,24,602,556.0,513,48,44.4,42,0,0,0
21,97.0,潮州,2021-01-22,0.9,34.0,18.0,156.0,51.0,80.0,150,130,75,28,26.8,25,590,529.6,436,47,42.6,40,0,0,0
22,50.0,潮州,2021-01-23,0.6,20.0,12.0,86.0,35.0,45.0,355,121,0,26,25.0,24,618,568.6,520,46,44.2,42,0,0,0
23,67.0,潮州,2021-01-24,0.6,16.0,9.0,120.0,42.0,48.0,135,129,125,22,21.2,19,613,523.4,433,62,57.8,55,0,0,0
24,80.0,潮州,2021-01-25,0.8,23.0,12.0,136.0,36.0,57.0,160,152,140,23,22.6,22,620,574.0,532,50,47.6,46,0,0,0
25,106.0,潮州,2021-01-26,0.8,26.0,16.0,166.0,49.0,68.0,345,244,115,26,25.2,24,603,551.8,476,44,40.6,38,0,0,0
26,77.0,潮州,2021-01-27,0.8,20.0,12.0,132.0,37.0,50.0,135,125,110,22,21.0,19,598,546.0,481,63,56.4,53,0,0,0
27,47.0,潮州,2021-01-28,0.8,21.0,10.0,90.0,32.0,47.0,355,214,5,23,22.0,21,640,590.0,543,41,38.4,37,0,0,0
28,77.0,潮州,2021-01-29,0.7,14.0,8.0,132.0,22.0,56.0,125,118,105,19,18.4,18,654,605.8,560,47,39.2,35,0,0,0
29,62.0,潮州,2021-01-30,0.6,18.0,10.0,114.0,29.0,70.0,135,124,100,20,19.4,18,660,609.0,565,42,34.0,30,0,0,0
30,57.0,潮州,2021-01-31,0.7,22.0,12.0,108.0,28.0,57.0,135,129,125,22,21.0,20,652,603.2,557,50,42.4,38,0,0,0
63,71.0,潮州,2021-02-01,0.8,23.0,10.0,125.0,28.0,52.0,225,202,185,25,24.6,24,650,598.4,552,42,39.8,39,0,0,0
64,70.0,潮州,2021-02-02,0.7,17.0,11.0,124.0,32.0,57.0,115,109,100,24,22.8,21,637,598.4,560,58,48.4,41,0,0,0
65,74.0,潮州,2021-02-03,0.8,18.0,10.0,128.0,30.0,62.0,145,132,115,23,22.0,21,660,610.2,562,43,40.6,39,0,0,0
66,69.0,潮州,2021-02-04,0.6,16.0,10.0,122.0,29.0,62.0,130,126,120,24,23.2,22,665,614.2,567,48,41.0,38,0,0,0
67,74.0,潮州,2021-02-05,0.8,16.0,10.0,128.0,38.0,62.0,165,155,140,24,23.6,22,670,619.0,570,46,42.2,40,0,0,0
68,96.0,潮州,2021-02-06,0.8,18.0,9.0,155.0,42.0,64.0,165,159,150,27,26.4,26,670,619.0,570,39,36.8,35,0,0,0
69,86.0,潮州,2021-02-07,0.9,16.0,8.0,143.0,63.0,68.0,135,131,125,25,24.0,23,674,623.2,575,52,44.8,41,0,0,0
70,73.0,潮州,2021-02-08,0.9,13.0,8.0,127.0,52.0,70.0,125,114,105,26,24.0,21,630,538.4,420,59,50.4,44,0,0,0
71,52.0,潮州,2021-02-09,0.7,10.0,8.0,102.0,20.0,46.0,95,92,85,20,19.6,19,339,308.0,265,53,50.8,49,0,0,0
72,34.0,潮州,2021-02-10,0.8,10.0,6.0,68.0,12.0,15.0,355,280,25,16,14.6,14,61,44.4,22,88,83.2,72,0,0,0
73,27.0,潮州,2021-02-11,0.6,7.0,7.0,54.0,10.0,13.0,350,326,310,20,19.6,18,435,347.0,239,73,67.2,64,0,0,0
74,40.0,潮州,2021-02-12,0.6,8.0,8.0,78.0,28.0,32.0,125,90,35,21,20.4,19,577,434.8,210,64,58.0,55,0,0,0
75,49.0,潮州,2021-02-13,0.6,10.0,8.0,90.0,34.0,42.0,125,110,100,22,21.0,20,448,396.2,318,63,61.2,59,0,0,0
76,50.0,潮州,2021-02-14,0.6,10.0,8.0,94.0,35.0,44.0,315,295,275,24,23.6,23,632,584.0,511,52,47.6,45,0,0,0
77,50.0,潮州,2021-02-15,0.6,8.0,8.0,99.0,22.0,34.0,140,129,115,24,23.2,22,717,667.0,620,45,40.0,37,0,0,0
78,64.0,潮州,2021-02-16,0.6,10.0,8.0,116.0,31.0,42.0,160,149,130,23,22.6,22,705,656.2,610,49,45.2,43,0,0,0
79,46.0,潮州,2021-02-17,0.7,9.0,8.0,92.0,31.0,44.0,105,66,20,21,19.8,18,479,344.6,138,67,60.0,56,0,0,0
80,62.0,潮州,2021-02-18,0.6,8.0,8.0,114.0,27.0,48.0,115,95,80,20,19.6,19,727,674.2,625,44,39.2,36,0,0,0
81,75.0,潮州,2021-02-19,0.7,11.0,8.0,130.0,30.0,49.0,195,169,140,21,20.2,19,720,672.2,627,41,37.8,35,0,0,0
82,87.0,潮州,2021-02-20,0.7,14.0,10.0,144.0,38.0,56.0,150,143,125,22,21.6,21,727,674.6,625,39,34.8,33,0,0,0
83,74.0,潮州,2021-02-21,0.8,14.0,8.0,128.0,32.0,46.0,170,167,165,24,23.2,22,730,677.0,630,37,34.6,33,0,0,0
84,77.0,潮州,2021-02-22,0.8,16.0,8.0,132.0,24.0,40.0,180,163,155,27,26.2,26,720,671.4,625,43,40.2,39,0,0,0
85,85.0,潮州,2021-02-23,0.8,16.0,9.0,142.0,34.0,50.0,120,113,100,26,25.4,24,730,677.4,630,48,39.8,36,0,0,0
86,69.0,潮州,2021-02-24,0.7,14.0,9.0,122.0,29.0,50.0,135,131,125,25,23.8,23,730,676.2,627,56,51.4,49,0,0,0
87,57.0,潮州,2021-02-25,0.8,18.0,10.0,108.0,38.0,60.0,185,179,175,25,24.6,23,615,573.0,509,57,54.6,53,0,0,0
88,77.0,潮州,2021-02-26,0.8,18.0,10.0,112.0,56.0,57.0,245,220,190,28,26.2,24,647,448.0,135,65,55.4,50,0,0,0
89,37.0,潮州,2021-02-27,0.7,12.0,8.0,74.0,18.0,25.0,125,106,50,22,21.2,20,542,393.4,239,65,61.0,58,0,0,0
90,62.0,潮州,2021-02-28,0.7,16.0,12.0,114.0,26.0,36.0,150,142,135,25,24.0,23,727,660.0,597,58,55.2,53,0,0,0
91,85.0,潮州,2021-03-01,0.8,22.0,12.0,141.0,34.0,53.0,210,201,190,26,25.8,25,566,519.8,450,56,54.0,53,0,0,0
92,31.0,潮州,2021-03-02,0.8,16.0,8.0,60.0,16.0,31.0,110,71,10,23,22.2,21,696,644.8,601,60,52.0,49,0,0,0
94,49.0,潮州,2021-03-03,0.7,20.0,12.0,80.0,22.0,49.0,135,127,120,22,20.6,19,700,625.0,552,58,49.6,45,0,0,0
95,62.0,潮州,2021-03-04,0.8,28.0,14.0,38.0,44.0,64.0,350,278,25,19,16.8,15,176,95.0,64,85,82.2,79,0,0,0
96,89.0,潮州,2021-03-05,1.0,28.0,10.0,58.0,66.0,58.0,145,136,130,21,19.8,19,281,186.0,84,80,78.4,75,0,0,0
97,95.0,潮州,2021-03-06,0.8,28.0,8.0,45.0,71.0,56.0,155,137,125,25,23.8,23,540,499.6,462,71,67.0,64,0,0,0
98,55.0,潮州,2021-03-07,0.7,21.0,10.0,56.0,39.0,36.0,120,111,105,20,20.0,20,314,282.6,244,75,71.8,70,0,0,0
99,57.0,潮州,2021-03-08,0.7,19.0,13.0,108.0,36.0,45.0,140,121,115,21,20.2,19,595,439.8,313,71,66.0,63,0,0,0
100,52.0,潮州,2021-03-09,0.7,20.0,12.0,96.0,32.0,54.0,135,134,130,25,23.8,23,737,689.0,616,58,56.2,54,0,0,0
