,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,49.0,珠海,2021-01-01,0.6,37.0,10.0,75.0,24.0,49.0,25,18,5,15,13.4,12,627,571.4,520,25,21.6,19,0,0,0
1,63.0,珠海,2021-01-02,0.6,50.0,9.0,79.0,29.0,59.0,100,62,40,16,15.6,15,630,572.0,520,25,23.8,23,0,0,0
2,75.0,珠海,2021-01-03,0.8,60.0,9.0,122.0,45.0,88.0,75,43,25,19,18.6,18,600,525.6,471,39,37.8,37,0,0,0
3,94.0,珠海,2021-01-04,0.7,75.0,11.0,80.0,43.0,83.0,60,38,25,19,18.4,18,558,336.8,190,38,38.0,38,0,0,0
4,102.0,珠海,2021-01-05,0.8,84.0,14.0,116.0,56.0,104.0,25,17,10,21,20.2,19,427,314.4,232,45,44.4,44,0,0,0
5,69.0,珠海,2021-01-06,0.7,53.0,9.0,100.0,46.0,87.0,90,58,30,18,17.6,17,600,436.8,273,52,51.4,51,0,0,0
6,75.0,珠海,2021-01-07,0.8,41.0,7.0,54.0,55.0,96.0,15,10,5,15,15.0,15,177,141.4,112,58,55.4,53,0,0,0
7,55.0,珠海,2021-01-08,0.7,31.0,7.0,44.0,32.0,59.0,10,7,5,11,10.2,9,223,190.2,160,52,48.0,44,0,0,0
8,57.0,珠海,2021-01-09,0.6,45.0,10.0,49.0,19.0,50.0,35,28,20,12,11.0,10,619,324.0,131,27,24.6,21,0,0,0
9,64.0,珠海,2021-01-10,0.6,51.0,10.0,54.0,28.0,65.0,30,24,15,12,12.0,12,150,118.6,101,30,29.4,28,0,0,0
10,56.0,珠海,2021-01-11,0.6,40.0,10.0,48.0,28.0,61.0,10,6,0,9,8.4,8,73,55.4,42,70,57.6,47,0,0,0
11,68.0,珠海,2021-01-12,0.8,54.0,12.0,70.0,38.0,77.0,5,5,5,15,13.8,12,678,607.6,540,30,26.8,24,0,0,0
12,93.0,珠海,2021-01-13,0.8,74.0,9.0,93.0,45.0,95.0,105,69,30,16,15.8,15,660,596.0,530,23,22.6,22,0,0,0
13,100.0,珠海,2021-01-14,0.7,80.0,9.0,128.0,53.0,107.0,70,57,45,17,17.0,17,465,432.4,390,40,38.0,35,0,0,0
14,90.0,珠海,2021-01-15,0.6,72.0,6.0,105.0,40.0,82.0,130,123,105,19,19.0,19,630,523.0,421,69,67.6,65,0,0,0
15,69.0,珠海,2021-01-16,0.6,55.0,6.0,104.0,36.0,76.0,105,102,95,20,19.6,19,622,522.6,455,62,59.8,58,0,0,0
16,90.0,珠海,2021-01-17,0.7,31.0,8.0,122.0,57.0,130.0,20,17,15,19,17.6,16,647,416.2,190,45,43.6,43,0,0,0
17,81.0,珠海,2021-01-18,0.6,48.0,10.0,101.0,44.0,112.0,20,14,10,17,16.4,15,657,584.8,520,33,32.6,32,0,0,0
18,73.0,珠海,2021-01-19,0.7,52.0,6.0,98.0,41.0,96.0,110,95,75,17,16.8,16,660,583.0,512,53,49.2,46,0,0,0
19,72.0,珠海,2021-01-20,0.5,57.0,6.0,80.0,29.0,69.0,90,74,65,20,19.0,18,640,390.4,191,62,59.6,58,0,0,0
20,94.0,珠海,2021-01-21,0.7,72.0,7.0,115.0,70.0,129.0,80,67,55,21,20.4,20,393,310.4,247,73,69.8,67,0,0,0
21,59.0,珠海,2021-01-22,0.6,46.0,5.0,81.0,42.0,68.0,355,117,10,23,22.8,22,650,452.6,263,66,62.6,61,0,0,0
22,86.0,珠海,2021-01-23,0.7,46.0,6.0,143.0,46.0,76.0,130,69,25,22,21.8,21,660,580.0,500,73,63.4,57,0,0,0
23,62.0,珠海,2021-01-24,0.6,36.0,4.0,112.0,44.0,67.0,105,101,100,20,19.0,18,660,576.4,495,78,76.4,75,0,0,0
24,69.0,珠海,2021-01-25,0.6,29.0,5.0,122.0,26.0,48.0,125,113,105,20,20.0,20,643,532.0,422,74,72.2,71,0,0,0
25,88.0,珠海,2021-01-26,0.7,45.0,5.0,145.0,46.0,75.0,105,100,95,21,21.0,21,670,571.4,481,73,69.6,67,0,0,0
26,67.0,珠海,2021-01-27,0.8,36.0,6.0,120.0,37.0,62.0,120,112,100,20,19.4,19,669,578.0,494,75,72.4,70,0,0,0
27,68.0,珠海,2021-01-28,0.9,33.0,5.0,121.0,42.0,67.0,30,24,15,22,21.0,19,679,452.6,250,75,59.2,52,0,0,0
28,70.0,珠海,2021-01-29,0.8,23.0,6.0,124.0,19.0,40.0,110,106,95,18,17.4,17,688,607.2,532,63,51.6,45,0,0,0
29,65.0,珠海,2021-01-30,0.6,24.0,5.0,118.0,29.0,71.0,115,100,85,18,17.4,17,680,605.6,533,66,60.2,56,0,0,0
30,58.0,珠海,2021-01-31,0.5,28.0,5.0,109.0,18.0,42.0,110,100,90,19,19.0,19,690,603.6,498,70,65.6,60,0,0,0
63,47.0,珠海,2021-02-01,0.5,31.0,5.0,93.0,18.0,41.0,125,109,65,21,21.0,21,680,592.8,510,72,69.8,69,0,0,0
64,117.0,珠海,2021-02-02,0.5,26.0,5.0,178.0,26.0,51.0,115,80,40,24,23.0,22,697,611.2,532,64,59.4,56,0,0,0
65,70.0,珠海,2021-02-03,0.6,15.0,5.0,123.0,26.0,52.0,115,106,95,20,19.4,19,700,533.4,381,69,65.2,63,0,0,0
66,67.0,珠海,2021-02-04,0.4,25.0,5.0,120.0,22.0,52.0,115,110,100,21,20.6,20,710,625.2,550,63,60.8,59,0,0,0
67,53.0,珠海,2021-02-05,0.4,22.0,5.0,103.0,21.0,44.0,125,110,85,21,20.4,20,720,618.8,521,66,63.6,61,0,0,0
68,63.0,珠海,2021-02-06,0.4,32.0,6.0,115.0,24.0,45.0,135,123,105,22,22.0,22,720,636.0,560,60,58.2,57,0,0,0
69,62.0,珠海,2021-02-07,0.4,26.0,5.0,114.0,27.0,45.0,120,113,110,22,21.4,21,720,635.4,560,72,68.6,66,0,0,0
70,59.0,珠海,2021-02-08,0.4,21.0,5.0,110.0,27.0,44.0,110,100,80,21,21.0,21,448,319.0,273,74,66.8,63,0,0,0
71,52.0,珠海,2021-02-09,0.4,20.0,5.0,102.0,24.0,50.0,105,93,75,20,19.4,19,225,152.4,65,72,70.4,68,0,0,0
72,33.0,珠海,2021-02-10,0.6,11.0,4.0,65.0,6.0,16.0,355,101,20,16,16.0,16,20,16.8,12,89,87.8,86,0,0,0
73,36.0,珠海,2021-02-11,0.7,12.0,4.0,71.0,11.0,18.0,15,15,15,21,20.2,19,737,649.6,570,65,60.6,57,0,0,0
74,45.0,珠海,2021-02-12,0.5,11.0,7.0,90.0,26.0,36.0,80,59,35,20,20.0,20,740,658.2,580,53,52.0,51,0,0,0
75,44.0,珠海,2021-02-13,0.5,16.0,6.0,88.0,28.0,36.0,140,129,115,21,20.2,20,658,581.4,475,64,61.4,59,0,0,0
