,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,60.0,茂名,2021-01-01,0.7,27.0,27.0,97.0,37.0,69.0,330,213,20,18,17.2,16,653,571.8,498,26,23.0,22,0,0,0
1,63.0,茂名,2021-01-02,0.8,31.0,25.0,107.0,44.0,76.0,165,139,90,20,19.4,18,660,576.2,500,29,24.8,23,0,0,0
2,67.0,茂名,2021-01-03,0.8,32.0,26.0,117.0,44.0,83.0,115,51,25,23,22.4,21,640,559.6,487,30,28.6,28,0,0,0
3,74.0,茂名,2021-01-04,0.8,37.0,30.0,104.0,50.0,97.0,125,104,95,21,20.2,19,456,242.2,106,37,34.2,33,0,0,0
4,68.0,茂名,2021-01-05,0.8,33.0,22.0,104.0,45.0,85.0,360,271,15,20,20.0,20,119,101.0,86,43,41.6,41,0,0,0
5,73.0,茂名,2021-01-06,0.8,30.0,24.0,110.0,53.0,94.0,120,105,80,21,19.8,19,469,269.8,114,50,48.6,47,0,0,0
6,112.0,茂名,2021-01-07,1.0,30.0,24.0,73.0,84.0,128.0,355,83,5,17,16.8,16,162,108.4,65,50,47.8,47,0,0,0
7,40.0,茂名,2021-01-08,0.8,22.0,14.0,34.0,23.0,40.0,360,351,340,10,9.8,9,105,86.8,66,52,50.0,49,0,0,0
8,55.0,茂名,2021-01-09,0.6,22.0,20.0,47.0,34.0,60.0,360,214,0,11,11.0,11,192,174.8,162,27,26.4,26,0,0,0
9,59.0,茂名,2021-01-10,0.7,25.0,25.0,47.0,36.0,68.0,360,92,5,12,11.8,11,219,122.2,57,29,27.4,26,0,0,0
10,50.0,茂名,2021-01-11,0.7,20.0,11.0,44.0,33.0,50.0,15,8,0,9,9.0,9,87,69.4,48,62,59.4,57,0,0,0
11,61.0,茂名,2021-01-12,0.7,28.0,21.0,90.0,39.0,72.0,350,326,280,18,16.8,15,701,606.0,518,17,15.6,15,0,0,0
12,72.0,茂名,2021-01-13,0.8,45.0,24.0,97.0,48.0,93.0,305,193,105,18,16.6,15,690,385.2,183,21,19.6,18,0,0,0
13,77.0,茂名,2021-01-14,0.8,41.0,26.0,132.0,52.0,97.0,320,201,5,22,20.4,18,683,438.2,214,22,18.6,17,0,0,0
14,77.0,茂名,2021-01-15,0.7,40.0,22.0,114.0,56.0,103.0,180,161,135,24,23.2,22,672,582.0,495,40,34.0,29,0,0,0
15,87.0,茂名,2021-01-16,0.8,34.0,17.0,144.0,48.0,90.0,360,198,100,21,20.2,19,316,203.4,126,54,51.8,50,0,0,0
16,94.0,茂名,2021-01-17,0.8,30.0,21.0,118.0,67.0,138.0,355,99,15,21,21.0,21,631,468.4,298,38,36.0,35,0,0,0
17,90.0,茂名,2021-01-18,0.8,28.0,22.0,120.0,56.0,130.0,285,248,200,20,19.0,18,685,585.8,492,34,32.6,32,0,0,0
18,81.0,茂名,2021-01-19,0.6,32.0,18.0,124.0,52.0,111.0,140,129,115,21,20.6,20,690,593.0,502,52,39.8,30,0,0,0
19,68.0,茂名,2021-01-20,0.7,31.0,15.0,80.0,49.0,78.0,105,99,90,19,19.0,19,164,133.6,104,74,71.6,68,0,0,0
20,49.0,茂名,2021-01-21,0.6,25.0,11.0,54.0,34.0,42.0,140,133,125,25,24.4,24,568,439.2,347,66,63.8,61,0,0,0
21,60.0,茂名,2021-01-22,0.7,29.0,18.0,91.0,43.0,63.0,210,190,170,26,25.4,25,504,480.2,430,57,56.0,55,0,0,0
22,69.0,茂名,2021-01-23,0.7,31.0,15.0,112.0,50.0,75.0,195,177,170,27,26.0,25,634,565.0,490,55,45.6,42,0,0,0
