,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,40.0,阳江,2021-01-01,0.5,22.0,11.0,76.0,22.0,40.0,60,53,45,17,15.8,14,645,576.0,510,22,20.6,20,0,0,0
1,56.0,阳江,2021-01-02,0.5,32.0,11.0,90.0,33.0,62.0,125,83,45,19,18.2,17,646,575.4,510,29,23.4,21,0,0,0
2,66.0,阳江,2021-01-03,0.6,44.0,12.0,109.0,45.0,82.0,75,48,30,22,21.0,20,611,509.0,443,38,37.0,36,0,0,0
3,64.0,阳江,2021-01-04,0.6,42.0,15.0,100.0,45.0,77.0,120,86,55,21,20.0,19,446,291.8,170,37,35.4,35,0,0,0
4,65.0,阳江,2021-01-05,0.6,40.0,16.0,102.0,47.0,80.0,55,48,40,22,21.0,20,260,205.0,156,41,39.8,39,0,0,0
5,78.0,阳江,2021-01-06,0.7,37.0,15.0,96.0,57.0,87.0,115,89,55,20,19.2,18,582,378.6,219,52,45.2,43,0,0,0
6,105.0,阳江,2021-01-07,0.9,36.0,13.0,71.0,79.0,100.0,40,36,35,16,15.4,15,161,130.8,104,50,49.2,49,0,0,0
7,35.0,阳江,2021-01-08,0.6,19.0,5.0,42.0,20.0,35.0,20,17,10,12,11.0,9,198,147.2,65,53,46.4,44,0,0,0
8,49.0,阳江,2021-01-09,0.5,24.0,10.0,47.0,24.0,49.0,40,36,30,11,11.0,11,340,241.2,114,23,22.2,22,0,0,0
9,51.0,阳江,2021-01-10,0.5,32.0,11.0,51.0,27.0,51.0,50,37,25,12,12.0,12,118,93.0,69,22,19.8,19,0,0,0
10,44.0,阳江,2021-01-11,0.6,20.0,7.0,52.0,28.0,44.0,10,5,0,9,8.2,7,185,95.0,36,66,60.4,53,0,0,0
11,55.0,阳江,2021-01-12,0.7,32.0,7.0,81.0,30.0,59.0,360,216,5,18,16.4,14,696,608.8,529,20,17.0,15,0,0,0
12,64.0,阳江,2021-01-13,0.7,42.0,9.0,112.0,40.0,78.0,175,116,45,18,17.0,16,463,393.2,315,27,19.6,15,0,0,0
13,128.0,阳江,2021-01-14,0.8,55.0,10.0,190.0,61.0,92.0,165,103,30,20,19.4,18,664,464.6,332,20,17.6,16,0,0,0
14,72.0,阳江,2021-01-15,0.8,50.0,7.0,119.0,52.0,83.0,165,161,150,22,21.4,21,646,562.0,481,64,58.0,54,0,0,0
15,110.0,阳江,2021-01-16,0.8,44.0,9.0,170.0,52.0,80.0,135,121,95,23,21.6,20,534,442.8,312,61,56.4,53,0,0,0
16,79.0,阳江,2021-01-17,0.7,29.0,12.0,121.0,52.0,108.0,35,31,25,20,19.8,19,670,574.0,482,39,36.0,35,0,0,0
17,80.0,阳江,2021-01-18,0.7,27.0,10.0,107.0,46.0,110.0,130,57,20,20,19.2,17,675,586.2,505,32,30.8,30,0,0,0
18,81.0,阳江,2021-01-19,0.8,46.0,10.0,137.0,55.0,104.0,130,116,95,20,19.0,18,670,580.6,496,58,51.8,47,0,0,0
19,74.0,阳江,2021-01-20,0.8,42.0,10.0,73.0,54.0,86.0,120,94,75,20,19.4,19,193,157.8,98,72,67.8,64,0,0,0
