,aqi,cityname,time,co,no2,so2,o3_8h,pm2_5,pm10,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,41.0,韶关,2021-01-01,0.6,21.0,7.0,82.0,18.0,28.0,15,8,0,13,12.0,10,588,533.8,482,24,22.0,21,0,0,0
1,47.0,韶关,2021-01-02,0.8,34.0,9.0,77.0,29.0,47.0,350,141,10,16,15.2,13,589,537.4,489,19,17.6,17,0,0,0
2,54.0,韶关,2021-01-03,0.9,40.0,10.0,89.0,33.0,57.0,10,8,5,19,17.8,16,588,533.6,482,26,23.6,22,0,0,0
3,67.0,韶关,2021-01-04,1.0,46.0,14.0,68.0,48.0,76.0,340,186,0,19,18.2,16,578,523.8,473,34,31.6,30,0,0,0
4,77.0,韶关,2021-01-05,1.0,31.0,13.0,108.0,56.0,74.0,20,18,15,19,18.4,17,569,518.0,468,39,36.2,35,0,0,0
5,129.0,韶关,2021-01-06,1.1,26.0,11.0,103.0,98.0,101.0,360,149,0,17,16.4,15,574,518.2,468,42,39.4,38,0,0,0
6,80.0,韶关,2021-01-07,1.0,23.0,7.0,52.0,59.0,60.0,350,344,335,6,5.8,5,102,77.2,51,64,59.0,56,0,0,0
7,46.0,韶关,2021-01-08,0.6,20.0,6.0,49.0,32.0,42.0,355,212,0,9,7.0,3,589,332.0,101,53,40.0,33,0,0,0
8,37.0,韶关,2021-01-09,0.4,16.0,8.0,74.0,17.0,35.0,50,29,15,12,10.4,8,601,481.4,409,23,18.0,15,0,0,0
9,32.0,韶关,2021-01-10,0.4,19.0,8.0,63.0,21.0,31.0,55,30,15,12,10.6,9,386,277.6,176,18,16.4,15,0,0,0
10,53.0,韶关,2021-01-11,0.6,26.0,13.0,57.0,37.0,50.0,340,334,325,11,8.8,6,475,260.2,98,47,35.8,27,0,0,0
11,59.0,韶关,2021-01-12,0.8,42.0,11.0,70.0,42.0,68.0,40,28,10,15,13.6,12,639,572.4,509,21,18.2,17,0,0,0
12,62.0,韶关,2021-01-13,0.9,49.0,11.0,72.0,39.0,73.0,270,160,30,19,17.8,16,628,562.4,502,20,16.0,14,0,0,0
13,69.0,韶关,2021-01-14,1.1,55.0,16.0,76.0,45.0,82.0,275,203,165,22,21.2,19,628,559.0,493,18,15.8,15,0,0,0
