time,cityname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,temp_avg,temp_high,temp_low,humi,windangle,windlevel,rain,rankflag_169,rankflag_338,rankflag_2_26,rankflag,longitude,latitude
2021-01-01,东莞,40.0,0.5,25.0,11.0,77.0,24.0,40.0,优,,9.346,14.0,5.0,29.115,114.0,1.846,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-02,东莞,55.0,0.6,44.0,13.0,88.0,33.0,56.0,良,NO2,11.5,17.0,7.0,33.923,57.0,1.538,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-03,东莞,83.0,0.8,66.0,14.0,79.0,42.0,79.0,良,NO2,14.885,20.0,8.0,47.577,93.0,1.538,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-04,东莞,68.0,0.6,54.0,16.0,96.0,36.0,65.0,良,NO2,17.346,20.0,15.0,37.0,151.0,1.692,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-05,东莞,75.0,0.7,60.0,16.0,114.0,42.0,74.0,良,NO2,18.0,22.0,15.0,42.808,189.0,1.692,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-06,东莞,75.0,0.8,41.0,16.0,129.0,52.0,81.0,良,O3,15.72,20.0,13.0,47.32,144.0,1.96,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-07,东莞,73.0,0.8,26.0,12.0,54.0,53.0,71.0,良,PM2.5,11.885,15.0,6.0,61.731,110.0,2.885,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-08,东莞,41.0,0.6,20.0,9.0,51.0,28.0,41.0,优,,6.577,8.0,5.0,48.423,198.0,2.692,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-09,东莞,37.0,0.5,29.0,11.0,60.0,17.0,34.0,优,,9.077,11.0,6.0,24.038,142.0,2.077,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-10,东莞,40.0,0.4,25.0,14.0,56.0,22.0,40.0,优,,10.6,12.0,9.0,26.76,160.0,2.32,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-11,东莞,41.0,0.5,26.0,10.0,54.0,23.0,41.0,优,,7.885,10.0,6.0,41.346,293.0,2.538,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-12,东莞,59.0,0.7,47.0,12.0,78.0,36.0,63.0,良,NO2,9.346,15.0,4.0,31.423,199.0,1.846,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-13,东莞,94.0,0.8,75.0,14.0,99.0,53.0,97.0,良,NO2,11.28,18.0,6.0,38.2,103.0,1.56,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-14,东莞,117.0,1.0,110.0,16.0,158.0,88.0,152.0,轻度污染,PM2.5,14.28,21.0,8.0,45.8,137.0,1.44,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-15,东莞,115.0,1.0,96.0,15.0,171.0,87.0,146.0,轻度污染,PM2.5,16.192,22.0,11.0,60.654,142.0,1.385,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-16,东莞,143.0,1.2,126.0,14.0,199.0,109.0,170.0,轻度污染,PM2.5,17.462,24.0,13.0,66.077,138.0,1.538,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-17,东莞,76.0,0.6,34.0,12.0,103.0,45.0,101.0,良,PM10,15.308,18.0,11.0,48.846,159.0,2.308,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-18,东莞,70.0,0.6,43.0,13.0,104.0,36.0,89.0,良,PM10,12.44,17.0,9.0,37.72,188.0,1.68,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-19,东莞,97.0,0.8,77.0,14.0,151.0,63.0,120.0,良,NO2,14.538,20.0,9.0,49.615,101.0,1.538,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-20,东莞,101.0,0.9,82.0,14.0,150.0,60.0,120.0,轻度污染,NO2,18.231,22.0,14.0,57.731,104.0,1.192,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-21,东莞,127.0,1.3,133.0,16.0,100.0,95.0,170.0,轻度污染,NO2,19.654,25.0,16.0,72.846,227.0,1.308,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-22,东莞,79.0,0.8,63.0,10.0,40.0,38.0,60.0,良,NO2,19.038,22.0,17.0,89.538,257.0,1.269,4.0,1,1,,1,113.7634340000,23.0430240000
2021-01-23,东莞,53.0,0.7,42.0,9.0,102.0,30.0,48.0,良,NO2,19.615,24.0,16.0,72.192,188.0,1.615,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-24,东莞,66.0,0.7,34.0,10.0,119.0,39.0,59.0,良,O3,19.038,23.0,16.0,67.269,114.0,2.077,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-25,东莞,104.0,0.7,45.0,9.0,164.0,38.0,64.0,轻度污染,O3,20.0,26.0,16.0,68.692,142.0,1.808,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-26,东莞,96.0,0.9,66.0,11.0,155.0,52.0,86.0,良,O3,20.0,25.0,17.0,70.192,195.0,1.423,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-27,东莞,102.0,0.9,38.0,10.0,162.0,41.0,64.0,轻度污染,O3,18.808,24.0,16.0,66.038,125.0,1.769,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-28,东莞,53.0,1.0,42.0,10.0,94.0,37.0,53.0,良,PM2.5,17.577,21.0,15.0,66.962,183.0,1.923,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-29,东莞,90.0,0.8,29.0,10.0,148.0,21.0,40.0,良,O3,15.577,20.0,12.0,51.462,96.0,2.077,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-30,东莞,134.0,0.8,43.0,10.0,197.0,42.0,83.0,轻度污染,O3,16.5,23.0,12.0,65.077,124.0,1.615,0.0,1,1,,1,113.7634340000,23.0430240000
2021-01-31,东莞,103.0,0.6,40.0,10.0,163.0,28.0,61.0,轻度污染,O3,18.538,25.0,14.0,61.769,119.0,1.769,0.0,1,1,,1,113.7634340000,23.0430240000
