time,predict_value0,real
2021-01-01,51.171036491194364,42.0
2021-01-02,60.720811233320845,57.0
2021-01-03,63.433749455242406,78.0
2021-01-04,63.725436616866816,59.0
2021-01-05,67.0234252077021,68.0
2021-01-06,55.75523473205105,73.0
2021-01-07,49.761421249751095,85.0
2021-01-08,49.86167004316105,26.0
2021-01-09,48.98905658479203,40.0
2021-01-10,57.021013819580176,46.0
2021-01-11,62.60922560546205,46.0
2021-01-12,60.23472711270594,56.0
2021-01-13,63.13862652072006,74.0
2021-01-14,64.30168385369608,90.0
2021-01-15,84.32382922356751,104.0
2021-01-16,76.1846023680115,138.0
2021-01-17,58.33148713044359,84.0
2021-01-18,59.25100333639718,73.0
2021-01-19,66.63759694137126,80.0
2021-01-20,81.11106854913663,104.0
2021-01-21,85.28723818655997,82.0
2021-01-22,87.96893642343221,50.0
2021-01-23,100.95661102726177,67.0
2021-01-24,78.3536273985398,87.0
2021-01-25,87.4813932869068,58.0
2021-01-26,84.43541647569707,63.0
2021-01-27,72.75586550703632,80.0
2021-01-28,47.81461725950642,82.0
2021-01-29,56.53232977150072,67.0
2021-01-30,78.79356530214548,77.0
2021-01-31,87.46740541679284,97.0
2021-02-01,85.98810878580579,56.0
2021-02-02,75.20738229694689,87.0
2021-02-03,70.62970980656826,64.0
2021-02-04,75.18054061064315,65.0
2021-02-05,71.02564899613967,59.0
2021-02-06,87.14075142830829,56.0
2021-02-07,84.09451029324835,71.0
2021-02-08,69.47250193215795,59.0
2021-02-09,57.273902925143574,43.0
2021-02-10,34.21296521432139,25.0
2021-02-11,43.64107459713069,27.0
2021-02-12,45.50997526089041,45.0
2021-02-13,51.433312233928596,40.0
2021-02-14,61.2019347194598,48.0
2021-02-15,68.6411126904334,52.0
2021-02-16,52.66487150059304,47.0
2021-02-17,44.40544481792284,37.0
2021-02-18,49.39760366342369,48.0
2021-02-19,68.29840263147787,55.0
2021-02-20,76.33235978642469,58.0
2021-02-21,80.02988911472036,80.0
2021-02-22,80.16542296850533,62.0
2021-02-23,97.08496821583614,87.0
2021-02-24,58.63578552370664,61.0
2021-02-25,51.175218807198725,40.0
2021-02-26,50.92816993102773,30.0
2021-02-27,36.37029228576562,22.0
2021-02-28,45.16875380518511,51.0
2021-03-01,59.733673104999355,60.0
2021-03-02,32.53235238956732,33.0
2021-03-03,44.8445711314003,38.0
2021-03-04,46.96382597264022,38.0
2021-03-05,53.76934249137116,63.0
2021-03-06,41.14669472065436,45.0
2021-03-07,44.60913046325008,31.0
2021-03-08,57.39584872288274,52.0
2021-03-09,52.5605056996196,74.0
2021-03-10,52.208611878028286,87.0
2021-03-11,61.00566059974215,62.0
2021-03-12,43.721196805613346,59.0
2021-03-13,57.76750135063844,54.0
2021-03-14,53.84895155696032,77.0
2021-03-15,46.74797707775664,50.0
2021-03-16,44.964837056377704,45.0
2021-03-17,47.52048125176622,42.0
2021-03-18,41.04386013628057,39.0
2021-03-19,38.596100860414985,35.0
2021-03-20,58.69145266235398,40.0
2021-03-21,35.60293952600359,24.0
2021-03-22,29.43838589678733,63.0
2021-03-23,45.61799343938521,92.0
2021-03-24,66.25189478933301,62.0
2021-03-25,67.98979099504093,94.0
2021-03-26,65.7453303421318,62.0
2021-03-27,63.690057327177946,49.0
2021-03-28,50.640444971032196,52.0
2021-03-29,44.86461239066798,35.0
2021-03-30,77.1302315319977,44.0
2021-03-31,50.81457070947021,32.0
2021-04-01,72.83205461191791,30.0
2021-04-02,68.81639887059669,32.0
2021-04-03,79.18341202887436,29.0
2021-04-04,38.41337756338077,35.0
2021-04-05,54.70821749459574,40.0
2021-04-06,90.25320365549514,84.0
2021-04-07,47.146980406458376,67.0
2021-04-08,32.888768050707434,25.0
2021-04-09,45.25701780275453,29.0
2021-04-10,48.7327418392096,57.0
2021-04-11,49.71461661250071,67.0
2021-04-12,51.325727278619354,43.0
2021-04-13,41.23344419309802,48.0
2021-04-14,43.928771125461246,41.0
2021-04-15,40.00825953331661,33.0
2021-04-16,38.04390293477886,50.0
2021-04-17,44.26311089513931,35.0
2021-04-18,49.83951351210286,52.0
2021-04-19,36.441498309392074,69.0
2021-04-20,46.49299477765499,69.0
2021-04-21,44.733883222904026,58.0
2021-04-22,42.725007334297324,51.0
2021-04-23,48.33809770696237,52.0
2021-04-24,44.92683649750741,36.0
2021-04-25,40.890632525338546,28.0
2021-04-26,44.29015332556193,44.0
2021-04-27,34.010183443846145,43.0
2021-04-28,36.57685761217615,33.0
2021-04-29,66.24708442565388,38.0
2021-04-30,90.09993536912587,67.0
2021-05-01,54.192774952350256,62.0
2021-05-02,56.527552151252756,40.0
2021-05-03,45.82776228219948,39.0
2021-05-04,45.83675099870587,32.0
2021-05-05,46.93147339117424,42.0
2021-05-06,40.24776634280325,43.0
2021-05-07,39.30234228609942,36.0
