time,predict_value0,real
2021-01-01,57.47471067626525,46.0
2021-01-02,53.22675200984873,51.0
2021-01-03,57.289442868671905,60.0
2021-01-04,58.97651757654128,55.0
2021-01-05,62.28119819472113,60.0
2021-01-06,46.62279543941113,50.0
2021-01-07,42.14761564700756,35.0
2021-01-08,38.11851488894785,34.0
2021-01-09,38.71599529010528,42.0
2021-01-10,53.53184091129039,53.0
2021-01-11,52.51148534618148,45.0
2021-01-12,58.43599015903129,48.0
2021-01-13,60.12572823775422,62.0
2021-01-14,62.21270114530756,72.0
2021-01-15,68.55806646025641,65.0
2021-01-16,68.81394169918943,70.0
2021-01-17,54.068999867825056,68.0
2021-01-18,58.16511470694093,66.0
2021-01-19,55.04582051920788,58.0
2021-01-20,66.80934831217245,56.0
2021-01-21,80.1611663424727,74.0
2021-01-22,88.40632001166966,99.0
2021-01-23,70.76538074564371,41.0
2021-01-24,56.30384374217659,67.0
2021-01-25,60.5065123860661,75.0
2021-01-26,71.8344058667423,92.0
2021-01-27,57.64953440707934,74.0
2021-01-28,64.06506229453367,65.0
2021-01-29,51.20004264587195,73.0
2021-01-30,53.49372225806707,58.0
2021-01-31,62.16624162097302,55.0
2021-02-01,59.22785879512711,62.0
2021-02-02,59.03432164523631,68.0
2021-02-03,50.40395429685498,66.0
2021-02-04,61.92556266575139,64.0
2021-02-05,63.18590063028755,61.0
2021-02-06,59.009405924947764,79.0
2021-02-07,60.576429479863414,78.0
2021-02-08,57.34921983412298,72.0
2021-02-09,47.78300072832485,51.0
2021-02-10,31.982758183161536,36.0
2021-02-11,44.56373629422103,29.0
2021-02-12,50.58653593902251,55.0
2021-02-13,48.42871021827693,48.0
2021-02-14,57.048178714612845,55.0
2021-02-15,56.66906849361037,52.0
2021-02-16,53.76036264957174,65.0
2021-02-17,45.99699249269463,51.0
2021-02-18,46.97152260434235,68.0
2021-02-19,53.652703803561245,75.0
2021-02-20,56.764245746746504,82.0
2021-02-21,60.50584489204063,64.0
2021-02-22,62.631569883369906,51.0
2021-02-23,62.018248971813904,72.0
2021-02-24,57.8157977089005,61.0
2021-02-25,56.966986407117304,48.0
2021-02-26,56.37483793337347,62.0
2021-02-27,44.611944998849005,45.0
2021-02-28,54.56206711639284,54.0
2021-03-01,62.74421102016661,73.0
2021-03-02,59.22901894584656,33.0
2021-03-03,51.380302379746965,45.0
2021-03-04,37.965903692455484,87.0
2021-03-05,44.63549969814421,93.0
2021-03-06,52.13197543934317,64.0
2021-03-07,53.089133900055025,47.0
2021-03-08,56.911192190134805,64.0
2021-03-09,65.2331929935652,64.0
2021-03-10,63.34066018945185,62.0
2021-03-11,68.10356281453917,75.0
2021-03-12,64.8247106193172,83.0
2021-03-13,63.86301594931208,85.0
2021-03-14,64.76791970127718,83.0
2021-03-15,73.24948596132079,71.0
2021-03-16,71.30366824641965,75.0
2021-03-17,63.297319194190564,52.0
2021-03-18,60.99018261213309,48.0
2021-03-19,53.0637338824033,54.0
2021-03-20,55.334894384342576,46.0
2021-03-21,50.39963932712166,27.0
2021-03-22,43.54769576944875,51.0
2021-03-23,53.444086956561996,71.0
2021-03-24,62.17471731874308,65.0
2021-03-25,72.6670624279685,76.0
2021-03-26,71.13055662837365,67.0
2021-03-27,63.62231265355995,60.0
2021-03-28,65.39306830705885,69.0
2021-03-29,53.06983646614088,46.0
2021-03-30,46.2910756136481,33.0
2021-03-31,45.50919281606559,31.0
2021-04-01,45.654664966986346,29.0
2021-04-02,44.69009843261094,32.0
2021-04-03,48.88624915966364,40.0
2021-04-04,46.9440568995636,68.0
2021-04-05,48.146489636448926,82.0
2021-04-06,54.84091124075794,90.0
2021-04-07,65.19391167019525,74.0
2021-04-08,53.503759668483355,71.0
2021-04-09,48.45479214272159,86.0
2021-04-10,58.67385522656383,77.0
2021-04-11,74.64216283048576,88.0
2021-04-12,67.00760643716349,55.0
2021-04-13,65.21419846934388,44.0
2021-04-14,54.99262295234919,78.0
2021-04-15,64.23065859363244,81.0
2021-04-16,65.62139428431111,80.0
2021-04-17,71.49466673186666,92.0
2021-04-18,75.7588583295538,106.0
2021-04-19,67.46300413926389,98.0
2021-04-20,64.33364417448071,80.0
2021-04-21,80.46260565681938,68.0
2021-04-22,68.70820237626658,85.0
2021-04-23,63.316631159049116,58.0
2021-04-24,68.02123012632131,75.0
2021-04-25,53.485450115475984,43.0
2021-04-26,55.812083544973724,50.0
2021-04-27,47.59469747773677,41.0
2021-04-28,50.30569054626229,57.0
2021-04-29,56.82555522218573,60.0
2021-04-30,55.87470519278343,91.0
2021-05-01,55.60435254422422,96.0
2021-05-02,63.327025034962794,68.0
2021-05-03,48.80198479676946,53.0
2021-05-04,48.49352364114765,40.0
2021-05-05,54.24653693516009,75.0
2021-05-06,69.44851752006133,95.0
2021-05-07,36.31474053122148,61.0
