time,predict_value0,real
2021-01-01,47.789032858115206,49.0
2021-01-02,53.31250752322039,62.0
2021-01-03,60.631099231400555,69.0
2021-01-04,61.211958716497726,69.0
2021-01-05,65.65772223347683,77.0
2021-01-06,56.1199497308355,66.0
2021-01-07,41.03802513150218,67.0
2021-01-08,39.287220854483415,34.0
2021-01-09,48.93094954791025,42.0
2021-01-10,55.82792629743332,45.0
2021-01-11,54.315145757727294,34.0
2021-01-12,54.345457767940985,48.0
2021-01-13,57.45004487399099,64.0
2021-01-14,61.2882662090202,80.0
2021-01-15,54.73840462170886,86.0
2021-01-16,64.46136429023804,74.0
2021-01-17,50.6820132609593,75.0
2021-01-18,55.2245545148583,68.0
2021-01-19,59.73016575294766,61.0
2021-01-20,75.63843310628204,61.0
2021-01-21,66.56368518173626,80.0
2021-01-22,75.97385830013997,202.0
2021-01-23,77.48448181125421,56.0
2021-01-24,55.244832993358884,72.0
2021-01-25,68.52043257207077,82.0
2021-01-26,60.30149916183649,95.0
2021-01-27,60.325793322965026,78.0
2021-01-28,61.05252047579029,57.0
2021-01-29,57.01051791938205,80.0
2021-01-30,52.94187670311973,68.0
2021-01-31,54.606905775618294,64.0
2021-02-01,48.762517363945086,58.0
2021-02-02,59.1794591332585,80.0
2021-02-03,53.72621718411764,73.0
2021-02-04,57.94270097305377,73.0
2021-02-05,54.100619777259695,60.0
2021-02-06,56.377709033408216,75.0
2021-02-07,63.812297107742815,79.0
2021-02-08,60.55552849241839,69.0
2021-02-09,52.0935759209654,61.0
2021-02-10,31.55492737234632,34.0
2021-02-11,37.704455245398606,31.0
2021-02-12,42.96242641641589,43.0
2021-02-13,47.274597192482595,52.0
2021-02-14,46.737119443927796,58.0
2021-02-15,60.04656730830065,57.0
2021-02-16,50.525666719690086,68.0
2021-02-17,48.95531727352615,55.0
2021-02-18,45.2959231932801,76.0
2021-02-19,47.980706773929505,80.0
2021-02-20,48.75058232815504,94.0
2021-02-21,57.60867969236273,92.0
2021-02-22,57.283912271594396,51.0
2021-02-23,58.10754040189649,76.0
2021-02-24,53.110507859544256,68.0
2021-02-25,49.041359911313435,49.0
2021-02-26,46.93481574515081,53.0
2021-02-27,43.628882766245006,29.0
2021-02-28,49.565744842032814,60.0
2021-03-01,47.040511606399676,70.0
2021-03-02,54.946529285923255,41.0
2021-03-03,51.846297676889314,53.0
2021-03-04,39.33837428702798,57.0
2021-03-05,43.98200072668903,62.0
2021-03-06,41.78114291405993,52.0
2021-03-07,43.57401985157897,41.0
2021-03-08,51.74153255226522,62.0
2021-03-09,58.40873815810536,78.0
2021-03-10,57.611518330841605,67.0
2021-03-11,57.10289730008316,72.0
2021-03-12,55.65737207015744,57.0
2021-03-13,56.882596373014195,94.0
2021-03-14,54.34525955549679,90.0
2021-03-15,61.0540536333047,69.0
2021-03-16,64.31272246853808,47.0
2021-03-17,52.513671520097326,44.0
2021-03-18,47.95763207868519,49.0
2021-03-19,46.326457449285655,49.0
2021-03-20,44.137062974686714,39.0
2021-03-21,52.644151562588284,34.0
2021-03-22,43.02077786865281,34.0
2021-03-23,64.39147026847917,73.0
2021-03-24,67.12683675318226,60.0
2021-03-25,73.7946618396513,89.0
2021-03-26,67.81470848298308,75.0
2021-03-27,55.661900269868816,71.0
2021-03-28,53.0872959320984,48.0
2021-03-29,45.879893924226636,31.0
2021-03-30,39.24666105950842,30.0
2021-03-31,36.075993958609395,27.0
2021-04-01,36.540549416385865,31.0
2021-04-02,44.347257011536726,34.0
2021-04-03,42.4978910709876,44.0
2021-04-04,45.82071787990131,68.0
2021-04-05,49.345726493270654,84.0
2021-04-06,49.267429500534654,106.0
2021-04-07,54.34679626494727,85.0
2021-04-08,44.90860094065286,85.0
2021-04-09,48.8772840703284,71.0
2021-04-10,67.03886597519666,88.0
2021-04-11,62.86219292608421,91.0
2021-04-12,46.432635921484454,47.0
2021-04-13,43.924466459132866,43.0
2021-04-14,47.83312018873144,75.0
2021-04-15,48.88240076267474,65.0
2021-04-16,46.53726078937084,76.0
2021-04-17,40.983414959920886,91.0
2021-04-18,52.073414561191726,118.0
2021-04-19,61.528132248704075,106.0
2021-04-20,73.61216799521371,85.0
2021-04-21,65.69484419235995,75.0
2021-04-22,57.774211534759935,71.0
2021-04-23,48.448729210820545,94.0
2021-04-24,50.32985893645668,85.0
2021-04-25,43.91022967273023,47.0
2021-04-26,53.45552643586759,55.0
2021-04-27,38.11609971210963,39.0
2021-04-28,41.49294243615786,50.0
2021-04-29,55.43211664699117,58.0
2021-04-30,57.358492898828345,85.0
2021-05-01,61.239789685896106,104.0
2021-05-02,58.02397337998524,75.0
2021-05-03,44.41491491616069,52.0
2021-05-04,45.83367545075704,32.0
2021-05-05,47.43661399985111,65.0
2021-05-06,51.23388302768871,98.0
2021-05-07,37.97320545391124,47.0
