time,predict_value0,real
2021-01-01,60.37298580160886,43.0
2021-01-02,55.84475480547593,82.0
2021-01-03,64.92465559774645,104.0
2021-01-04,69.22209194056457,95.0
2021-01-05,77.38172637353549,89.0
2021-01-06,76.20098616357137,74.0
2021-01-07,71.2241043685402,72.0
2021-01-08,62.03414134355678,53.0
2021-01-09,64.42950284202222,58.0
2021-01-10,65.78073148353208,67.0
2021-01-11,69.58788802252352,55.0
2021-01-12,63.52436413485049,70.0
2021-01-13,58.9349855454031,107.0
2021-01-14,65.05409521237887,127.0
2021-01-15,87.78435355670558,108.0
2021-01-16,101.37795964265092,116.0
2021-01-17,71.01575826577636,89.0
2021-01-18,65.71083203314029,85.0
2021-01-19,85.67808991822592,98.0
2021-01-20,91.93210736817822,113.0
2021-01-21,103.436853576813,101.0
2021-01-22,97.36694739182919,60.0
2021-01-23,104.6598303687464,79.0
2021-01-24,85.64193499426909,72.0
2021-01-25,79.42504362600492,93.0
2021-01-26,76.9823993790684,99.0
2021-01-27,67.80313263775624,99.0
2021-01-28,56.30622696631452,55.0
2021-01-29,59.19231025921713,88.0
2021-01-30,77.10154782303354,95.0
2021-01-31,95.02142435348227,75.0
2021-02-01,90.94146451000695,74.0
2021-02-02,97.43046796727766,140.0
2021-02-03,69.39116236435096,89.0
2021-02-04,86.07757321133153,115.0
2021-02-05,82.73643116226918,84.0
2021-02-06,93.43305548046695,102.0
2021-02-07,96.4431179034656,100.0
2021-02-08,82.30784848727498,85.0
2021-02-09,74.43204470708946,47.0
2021-02-10,39.385404288353286,26.0
2021-02-11,57.798911117488224,41.0
2021-02-12,58.206191765143174,47.0
2021-02-13,73.08026944993868,55.0
2021-02-14,77.13795447240909,57.0
2021-02-15,82.38435403286063,77.0
2021-02-16,65.39366202476396,56.0
2021-02-17,68.72081111225745,58.0
2021-02-18,73.26814150605165,72.0
2021-02-19,72.60413644036971,90.0
2021-02-20,80.6152655075073,98.0
2021-02-21,83.36000860467976,90.0
2021-02-22,97.0000006273125,90.0
2021-02-23,96.4852157975015,132.0
2021-02-24,60.69177269529322,64.0
2021-02-25,53.48117984740764,38.0
2021-02-26,52.15886326202117,43.0
2021-02-27,38.140260815767846,43.0
2021-02-28,55.056109415498845,49.0
2021-03-01,52.476420409278916,70.0
2021-03-02,52.57178030601934,35.0
2021-03-03,58.69448766999732,68.0
2021-03-04,49.029453946817156,63.0
2021-03-05,61.16528127519418,68.0
2021-03-06,51.432964117826714,44.0
2021-03-07,38.064623883785536,53.0
2021-03-08,47.77803916764256,69.0
2021-03-09,51.121753942905684,66.0
2021-03-10,60.655079040694034,55.0
2021-03-11,51.96978557845925,68.0
2021-03-12,75.10476180358565,161.0
2021-03-13,59.2824106428078,71.0
2021-03-14,57.86766742128799,88.0
2021-03-15,54.015187340952004,70.0
2021-03-16,53.14479767817225,54.0
2021-03-17,53.439973485382865,49.0
2021-03-18,47.73870219136609,40.0
2021-03-19,52.950286421017836,37.0
2021-03-20,49.152570909392544,48.0
2021-03-21,40.68151704923686,41.0
2021-03-22,52.90856147379425,70.0
2021-03-23,61.54112829749987,95.0
2021-03-24,81.45801039175353,84.0
2021-03-25,94.71057278273136,110.0
2021-03-26,87.21574002337752,67.0
2021-03-27,64.95157147741078,51.0
2021-03-28,58.25298789985565,50.0
2021-03-29,57.68410843445282,33.0
2021-03-30,74.01149105310495,32.0
2021-03-31,67.24464155988231,27.0
2021-04-01,73.31725751421575,26.0
2021-04-02,83.40301061325654,29.0
2021-04-03,77.49959889365344,34.0
2021-04-04,49.4785118841298,53.0
2021-04-05,56.37494165329691,55.0
2021-04-06,75.9861852317928,133.0
2021-04-07,55.122531072297406,80.0
2021-04-08,42.690776650207404,48.0
2021-04-09,52.72788331314736,58.0
2021-04-10,62.30181845874932,123.0
2021-04-11,65.37542160802117,96.0
2021-04-12,58.31288441731661,55.0
2021-04-13,49.30420658322455,68.0
2021-04-14,47.88914730442294,43.0
2021-04-15,45.26794588592689,39.0
2021-04-16,44.41249535707668,43.0
2021-04-17,42.77747148006423,63.0
2021-04-18,76.23173991844968,91.0
2021-04-19,48.118559696596726,79.0
2021-04-20,70.3786661976182,82.0
2021-04-21,50.61470907603512,80.0
2021-04-22,54.3843551998478,72.0
2021-04-23,66.47160266731072,85.0
2021-04-24,55.642317673420415,47.0
2021-04-25,56.64118210119148,45.0
2021-04-26,42.47033691783332,43.0
2021-04-27,38.28691962934856,70.0
2021-04-28,44.67452831560799,52.0
2021-04-29,86.22056264397173,92.0
2021-04-30,93.48713187750279,151.0
2021-05-01,66.05896893927363,117.0
2021-05-02,65.70976045751353,52.0
2021-05-03,47.039018934815324,39.0
2021-05-04,50.567311114957704,32.0
2021-05-05,46.00396076284441,129.0
2021-05-06,50.724692250193726,63.0
2021-05-07,42.78559228750134,69.0
