time,predict_value0,real
2021-01-01,49.30513724902961,48.0
2021-01-02,48.31175323191183,52.0
2021-01-03,58.886093236534016,65.0
2021-01-04,58.65086738746364,65.0
2021-01-05,76.5074911764312,68.0
2021-01-06,67.23296563934483,67.0
2021-01-07,54.23877824797825,74.0
2021-01-08,49.47850973860717,52.0
2021-01-09,45.751321769859466,44.0
2021-01-10,49.474251088580374,53.0
2021-01-11,61.101210074362434,54.0
2021-01-12,56.25239615588162,62.0
2021-01-13,68.51194943407734,79.0
2021-01-14,70.65559841778492,99.0
2021-01-15,85.26391103846507,94.0
2021-01-16,84.37539839081185,67.0
2021-01-17,64.0714472235153,87.0
2021-01-18,69.95765913220104,72.0
2021-01-19,74.1648911514506,65.0
2021-01-20,79.3269842976288,55.0
2021-01-21,85.34330330799932,75.0
2021-01-22,103.55207922590279,92.0
2021-01-23,93.55025420257692,69.0
2021-01-24,76.31422037813927,55.0
2021-01-25,76.06081264514783,57.0
2021-01-26,73.89680675528905,92.0
2021-01-27,61.02359468251411,58.0
2021-01-28,53.75831956962701,63.0
2021-01-29,54.933356981712485,65.0
2021-01-30,56.87427765413264,61.0
2021-01-31,60.59175615947465,50.0
2021-02-01,50.61733452422688,43.0
2021-02-02,57.12875163030419,86.0
2021-02-03,50.64673576301799,63.0
2021-02-04,62.46474738620905,69.0
2021-02-05,55.68976474128787,49.0
2021-02-06,69.11568221942069,80.0
2021-02-07,65.16998052367202,60.0
2021-02-08,52.19384246355211,60.0
2021-02-09,51.31690719865869,48.0
2021-02-10,42.40667378574918,33.0
2021-02-11,40.0661508435284,28.0
2021-02-12,58.47995359923365,39.0
2021-02-13,57.24351911111914,44.0
2021-02-14,57.452220723927,56.0
2021-02-15,65.2699647197402,49.0
2021-02-16,51.654329523872164,50.0
2021-02-17,46.07587660733974,43.0
2021-02-18,65.15881260799364,54.0
2021-02-19,69.50308293911158,66.0
2021-02-20,61.41300694192904,72.0
2021-02-21,55.27493703616597,67.0
2021-02-22,58.59830700728446,50.0
2021-02-23,54.67070592141011,66.0
2021-02-24,49.72942727814098,47.0
2021-02-25,48.29467212868516,40.0
2021-02-26,43.613741746627184,44.0
2021-02-27,37.23679280048462,28.0
2021-02-28,43.95830931590453,46.0
2021-03-01,49.05947970367597,45.0
2021-03-02,52.823289873707544,44.0
2021-03-03,49.951985533481555,40.0
2021-03-04,46.62977223980253,51.0
2021-03-05,47.46045053339217,40.0
2021-03-06,38.22891047459198,38.0
2021-03-07,39.156342850492955,32.0
2021-03-08,41.770376897351994,41.0
2021-03-09,48.66940925879041,52.0
2021-03-10,52.38390151021492,49.0
2021-03-11,51.70567372918898,49.0
2021-03-12,54.856969665395376,92.0
2021-03-13,52.99560521573851,64.0
2021-03-14,44.83574028913168,73.0
2021-03-15,43.72091063742114,50.0
2021-03-16,43.10049914702008,43.0
2021-03-17,42.30965322597543,38.0
2021-03-18,43.35593606729849,33.0
2021-03-19,40.85136653392896,31.0
2021-03-20,38.80162902853607,40.0
2021-03-21,46.46156716316761,47.0
2021-03-22,47.572062379132866,52.0
2021-03-23,56.97621476485017,76.0
2021-03-24,64.25322482637306,83.0
2021-03-25,74.24380775950782,66.0
2021-03-26,68.27217587992841,50.0
2021-03-27,55.956008853418815,42.0
2021-03-28,49.47670195337352,47.0
2021-03-29,43.926670564908804,30.0
2021-03-30,38.374127984223165,24.0
2021-03-31,36.162304237931366,24.0
2021-04-01,36.62533747123696,25.0
2021-04-02,27.633928451999044,29.0
2021-04-03,37.05926865006732,38.0
2021-04-04,45.30512199874961,54.0
2021-04-05,47.23207333781613,47.0
2021-04-06,43.41726423584653,88.0
2021-04-07,42.90520220872727,61.0
2021-04-08,38.8145625106514,53.0
2021-04-09,47.00772931893499,40.0
2021-04-10,57.197494063772155,82.0
2021-04-11,52.22907076454908,68.0
2021-04-12,45.26260799626053,39.0
2021-04-13,40.06895346997298,42.0
2021-04-14,41.81260861006922,48.0
2021-04-15,40.35469918639073,45.0
2021-04-16,38.88748543745907,47.0
2021-04-17,38.700417759790035,40.0
2021-04-18,58.69869515249675,95.0
2021-04-19,59.404373341473054,90.0
2021-04-20,67.01417222293153,66.0
2021-04-21,49.147805271245176,69.0
2021-04-22,50.270011364081476,79.0
2021-04-23,51.808385859203575,85.0
2021-04-24,41.72136800530455,60.0
2021-04-25,47.87300987864883,43.0
2021-04-26,40.30298996878612,41.0
2021-04-27,34.82239610121333,30.0
2021-04-28,44.285125220140955,33.0
2021-04-29,63.24716949034746,78.0
2021-04-30,48.5629019689637,91.0
2021-05-01,60.100770490180324,111.0
2021-05-02,60.34914533631857,65.0
2021-05-03,39.22346756540328,42.0
2021-05-04,40.17199383140522,30.0
2021-05-05,42.295022032033074,85.0
2021-05-06,48.75211277813452,65.0
2021-05-07,39.34269926919481,55.0
