,pointname,precision（无气象数据）,precision（加入气象数据）
0,东莞南城元岭,0.478723404,0.793814433
1,东莞东城石井,0.447916667,0.711340206
2,东莞南城西平,0.447916667,0.783505155
3,东莞东城主山,0.385416667,0.701030928
4,东莞莞城梨川,0.479166667,0.793814433
5,东莞观澜,0.634408602,0.783505155
6,东莞万江金泰,0.494623656,0.783505155
7,中山华柏园,0.604166667,0.845360825
8,中山张溪,0.615384615,0.773195876
9,中山紫马岭,0.604166667,0.835051546
10,中山长江旅游区,0.625,0.804123711
11,中山中山南区,0.635416667,0.845360825
12,云浮新市府,0.739583333,0.90625
13,云浮牧羊,0.6875,0.90625
14,云浮文笔,0.697916667,0.875
15,佛山湾梁,0.484210526,0.75257732
16,佛山华材职中,0.447916667,0.608247423
17,佛山南海气象局,0.395833333,0.711340206
18,佛山顺德苏岗,0.510416667,0.711340206
19,佛山容桂街道办,0.552083333,0.75257732
20,佛山高明孔堂,0.5,0.845360825
21,佛山三水监测站,0.5,0.773195876
22,佛山三水云东海,0.447916667,0.783505155
23,佛山惠景城,0.65625,0.927083333
24,佛山金桔咀,0.666666667,0.9375
25,广州广雅中学,0.416666667,0.711340206
26,广州市五中,0.333333333,0.680412371
27,广州广东商学院,0.447916667,
28,广州市八十六中,0.416666667,
29,广州番禺中学,0.385416667,
30,广州花都师范,0.416666667,
31,广州市监测站,0.357894737,
32,广州九龙镇镇龙,0.53125,
33,广州麓湖,0.5,
34,广州帽峰山森林公园,0.375,
35,广州体育西,0.515789474,
36,广州从化街口,0.510416667,
37,广州增城荔城,0.489583333,
38,广州南沙街,0.53125,
39,广州南沙黄阁,0.559139785,
40,广州番禺大学城,0.484210526,
41,广州黄埔科学城,0.416666667,
42,广州白云嘉禾,0.53125,
43,广州白云竹料,0.427083333,
44,广州花都梯面,0.458333333,
45,广州从化良口,0.5,
46,惠州河南岸金山湖子站,0.610526316,
47,惠州下埔横江三路子站,0.541666667,
48,惠州江北云山西路子站,0.479166667,
49,惠州惠阳区承修路船湖子站,0.666666667,
50,惠州大亚湾管委会子站,0.71875,
51,惠州下埔横江三路,0.739583333,
52,惠州大亚湾管委会,0.84375,
53,惠州惠阳区承修路船湖,0.802083333,
54,惠州江北云山西路,0.729166667,
55,惠州河南岸金山湖,0.75,
56,惠州惠阳秋长,0.59375,
57,惠州大亚湾霞涌,0.71875,
58,揭阳新兴,0.638297872,
59,揭阳西马,0.520833333,
60,揭阳东兴,0.642105263,
61,揭阳渔湖,0.635416667,
62,揭阳实验小学,0.741935484,
63,揭阳曲溪,0.568421053,
64,梅州梅县新城,0.729166667,
65,梅州环境监控中心,0.677083333,
66,梅州梅江月梅,0.65625,
67,汕头金平子站,0.666666667,
68,汕头龙湖子站,0.631578947,
69,汕头濠江子站,0.677083333,
70,汕头澄海子站,0.638297872,
71,汕头潮阳子站,0.659574468,
72,汕头潮南子站,0.59375,
73,汕头潮南峡山,0.604166667,
74,汕尾市环保局,0.606382979,
75,汕尾市政府,0.652631579,
76,汕尾新城中学,0.627659574,
77,江门北街,0.515789474,
78,江门西区,0.542553191,
79,江门圭峰西,0.578947368,
80,江门东湖,0.541666667,
81,江门新会银湖,0.59375,
82,江门江海富民,0.568421053,
83,河源源西,0.572916667,
84,河源东埔,0.59375,
85,河源老城,0.552083333,
86,深圳洪湖,0.635294118,
87,深圳华侨城,0.78125,
88,深圳盐田,0.736842105,
89,深圳龙岗,0.614583333,
90,深圳西乡,0.708333333,
91,深圳南澳,0.789473684,
92,深圳葵涌,0.761904762,
93,深圳梅沙,0.726315789,
94,深圳南海子站,0.65625,
95,深圳通心岭子站,0.73255814,
96,深圳莲花,0.682352941,
97,深圳民治,0.638297872,
98,深圳横岗,0.663157895,
99,深圳坪山,0.722222222,
100,清远凤城街办,0.47311828,
101,清远环保大楼,0.395833333,
102,清远技师学院,0.5,
103,清远清新太和,0.447916667,
104,清远清城东城,0.40625,
105,湛江湛江影剧院,0.78125,
106,湛江市环境监测站,0.729166667,
107,湛江环保局宿舍,0.78125,
108,湛江霞山游泳场,0.802083333,
109,湛江麻章区环保局,0.78125,
110,湛江坡头区环保局,0.760416667,
111,潮州西园路,0.625,
112,潮州档案局,0.614583333,
113,潮州市政府,0.583333333,
114,珠海吉大,0.739583333,
115,珠海前山,0.729166667,
116,珠海唐家,0.6875,
117,珠海斗门,0.708333333,
118,珠海横琴,0.760416667,
119,珠海金湾,0.697916667,
120,肇庆睦岗子站,0.583333333,
121,肇庆城中子站,0.552083333,
122,肇庆坑口子站,0.625,
123,肇庆七星岩子站,0.53125,
124,肇庆高要湖西,0.6875,
125,肇庆鼎湖凤凰,0.541666667,
126,茂名茂石化七小,0.84375,
127,茂名健康路,0.760416667,
128,茂名高岭,0.770833333,
129,茂名电白南海,0.791666667,
130,茂名电白水东,0.697916667,
131,阳江鸳鸯湖,0.78125,
132,阳江马南垌,0.802083333,
133,阳江两阳中学,0.739583333,
134,阳江阳东陶然,0.78125,
135,韶关市八中,0.479166667,
136,韶关碧湖山庄,0.479166667,
137,韶关园林处,0.521276596,
138,韶关韶关学院,0.468085106,
139,韶关曲江监测站,0.547368421,
,,0.6043,
