time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-10-31,南城元岭,95.0,1.026,40.708,16.522,153.0,52.0,82.0,良,O3,国控点,113.7533,23.0202,东莞
2017-10-31,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-10-31,东城石井,118.0,1.004,25.083,16.625,179.0,50.0,70.0,轻度污染,O3,国控点,113.794444,23.012778,东莞
2017-10-31,南城西平,102.0,0.908,52.125,18.208,162.0,56.0,80.0,轻度污染,O3,国控点,113.738333,22.965833,东莞
2017-10-31,东城主山,104.0,0.874,41.13,14.826,164.0,54.0,74.0,轻度污染,O3,国控点,113.7875,23.0457,东莞
2017-10-31,莞城梨川,96.0,0.988,53.958,16.208,145.0,71.0,87.0,良,PM2.5,国控点,113.748056,23.06,东莞
2017-11-01,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-01,南城元岭,100.0,1.054,66.348,17.25,160.0,63.0,97.0,良,O3,国控点,113.7533,23.0202,东莞
2017-11-01,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-01,东城石井,124.0,1.096,40.917,14.208,186.0,60.0,80.0,轻度污染,O3,国控点,113.794444,23.012778,东莞
2017-11-01,南城西平,112.0,1.058,75.417,15.667,173.0,73.0,104.0,轻度污染,O3,国控点,113.738333,22.965833,东莞
2017-11-01,东城主山,108.0,1.029,64.333,13.458,168.0,69.0,91.0,轻度污染,O3,国控点,113.7875,23.0457,东莞
2017-11-01,莞城梨川,120.0,1.17,79.818,16.13,154.0,90.0,108.0,轻度污染,PM2.5,国控点,113.748056,23.06,东莞
2017-11-02,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-02,南城元岭,101.0,1.104,80.125,18.875,157.0,66.0,99.0,轻度污染,NO2,国控点,113.7533,23.0202,东莞
2017-11-02,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-02,东城石井,118.0,1.125,48.864,13.091,179.0,60.0,77.0,轻度污染,O3,国控点,113.794444,23.012778,东莞
2017-11-02,南城西平,108.0,1.048,75.05,9.857,168.0,70.0,103.0,轻度污染,O3,国控点,113.738333,22.965833,东莞
2017-11-02,东城主山,97.0,1.113,74.044,15.5,156.0,72.0,96.0,良,PM2.5,国控点,113.7875,23.0457,东莞
2017-11-02,莞城梨川,131.0,1.213,80.952,21.667,144.0,99.0,112.0,轻度污染,PM2.5,国控点,113.748056,23.06,东莞
2017-11-03,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-03,南城元岭,76.0,0.879,52.913,16.217,131.0,50.0,78.0,良,O3,国控点,113.7533,23.0202,东莞
2017-11-03,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-03,东城石井,74.0,0.946,46.458,15.333,128.0,48.0,68.0,良,O3,国控点,113.794444,23.012778,东莞
2017-11-03,南城西平,96.0,0.917,76.625,21.625,144.0,54.0,80.0,良,NO2,国控点,113.738333,22.965833,东莞
2017-11-03,东城主山,75.0,0.917,56.292,13.417,130.0,52.0,68.0,良,O3,国控点,113.7875,23.0457,东莞
2017-11-03,莞城梨川,70.0,0.883,55.762,17.917,123.0,45.0,73.0,良,O3,国控点,113.748056,23.06,东莞
2017-11-04,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-04,南城元岭,71.0,0.888,29.875,14.667,124.0,52.0,81.0,良,PM2.5,国控点,113.7533,23.0202,东莞
2017-11-04,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-04,东城石井,78.0,0.896,30.083,15.75,133.0,48.0,69.0,良,O3,国控点,113.794444,23.012778,东莞
2017-11-04,南城西平,76.0,0.883,47.458,18.375,129.0,55.0,74.0,良,PM2.5,国控点,113.738333,22.965833,东莞
2017-11-04,东城主山,75.0,0.942,32.083,12.458,130.0,53.0,66.0,良,O3,国控点,113.7875,23.0457,东莞
2017-11-04,莞城梨川,81.0,0.9,31.75,14.375,123.0,59.0,81.0,良,PM2.5,国控点,113.748056,23.06,东莞
2017-11-05,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-05,南城元岭,100.0,1.075,28.739,14.913,157.0,75.0,104.0,良,PM2.5,国控点,113.7533,23.0202,东莞
2017-11-05,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-05,东城石井,107.0,1.096,26.174,14.739,167.0,70.0,92.0,轻度污染,O3,国控点,113.794444,23.012778,东莞
2017-11-05,南城西平,116.0,1.038,37.375,16.875,177.0,76.0,94.0,轻度污染,O3,国控点,113.738333,22.965833,东莞
2017-11-05,东城主山,108.0,1.075,28.667,12.292,168.0,75.0,89.0,轻度污染,O3,国控点,113.7875,23.0457,东莞
2017-11-05,莞城梨川,101.0,1.063,31.0,15.167,151.0,76.0,100.0,轻度污染,PM2.5,国控点,113.748056,23.06,东莞
2017-11-06,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-06,南城元岭,79.0,0.979,40.458,18.292,100.0,58.0,81.0,良,PM2.5,国控点,113.7533,23.0202,东莞
2017-11-06,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-06,东城石井,76.0,0.95,33.5,17.583,112.0,56.0,69.0,良,PM2.5,国控点,113.794444,23.012778,东莞
2017-11-06,南城西平,78.0,0.917,45.583,18.5,111.0,57.0,72.0,良,PM2.5,国控点,113.738333,22.965833,东莞
2017-11-06,东城主山,78.0,0.929,36.75,14.75,108.0,57.0,68.0,良,PM2.5,国控点,113.7875,23.0457,东莞
2017-11-06,莞城梨川,80.0,0.954,37.75,19.333,96.0,59.0,78.0,良,PM2.5,国控点,113.748056,23.06,东莞
2017-11-07,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
2017-11-07,南城元岭,54.0,1.017,37.478,10.625,42.0,38.0,48.0,良,PM2.5,国控点,113.7533,23.0202,东莞
2017-11-07,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞
2017-11-07,东城石井,53.0,0.929,34.083,10.083,44.0,37.0,41.0,良,PM2.5,国控点,113.794444,23.012778,东莞
2017-11-07,南城西平,56.0,0.863,44.625,7.042,43.0,39.0,41.0,良,PM2.5,国控点,113.738333,22.965833,东莞
2017-11-07,东城主山,54.0,0.926,32.565,6.304,44.0,38.0,38.0,良,PM2.5,国控点,113.7875,23.0457,东莞
2017-11-07,莞城梨川,54.0,0.946,31.542,10.417,40.0,38.0,45.0,良,PM2.5,国控点,113.748056,23.06,东莞
2017-11-08,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞
