time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,华柏园,110.0,1.05,67.583,24.667,170.0,63.0,91.0,轻度污染,O3,国控点,113.3769,22.5211,中山
2017-10-31,张溪,119.0,0.742,56.292,19.75,180.0,67.0,97.0,轻度污染,O3,国控点,113.3881,22.5497,中山
2017-10-31,紫马岭,130.0,0.721,44.125,19.167,193.0,58.0,86.0,轻度污染,O3,国控点,113.4075,22.5111,中山
2017-10-31,长江旅游区,137.0,0.813,32.773,16.348,200.0,67.0,90.0,轻度污染,O3,国控点,113.4411,22.4853,中山
2017-11-01,华柏园,108.0,1.271,94.042,19.625,163.0,75.0,101.0,轻度污染,NO2,国控点,113.3769,22.5211,中山
2017-11-01,张溪,114.0,0.995,77.727,14.227,175.0,83.0,120.0,轻度污染,O3,国控点,113.3881,22.5497,中山
2017-11-01,紫马岭,131.0,0.695,59.5,15.381,194.0,62.0,92.0,轻度污染,O3,国控点,113.4075,22.5111,中山
2017-11-01,长江旅游区,120.0,0.839,31.522,12.739,181.0,65.0,88.0,轻度污染,O3,国控点,113.4411,22.4853,中山
2017-11-02,华柏园,120.0,1.671,117.0,18.917,159.0,91.0,113.0,轻度污染,PM2.5,国控点,113.3769,22.5211,中山
2017-11-02,张溪,114.0,1.313,96.682,13.455,172.0,86.0,140.0,轻度污染,PM2.5,国控点,113.3881,22.5497,中山
2017-11-02,紫马岭,144.0,0.738,66.167,16.167,208.0,61.0,94.0,轻度污染,O3,国控点,113.4075,22.5111,中山
2017-11-02,长江旅游区,155.0,0.867,41.625,13.75,220.0,57.0,77.0,中度污染,O3,国控点,113.4411,22.4853,中山
2017-11-03,华柏园,104.0,1.138,87.333,25.542,146.0,59.0,89.0,轻度污染,NO2,国控点,113.3769,22.5211,中山
2017-11-03,张溪,96.0,0.896,69.458,21.917,155.0,58.0,100.0,良,O3,国控点,113.3881,22.5497,中山
2017-11-03,紫马岭,110.0,0.735,72.87,20.696,171.0,56.0,88.0,轻度污染,O3,国控点,113.4075,22.5111,中山
2017-11-03,长江旅游区,117.0,0.846,51.75,14.875,178.0,58.0,77.0,轻度污染,O3,国控点,113.4411,22.4853,中山
2017-11-04,华柏园,85.0,1.067,67.208,27.542,118.0,58.0,88.0,良,NO2,国控点,113.3769,22.5211,中山
2017-11-04,张溪,78.0,0.808,47.458,24.583,133.0,56.0,95.0,良,O3,国控点,113.3881,22.5497,中山
2017-11-04,紫马岭,84.0,0.592,54.583,23.208,140.0,54.0,85.0,良,O3,国控点,113.4075,22.5111,中山
2017-11-04,长江旅游区,92.0,0.917,50.167,19.958,150.0,59.0,91.0,良,O3,国控点,113.4411,22.4853,中山
2017-11-05,华柏园,115.0,1.204,55.125,24.75,176.0,86.0,113.0,轻度污染,O3,国控点,113.3769,22.5211,中山
2017-11-05,张溪,121.0,0.958,36.375,19.125,183.0,84.0,115.0,轻度污染,O3,国控点,113.3881,22.5497,中山
2017-11-05,紫马岭,135.0,0.791,40.826,20.87,198.0,78.0,106.0,轻度污染,O3,国控点,113.4075,22.5111,中山
2017-11-05,长江旅游区,136.0,1.125,43.0,20.708,199.0,94.0,130.0,轻度污染,O3,国控点,113.4411,22.4853,中山
2017-11-06,华柏园,97.0,1.126,65.087,25.957,96.0,72.0,96.0,良,PM2.5,国控点,113.3769,22.5211,中山
2017-11-06,张溪,91.0,0.879,47.583,23.458,114.0,68.0,99.0,良,PM2.5,国控点,113.3881,22.5497,中山
2017-11-06,紫马岭,89.0,0.715,46.692,20.615,137.0,66.0,93.0,良,PM2.5,国控点,113.4075,22.5111,中山
2017-11-06,长江旅游区,109.0,1.042,56.208,19.958,137.0,81.0,106.0,轻度污染,PM2.5,国控点,113.4411,22.4853,中山
2017-11-07,华柏园,65.0,0.988,50.042,8.565,30.0,47.0,42.0,良,PM2.5,国控点,113.3769,22.5211,中山
2017-11-07,张溪,56.0,0.854,44.25,4.167,30.0,40.0,49.0,良,PM2.5,国控点,113.3881,22.5497,中山
2017-11-07,紫马岭,72.0,1.28,57.4,8.0,22.0,40.0,79.0,良,NO2,国控点,113.4075,22.5111,中山
2017-11-07,长江旅游区,76.0,1.004,60.75,8.75,33.0,48.0,57.0,良,NO2,国控点,113.4411,22.4853,中山
2017-11-08,华柏园,70.0,1.092,55.542,11.583,21.0,38.0,52.0,良,NO2,国控点,113.3769,22.5211,中山
2017-11-08,张溪,60.0,0.875,47.292,6.0,25.0,25.0,46.0,良,NO2,国控点,113.3881,22.5497,中山
2017-11-08,紫马岭,64.0,1.229,50.708,9.958,30.0,26.0,46.0,良,NO2,国控点,113.4075,22.5111,中山
2017-11-08,长江旅游区,80.0,0.904,63.917,10.348,21.0,34.0,46.0,良,NO2,国控点,113.4411,22.4853,中山
2017-11-09,华柏园,109.0,1.559,75.333,14.95,147.0,82.0,84.0,轻度污染,PM2.5,国控点,113.3769,22.5211,中山
2017-11-09,张溪,119.0,1.122,56.955,11.87,180.0,57.0,94.0,轻度污染,O3,国控点,113.3881,22.5497,中山
2017-11-09,紫马岭,126.0,1.574,43.435,10.522,188.0,42.0,70.0,轻度污染,O3,国控点,113.4075,22.5111,中山
