time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,新市府,80.0,0.788,27.833,16.167,136.0,54.0,72.0,良,O3,国控点,112.0392,22.9169,云浮
2017-10-31,市监测站,82.0,1.079,50.5,22.333,131.0,61.0,103.0,良,PM2.5,国控点,112.0369,22.9394,云浮
2017-10-31,牧羊,69.0,0.761,52.957,27.739,108.0,50.0,87.0,良,PM10,国控点,112.0539,22.9539,云浮
2017-11-01,新市府,85.0,0.9,27.0,16.208,142.0,60.0,78.0,良,O3,国控点,112.0392,22.9169,云浮
2017-11-01,市监测站,95.0,1.165,56.261,26.565,131.0,70.0,110.0,良,PM2.5,国控点,112.0369,22.9394,云浮
2017-11-01,牧羊,82.0,0.979,61.333,33.792,130.0,60.0,106.0,良,PM2.5,国控点,112.0539,22.9539,云浮
2017-11-02,新市府,87.0,0.904,26.913,13.652,144.0,59.0,90.0,良,O3,国控点,112.0392,22.9169,云浮
2017-11-02,市监测站,101.0,1.246,60.667,24.75,131.0,76.0,123.0,轻度污染,PM2.5,国控点,112.0369,22.9394,云浮
2017-11-02,牧羊,90.0,0.946,64.0,33.25,136.0,67.0,114.0,良,PM2.5,国控点,112.0539,22.9539,云浮
2017-11-03,新市府,85.0,0.604,22.542,12.292,141.0,51.0,66.0,良,O3,国控点,112.0392,22.9169,云浮
2017-11-03,市监测站,93.0,1.275,54.667,16.208,128.0,69.0,106.0,良,PM2.5,国控点,112.0369,22.9394,云浮
2017-11-03,牧羊,76.0,0.692,54.125,16.083,131.0,49.0,84.0,良,O3,国控点,112.0539,22.9539,云浮
2017-11-04,新市府,89.0,0.596,27.083,16.042,146.0,48.0,72.0,良,O3,国控点,112.0392,22.9169,云浮
2017-11-04,市监测站,80.0,0.933,45.542,17.75,134.0,59.0,91.0,良,PM2.5,国控点,112.0369,22.9394,云浮
2017-11-04,牧羊,72.0,0.646,54.375,24.125,126.0,48.0,82.0,良,O3,国控点,112.0539,22.9539,云浮
2017-11-05,新市府,96.0,0.688,22.333,17.75,153.0,72.0,89.0,良,PM2.5,国控点,112.0392,22.9169,云浮
2017-11-05,市监测站,101.0,0.888,37.583,20.667,142.0,75.0,106.0,轻度污染,PM2.5,国控点,112.0369,22.9394,云浮
2017-11-05,牧羊,85.0,0.783,44.542,17.042,131.0,63.0,91.0,良,PM2.5,国控点,112.0539,22.9539,云浮
