time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,河南岸金山湖子站,85.0,1.008,36.042,12.792,142.0,55.0,96.0,良,O3,国控点,114.4183,23.0528,惠州
2017-10-31,下埔横江三路子站,87.0,0.896,37.542,14.5,144.0,51.0,91.0,良,O3,国控点,114.4053,23.08,惠州
2017-10-31,江北云山西路子站,84.0,0.865,42.478,13.783,140.0,48.0,85.0,良,O3,国控点,114.4103,23.1142,惠州
2017-10-31,惠阳区承修路船湖子站,77.0,0.979,31.875,9.5,132.0,55.0,93.0,良,O3,国控点,114.3244,22.8172,惠州
2017-10-31,大亚湾管委会子站,85.0,0.925,39.958,11.083,141.0,58.0,85.0,良,O3,国控点,114.5317,22.7422,惠州
2017-11-01,河南岸金山湖子站,80.0,1.021,41.25,11.625,135.0,58.0,98.0,良,O3,国控点,114.4183,23.0528,惠州
2017-11-01,下埔横江三路子站,88.0,0.875,43.042,16.333,145.0,55.0,93.0,良,O3,国控点,114.4053,23.08,惠州
2017-11-01,江北云山西路子站,86.0,0.946,51.333,17.667,143.0,56.0,91.0,良,O3,国控点,114.4103,23.1142,惠州
2017-11-01,惠阳区承修路船湖子站,74.0,0.858,33.958,8.125,128.0,46.0,77.0,良,O3,国控点,114.3244,22.8172,惠州
2017-11-01,大亚湾管委会子站,84.0,0.721,37.25,12.167,140.0,36.0,70.0,良,O3,国控点,114.5317,22.7422,惠州
2017-11-02,河南岸金山湖子站,80.0,1.117,49.833,11.917,135.0,58.0,100.0,良,O3,国控点,114.4183,23.0528,惠州
2017-11-02,下埔横江三路子站,91.0,0.943,55.783,16.565,149.0,58.0,96.0,良,O3,国控点,114.4053,23.08,惠州
2017-11-02,江北云山西路子站,91.0,0.963,59.083,16.167,149.0,55.0,92.0,良,O3,国控点,114.4103,23.1142,惠州
2017-11-02,惠阳区承修路船湖子站,77.0,0.904,35.458,8.0,132.0,45.0,79.0,良,O3,国控点,114.3244,22.8172,惠州
2017-11-02,大亚湾管委会子站,90.0,0.775,47.417,15.625,148.0,49.0,86.0,良,O3,国控点,114.5317,22.7422,惠州
2017-11-03,河南岸金山湖子站,90.0,0.833,28.044,18.217,148.0,51.0,89.0,良,O3,国控点,114.4183,23.0528,惠州
2017-11-03,下埔横江三路子站,95.0,0.671,26.667,18.208,154.0,46.0,76.0,良,O3,国控点,114.4053,23.08,惠州
2017-11-03,江北云山西路子站,97.0,0.779,24.917,16.708,156.0,45.0,74.0,良,O3,国控点,114.4103,23.1142,惠州
2017-11-03,惠阳区承修路船湖子站,80.0,0.958,35.125,12.0,136.0,51.0,93.0,良,O3,国控点,114.3244,22.8172,惠州
2017-11-03,大亚湾管委会子站,90.0,0.779,40.125,16.833,148.0,52.0,84.0,良,O3,国控点,114.5317,22.7422,惠州
2017-11-04,河南岸金山湖子站,86.0,0.8,25.125,18.583,135.0,64.0,101.0,良,PM2.5,国控点,114.4183,23.0528,惠州
