time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,东湖公园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.382534,23.5323,揭阳
2017-10-31,仙滘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-10-31,中长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-10-31,渔湖初级中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.41849,23.522152,揭阳
2017-10-31,新兴,80.0,0.863,25.167,15.625,136.0,38.0,76.0,良,O3,国控点,116.3697,23.5353,揭阳
2017-10-31,西马,76.0,0.629,24.792,17.875,131.0,40.0,73.0,良,O3,国控点,116.3242,23.5486,揭阳
2017-10-31,东兴,85.0,0.704,22.917,14.25,142.0,35.0,53.0,良,O3,国控点,116.3594,23.5739,揭阳
2017-10-31,渔湖,70.0,0.617,21.375,9.542,123.0,40.0,70.0,良,O3,国控点,116.4094,23.5292,揭阳
2017-11-01,东湖公园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.382534,23.5323,揭阳
2017-11-01,仙滘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-11-01,中长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-11-01,渔湖初级中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.41849,23.522152,揭阳
2017-11-01,新兴,85.0,0.942,30.042,22.125,142.0,36.0,69.0,良,O3,国控点,116.3697,23.5353,揭阳
2017-11-01,西马,80.0,0.771,31.458,18.458,136.0,44.0,69.0,良,O3,国控点,116.3242,23.5486,揭阳
2017-11-01,东兴,91.0,0.829,33.208,30.333,149.0,31.0,66.0,良,O3,国控点,116.3594,23.5739,揭阳
2017-11-01,渔湖,71.0,0.675,28.917,12.292,125.0,41.0,66.0,良,O3,国控点,116.4094,23.5292,揭阳
2017-11-02,东湖公园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.382534,23.5323,揭阳
2017-11-02,仙滘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-11-02,中长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.379501,23.547999,揭阳
2017-11-02,渔湖初级中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.41849,23.522152,揭阳
2017-11-02,新兴,94.0,0.988,32.833,20.0,152.0,46.0,81.0,良,O3,国控点,116.3697,23.5353,揭阳
2017-11-02,西马,97.0,0.95,33.125,18.958,156.0,51.0,78.0,良,O3,国控点,116.3242,23.5486,揭阳
2017-11-02,东兴,112.0,1.013,36.333,25.25,173.0,37.0,74.0,轻度污染,O3,国控点,116.3594,23.5739,揭阳
2017-11-02,渔湖,81.0,0.813,32.667,13.583,137.0,53.0,80.0,良,O3,国控点,116.4094,23.5292,揭阳
2017-11-03,东湖公园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.382534,23.5323,揭阳
