time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,嘉应大学,68.0,0.946,31.167,11.792,121.0,47.0,64.0,良,O3,国控点,116.1278,24.3289,梅州
2017-10-31,梅县新城,73.0,1.033,43.208,10.0,118.0,53.0,86.0,良,PM2.5,国控点,116.0797,24.2719,梅州
2017-10-31,环境监控中心,78.0,0.979,46.5,14.5,99.0,57.0,84.0,良,PM2.5,国控点,116.1248,24.2654,梅州
2017-11-01,嘉应大学,68.0,1.008,37.708,11.391,121.0,42.0,64.0,良,O3,国控点,116.1278,24.3289,梅州
2017-11-01,梅县新城,76.0,1.179,52.375,9.875,112.0,55.0,92.0,良,PM2.5,国控点,116.0797,24.2719,梅州
2017-11-01,环境监控中心,66.0,0.971,48.13,12.0,86.0,48.0,82.0,良,PM10,国控点,116.1248,24.2654,梅州
2017-11-02,嘉应大学,73.0,1.067,44.583,11.583,127.0,47.0,70.0,良,O3,国控点,116.1278,24.3289,梅州
2017-11-02,梅县新城,76.0,1.257,56.667,10.042,119.0,55.0,96.0,良,PM2.5,国控点,116.0797,24.2719,梅州
2017-11-02,环境监控中心,74.0,1.104,53.208,13.25,107.0,52.0,96.0,良,PM10,国控点,116.1248,24.2654,梅州
2017-11-03,嘉应大学,70.0,0.867,31.375,11.333,124.0,40.0,57.0,良,O3,国控点,116.1278,24.3289,梅州
2017-11-03,梅县新城,69.0,1.083,44.739,9.0,122.0,44.0,66.0,良,O3,国控点,116.0797,24.2719,梅州
2017-11-03,环境监控中心,72.0,1.075,51.625,17.708,112.0,52.0,87.0,良,PM2.5,国控点,116.1248,24.2654,梅州
2017-11-04,嘉应大学,91.0,0.967,30.417,14.208,149.0,51.0,66.0,良,O3,国控点,116.1278,24.3289,梅州
2017-11-04,梅县新城,84.0,1.104,37.458,12.375,140.0,53.0,77.0,良,O3,国控点,116.0797,24.2719,梅州
2017-11-04,环境监控中心,79.0,1.058,50.833,19.0,119.0,56.0,107.0,良,PM10,国控点,116.1248,24.2654,梅州
2017-11-05,嘉应大学,79.0,0.958,27.708,13.458,114.0,58.0,69.0,良,PM2.5,国控点,116.1278,24.3289,梅州
2017-11-05,梅县新城,75.0,1.129,28.958,10.625,113.0,55.0,73.0,良,PM2.5,国控点,116.0797,24.2719,梅州
2017-11-05,环境监控中心,83.0,1.013,39.375,16.667,94.0,61.0,88.0,良,PM2.5,国控点,116.1248,24.2654,梅州
2017-11-06,嘉应大学,52.0,0.916,38.526,12.79,64.0,33.0,52.0,良,PM10,国控点,116.1278,24.3289,梅州
2017-11-06,梅县新城,52.0,1.017,33.042,11.083,68.0,36.0,49.0,良,PM2.5,国控点,116.0797,24.2719,梅州
2017-11-06,环境监控中心,58.0,0.967,37.917,14.708,56.0,38.0,64.0,良,PM10,国控点,116.1248,24.2654,梅州
2017-11-07,嘉应大学,53.0,0.938,34.522,10.435,69.0,37.0,52.0,良,PM2.5,国控点,116.1278,24.3289,梅州
