time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,金平子站,60.0,0.836,26.409,11.087,111.0,23.0,58.0,良,O3,国控点,116.6794,23.3667,汕头
2017-10-31,龙湖子站,65.0,0.821,19.708,9.875,118.0,20.0,46.0,良,O3,国控点,116.7244,23.3633,汕头
2017-10-31,濠江子站,70.0,0.629,11.333,9.917,124.0,22.0,52.0,良,O3,国控点,116.7258,23.2775,汕头
2017-10-31,澄海子站,56.0,0.65,18.792,9.391,105.0,35.0,61.0,良,PM10,国控点,116.7519,23.4714,汕头
2017-10-31,潮阳子站,62.0,0.596,18.75,10.583,114.0,27.0,62.0,良,O3,国控点,116.6092,23.2539,汕头
2017-10-31,潮南子站,70.0,0.675,25.0,15.292,124.0,31.0,56.0,良,O3,国控点,116.4069,23.2533,汕头
2017-11-01,金平子站,65.0,0.875,31.042,15.292,117.0,28.0,53.0,良,O3,国控点,116.6794,23.3667,汕头
2017-11-01,龙湖子站,70.0,0.848,23.046,11.435,123.0,23.0,42.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-01,濠江子站,73.0,0.708,16.125,11.5,127.0,21.0,44.0,良,O3,国控点,116.7258,23.2775,汕头
2017-11-01,澄海子站,54.0,0.742,21.125,9.875,104.0,32.0,50.0,良,O3,国控点,116.7519,23.4714,汕头
2017-11-01,潮阳子站,69.0,0.687,25.522,12.875,122.0,26.0,64.0,良,O3,国控点,116.6092,23.2539,汕头
2017-11-01,潮南子站,75.0,0.75,30.167,20.958,130.0,35.0,62.0,良,O3,国控点,116.4069,23.2533,汕头
2017-11-02,金平子站,57.0,1.021,39.292,14.25,106.0,35.0,63.0,良,PM10,国控点,116.6794,23.3667,汕头
2017-11-02,龙湖子站,67.0,0.958,26.042,10.958,120.0,29.0,50.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-02,濠江子站,65.0,0.854,23.833,12.333,118.0,30.0,54.0,良,O3,国控点,116.7258,23.2775,汕头
2017-11-02,澄海子站,52.0,0.77,23.286,9.304,100.0,36.0,51.0,良,PM2.5,国控点,116.7519,23.4714,汕头
2017-11-02,潮阳子站,66.0,0.792,31.625,13.833,105.0,36.0,80.0,良,PM10,国控点,116.6092,23.2539,汕头
2017-11-02,潮南子站,76.0,0.817,31.875,21.625,131.0,54.0,78.0,良,O3,国控点,116.4069,23.2533,汕头
2017-11-03,金平子站,90.0,1.017,34.458,14.25,148.0,46.0,71.0,良,O3,国控点,116.6794,23.3667,汕头
2017-11-03,龙湖子站,100.0,1.042,25.625,12.917,160.0,35.0,59.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-03,濠江子站,95.0,0.848,22.409,12.913,153.0,40.0,74.0,良,O3,国控点,116.7258,23.2775,汕头
2017-11-03,澄海子站,82.0,0.817,22.792,9.833,138.0,43.0,62.0,良,O3,国控点,116.7519,23.4714,汕头
2017-11-03,潮阳子站,95.0,0.767,26.083,14.0,153.0,36.0,81.0,良,O3,国控点,116.6092,23.2539,汕头
2017-11-03,潮南子站,105.0,0.817,32.217,20.0,165.0,41.0,68.0,轻度污染,O3,国控点,116.4069,23.2533,汕头
2017-11-04,金平子站,85.0,1.1,33.417,15.292,141.0,51.0,93.0,良,O3,国控点,116.6794,23.3667,汕头
2017-11-04,龙湖子站,98.0,1.017,21.917,12.0,157.0,43.0,76.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-04,濠江子站,101.0,0.675,12.125,11.0,161.0,46.0,83.0,轻度污染,O3,国控点,116.7258,23.2775,汕头
2017-11-04,澄海子站,74.0,0.842,26.167,14.375,126.0,54.0,88.0,良,PM2.5,国控点,116.7519,23.4714,汕头
2017-11-04,潮阳子站,95.0,0.754,21.478,12.174,153.0,44.0,95.0,良,O3,国控点,116.6092,23.2539,汕头
2017-11-04,潮南子站,91.0,0.942,31.125,19.208,149.0,47.0,89.0,良,O3,国控点,116.4069,23.2533,汕头
2017-11-05,金平子站,57.0,0.896,24.833,12.917,108.0,27.0,64.0,良,PM10,国控点,116.6794,23.3667,汕头
2017-11-05,龙湖子站,64.0,0.871,18.458,10.208,116.0,24.0,47.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-05,濠江子站,64.0,0.517,9.667,9.25,116.0,23.0,46.0,良,O3,国控点,116.7258,23.2775,汕头
2017-11-05,澄海子站,56.0,0.688,21.292,11.792,94.0,39.0,55.0,良,PM2.5,国控点,116.7519,23.4714,汕头
2017-11-05,潮阳子站,63.0,0.6,18.083,10.083,115.0,29.0,60.0,良,O3,国控点,116.6092,23.2539,汕头
2017-11-05,潮南子站,70.0,0.754,25.333,14.917,123.0,33.0,58.0,良,O3,国控点,116.4069,23.2533,汕头
2017-11-06,金平子站,55.0,1.055,36.857,14.818,88.0,34.0,59.0,良,PM10,国控点,116.6794,23.3667,汕头
2017-11-06,龙湖子站,54.0,1.079,27.25,13.792,104.0,28.0,48.0,良,O3,国控点,116.7244,23.3633,汕头
2017-11-06,濠江子站,58.0,0.671,18.5,12.0,109.0,26.0,49.0,良,O3,国控点,116.7258,23.2775,汕头
2017-11-06,澄海子站,52.0,0.8,23.958,10.958,87.0,33.0,53.0,良,PM10,国控点,116.7519,23.4714,汕头
2017-11-06,潮阳子站,56.0,0.733,26.458,12.917,97.0,28.0,62.0,良,PM10,国控点,116.6092,23.2539,汕头
2017-11-06,潮南子站,66.0,0.813,31.792,23.583,99.0,44.0,82.0,良,PM10,国控点,116.4069,23.2533,汕头
2017-11-07,金平子站,85.0,1.267,47.773,17.083,89.0,63.0,83.0,良,PM2.5,国控点,116.6794,23.3667,汕头
2017-11-07,龙湖子站,73.0,1.342,47.167,15.042,91.0,53.0,71.0,良,PM2.5,国控点,116.7244,23.3633,汕头
2017-11-07,濠江子站,62.0,0.9,29.708,13.5,100.0,45.0,73.0,良,PM10,国控点,116.7258,23.2775,汕头
