time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,市环保局,70.0,0.79,17.05,10.4,124.0,37.0,67.0,良,O3,国控点,115.3653,22.775,汕尾
2017-10-31,市政府,75.0,0.825,16.083,8.583,130.0,34.0,78.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-10-31,新城中学,65.0,0.813,13.833,10.667,118.0,36.0,70.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-01,市环保局,75.0,0.781,16.647,9.875,129.0,24.0,52.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-01,市政府,81.0,0.738,12.458,8.917,137.0,22.0,46.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-01,新城中学,67.0,0.717,11.792,10.25,120.0,25.0,49.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-02,市环保局,72.0,0.775,19.783,9.783,126.0,30.0,53.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-02,市政府,80.0,0.846,19.375,10.833,135.0,24.0,49.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-02,新城中学,71.0,0.8,18.542,10.167,125.0,32.0,56.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-03,市环保局,91.0,0.7,18.375,11.458,149.0,38.0,67.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-03,市政府,94.0,0.817,15.913,8.87,152.0,30.0,55.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-03,新城中学,87.0,0.858,14.333,11.625,144.0,40.0,62.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-04,市环保局,71.0,0.771,21.167,11.5,125.0,47.0,76.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-04,市政府,70.0,0.754,22.5,9.25,123.0,38.0,73.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-04,新城中学,71.0,0.791,18.0,11.739,118.0,52.0,75.0,良,PM2.5,国控点,115.3622,22.7925,汕尾
2017-11-05,市环保局,79.0,0.813,20.667,12.042,134.0,53.0,98.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-05,市政府,82.0,0.825,22.417,9.333,138.0,46.0,92.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-05,新城中学,80.0,0.813,18.292,12.042,135.0,56.0,96.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-06,市环保局,54.0,0.738,19.833,11.0,101.0,36.0,56.0,良,PM10,国控点,115.3653,22.775,汕尾
2017-11-06,市政府,55.0,0.696,16.458,10.875,106.0,31.0,54.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-06,新城中学,53.0,0.658,16.917,11.125,101.0,35.0,56.0,良,PM10,国控点,115.3622,22.7925,汕尾
2017-11-07,市环保局,56.0,0.792,19.042,10.458,82.0,40.0,57.0,良,PM2.5,国控点,115.3653,22.775,汕尾
2017-11-07,市政府,47.0,0.721,15.0,7.958,91.0,30.0,46.0,优,PM10,国控点,115.3706,22.7898,汕尾
2017-11-07,新城中学,54.0,0.642,13.583,10.542,81.0,38.0,49.0,良,PM2.5,国控点,115.3622,22.7925,汕尾
2017-11-08,市环保局,55.0,0.696,15.333,9.083,105.0,28.0,47.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-08,市政府,62.0,0.671,11.958,6.958,114.0,23.0,35.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-08,新城中学,55.0,0.621,11.792,9.5,105.0,27.0,38.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-09,市环保局,78.0,0.671,14.783,10.0,133.0,21.0,46.0,良,O3,国控点,115.3653,22.775,汕尾
2017-11-09,市政府,82.0,0.671,12.833,8.125,138.0,19.0,41.0,良,O3,国控点,115.3706,22.7898,汕尾
2017-11-09,新城中学,72.0,0.625,11.333,10.542,126.0,28.0,46.0,良,O3,国控点,115.3622,22.7925,汕尾
2017-11-10,市环保局,85.0,0.788,18.25,10.708,141.0,31.0,57.0,良,O3,国控点,115.3653,22.775,汕尾
