time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,北街,118.0,0.783,65.625,18.0,179.0,57.0,96.0,轻度污染,O3,国控点,113.104,22.6069,江门
2017-10-31,西区,100.0,1.0,73.857,13.5,160.0,61.0,103.0,良,O3,国控点,113.074,22.5811,江门
2017-10-31,圭峰西,137.0,0.883,30.696,9.25,200.0,55.0,86.0,轻度污染,O3,国控点,113.0219,22.5311,江门
2017-10-31,东湖,120.0,0.846,55.292,11.5,182.0,57.0,90.0,轻度污染,O3,国控点,113.0819,22.5931,江门
2017-11-01,北街,144.0,1.338,121.083,27.375,208.0,93.0,139.0,轻度污染,O3,国控点,113.104,22.6069,江门
2017-11-01,西区,126.0,1.388,113.417,21.792,188.0,95.0,147.0,轻度污染,PM2.5,国控点,113.074,22.5811,江门
2017-11-01,圭峰西,158.0,1.1,61.25,15.917,223.0,81.0,114.0,中度污染,O3,国控点,113.0219,22.5311,江门
2017-11-01,东湖,147.0,1.329,105.0,19.458,211.0,92.0,135.0,轻度污染,O3,国控点,113.0819,22.5931,江门
2017-11-02,北街,140.0,1.292,112.125,34.292,201.0,107.0,152.0,轻度污染,PM2.5,国控点,113.104,22.6069,江门
2017-11-02,西区,140.0,1.542,118.583,29.25,186.0,106.0,167.0,轻度污染,PM2.5,国控点,113.074,22.5811,江门
2017-11-02,圭峰西,173.0,1.142,40.833,13.75,238.0,74.0,119.0,中度污染,O3,国控点,113.0219,22.5311,江门
2017-11-02,东湖,150.0,1.463,107.542,27.292,215.0,93.0,152.0,轻度污染,O3,国控点,113.0819,22.5931,江门
2017-11-03,北街,102.0,0.8,83.833,24.708,161.0,58.0,93.0,轻度污染,NO2,国控点,113.104,22.6069,江门
2017-11-03,西区,96.0,0.95,76.5,19.875,152.0,60.0,100.0,良,NO2,国控点,113.074,22.5811,江门
2017-11-03,圭峰西,119.0,0.867,38.75,12.5,180.0,52.0,86.0,轻度污染,O3,国控点,113.0219,22.5311,江门
2017-11-03,东湖,104.0,0.825,68.792,17.792,164.0,56.0,91.0,轻度污染,O3,国控点,113.0819,22.5931,江门
2017-11-04,北街,93.0,0.767,47.625,20.667,151.0,54.0,87.0,良,O3,国控点,113.104,22.6069,江门
2017-11-04,西区,92.0,0.863,43.167,15.458,150.0,57.0,89.0,良,O3,国控点,113.074,22.5811,江门
2017-11-04,圭峰西,98.0,0.821,24.375,11.542,157.0,52.0,87.0,良,O3,国控点,113.0219,22.5311,江门
2017-11-04,东湖,95.0,0.725,39.5,15.5,153.0,64.0,90.0,良,O3,国控点,113.0819,22.5931,江门
2017-11-05,北街,130.0,0.917,49.625,19.208,192.0,85.0,116.0,轻度污染,O3,国控点,113.104,22.6069,江门
2017-11-05,西区,126.0,0.988,46.333,13.625,188.0,83.0,118.0,轻度污染,O3,国控点,113.074,22.5811,江门
2017-11-05,圭峰西,152.0,0.971,23.5,11.292,217.0,80.0,124.0,中度污染,O3,国控点,113.0219,22.5311,江门
2017-11-05,东湖,140.0,0.929,37.292,12.875,203.0,83.0,115.0,轻度污染,O3,国控点,113.0819,22.5931,江门
2017-11-06,北街,112.0,0.888,75.042,21.583,125.0,84.0,121.0,轻度污染,PM2.5,国控点,113.104,22.6069,江门
2017-11-06,西区,109.0,0.996,73.0,17.625,110.0,82.0,127.0,轻度污染,PM2.5,国控点,113.074,22.5811,江门
2017-11-06,圭峰西,103.0,1.004,48.435,15.042,135.0,77.0,135.0,轻度污染,PM2.5,国控点,113.0219,22.5311,江门
2017-11-06,东湖,100.0,0.888,61.75,16.083,132.0,75.0,119.0,良,PM2.5,国控点,113.0819,22.5931,江门
2017-11-07,北街,86.0,0.765,43.696,9.348,26.0,64.0,75.0,良,PM2.5,国控点,113.104,22.6069,江门
2017-11-07,西区,75.0,0.892,46.667,6.042,31.0,55.0,74.0,良,PM2.5,国控点,113.074,22.5811,江门
2017-11-07,圭峰西,78.0,0.85,20.75,3.792,45.0,43.0,106.0,良,PM10,国控点,113.0219,22.5311,江门
2017-11-07,东湖,61.0,0.843,45.818,4.455,25.0,37.0,71.0,良,PM10,国控点,113.0819,22.5931,江门
