time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-10-31,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-10-31,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-10-31,源西,72.0,1.163,48.167,11.792,113.0,49.0,94.0,良,PM10,国控点,114.6778,23.7569,河源
2017-10-31,东埔,90.0,0.804,31.583,13.333,147.0,46.0,84.0,良,O3,国控点,114.6944,23.7586,河源
2017-10-31,老城,89.0,0.967,29.217,11.0,146.0,46.0,82.0,良,O3,国控点,114.6892,23.7233,河源
2017-11-01,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-11-01,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-11-01,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-11-01,源西,82.0,1.13,58.739,13.667,122.0,60.0,106.0,良,PM2.5,国控点,114.6778,23.7569,河源
2017-11-01,东埔,99.0,0.946,44.042,16.25,158.0,59.0,98.0,良,O3,国控点,114.6944,23.7586,河源
2017-11-01,老城,97.0,1.021,49.667,10.75,156.0,52.0,95.0,良,O3,国控点,114.6892,23.7233,河源
2017-11-02,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-11-02,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-11-02,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-11-02,源西,82.0,0.821,52.625,16.333,138.0,54.0,96.0,良,O3,国控点,114.6778,23.7569,河源
2017-11-02,东埔,90.0,0.852,47.864,18.391,148.0,59.0,92.0,良,O3,国控点,114.6944,23.7586,河源
2017-11-02,老城,93.0,1.033,54.095,11.042,151.0,53.0,98.0,良,O3,国控点,114.6892,23.7233,河源
2017-11-03,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-11-03,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-11-03,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-11-03,源西,79.0,0.671,27.5,13.667,134.0,46.0,83.0,良,O3,国控点,114.6778,23.7569,河源
2017-11-03,东埔,90.0,0.7,17.625,14.0,148.0,49.0,70.0,良,O3,国控点,114.6944,23.7586,河源
2017-11-03,老城,90.0,0.758,22.333,14.708,147.0,40.0,71.0,良,O3,国控点,114.6892,23.7233,河源
2017-11-04,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-11-04,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-11-04,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-11-04,源西,82.0,0.783,21.208,13.75,137.0,60.0,95.0,良,PM2.5,国控点,114.6778,23.7569,河源
2017-11-04,东埔,96.0,0.835,13.044,14.044,155.0,58.0,84.0,良,O3,国控点,114.6944,23.7586,河源
2017-11-04,老城,95.0,0.879,18.458,14.292,154.0,58.0,86.0,良,O3,国控点,114.6892,23.7233,河源
2017-11-05,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源
2017-11-05,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源
2017-11-05,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源
2017-11-05,源西,86.0,0.804,23.917,12.0,122.0,63.0,96.0,良,PM2.5,国控点,114.6778,23.7569,河源
