time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,荔园,102.0,0.8,34.208,10.875,162.0,60.0,92.0,轻度污染,O3,国控点,114.096,22.55,深圳
2017-10-31,洪湖,98.0,0.858,49.417,10.208,157.0,59.0,83.0,良,O3,国控点,114.117,22.5625,深圳
2017-10-31,华侨城,110.0,0.867,41.75,12.083,170.0,61.0,99.0,轻度污染,O3,国控点,113.987,22.5417,深圳
2017-10-31,南油,122.0,0.925,37.417,10.208,184.0,53.0,104.0,轻度污染,O3,国控点,113.923,22.5167,深圳
2017-10-31,盐田,101.0,0.805,17.818,6.455,161.0,48.0,82.0,轻度污染,O3,国控点,114.263,22.5908,深圳
2017-10-31,龙岗,89.0,1.042,30.917,11.458,146.0,55.0,88.0,良,O3,国控点,114.24,22.7267,深圳
2017-10-31,西乡,113.0,1.029,48.667,11.375,174.0,56.0,95.0,轻度污染,O3,国控点,113.8953,22.5861,深圳
2017-10-31,南澳,95.0,0.85,15.542,8.458,154.0,46.0,79.0,良,O3,国控点,114.494,22.5422,深圳
2017-10-31,葵涌,92.0,0.821,26.083,13.292,150.0,57.0,89.0,良,O3,国控点,114.41,22.6342,深圳
2017-10-31,梅沙,79.0,0.975,25.35,8.55,134.0,58.0,76.0,良,PM2.5,国控点,114.297,22.5978,深圳
2017-10-31,观澜,89.0,1.0,39.5,11.917,146.0,64.0,98.0,良,O3,国控点,114.085,22.75,深圳
2017-11-01,荔园,115.0,0.639,40.304,9.304,176.0,41.0,69.0,轻度污染,O3,国控点,114.096,22.55,深圳
2017-11-01,洪湖,106.0,0.763,59.125,7.5,166.0,44.0,64.0,轻度污染,O3,国控点,114.117,22.5625,深圳
2017-11-01,华侨城,124.0,0.767,45.25,10.417,186.0,43.0,75.0,轻度污染,O3,国控点,113.987,22.5417,深圳
2017-11-01,南油,130.0,0.813,47.958,8.667,193.0,42.0,83.0,轻度污染,O3,国控点,113.923,22.5167,深圳
2017-11-01,盐田,93.0,0.629,20.208,6.792,151.0,29.0,48.0,良,O3,国控点,114.263,22.5908,深圳
