time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-10-31,凤城街办,61.0,0.652,25.208,28.792,113.0,29.0,55.0,良,O3,国控点,113.0208,23.7106,清远
2017-10-31,扶贫区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-10-31,环保大楼,72.0,0.708,31.167,22.25,126.0,31.0,67.0,良,O3,国控点,113.0425,23.6936,清远
2017-10-31,技师学院,79.0,0.808,46.042,22.417,134.0,33.0,79.0,良,O3,国控点,113.0472,23.63444,清远
2017-11-01,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-11-01,凤城街办,84.0,0.958,46.958,25.5,140.0,47.0,78.0,良,O3,国控点,113.0208,23.7106,清远
2017-11-01,扶贫区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-11-01,环保大楼,90.0,0.933,49.167,21.875,148.0,50.0,94.0,良,O3,国控点,113.0425,23.6936,清远
2017-11-01,技师学院,98.0,1.1,77.818,25.13,151.0,69.0,117.0,良,NO2,国控点,113.0472,23.63444,清远
2017-11-02,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-11-02,凤城街办,82.0,1.038,48.208,28.708,138.0,52.0,78.0,良,O3,国控点,113.0208,23.7106,清远
2017-11-02,扶贫区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-11-02,环保大楼,93.0,0.946,53.417,24.875,151.0,53.0,96.0,良,O3,国控点,113.0425,23.6936,清远
2017-11-02,技师学院,97.0,0.888,64.375,26.5,156.0,56.0,105.0,良,O3,国控点,113.0472,23.63444,清远
2017-11-03,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远
2017-11-03,凤城街办,68.0,0.768,24.227,18.955,121.0,37.0,61.0,良,O3,国控点,113.0208,23.7106,清远
