time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,湛江影剧院,85.0,0.933,16.208,21.542,141.0,53.0,81.0,良,O3,国控点,110.3539,21.2706,湛江
2017-10-31,市环境监测站,100.0,0.771,20.458,14.565,160.0,58.0,84.0,良,O3,国控点,110.3928,21.2228,湛江
2017-10-31,环保局宿舍,95.0,0.804,21.708,17.625,154.0,57.0,80.0,良,O3,国控点,110.4019,21.1997,湛江
2017-10-31,霞山游泳场,93.0,0.846,18.958,18.0,151.0,59.0,75.0,良,O3,国控点,110.4111,21.2028,湛江
2017-10-31,麻章区环保局,100.0,0.854,19.625,16.5,160.0,69.0,92.0,良,O3,国控点,110.3316,21.2679,湛江
2017-10-31,坡头区环保局,88.0,0.879,18.708,21.833,145.0,58.0,85.0,良,O3,国控点,110.4558,21.2567,湛江
2017-11-01,湛江影剧院,104.0,0.938,18.458,17.708,164.0,54.0,81.0,轻度污染,O3,国控点,110.3539,21.2706,湛江
2017-11-01,市环境监测站,124.0,0.758,21.292,16.583,186.0,56.0,81.0,轻度污染,O3,国控点,110.3928,21.2228,湛江
2017-11-01,环保局宿舍,114.0,0.804,26.625,16.042,175.0,57.0,81.0,轻度污染,O3,国控点,110.4019,21.1997,湛江
2017-11-01,霞山游泳场,114.0,0.87,19.261,17.565,175.0,59.0,83.0,轻度污染,O3,国控点,110.4111,21.2028,湛江
2017-11-01,麻章区环保局,130.0,0.892,26.667,17.292,193.0,75.0,98.0,轻度污染,O3,国控点,110.3316,21.2679,湛江
2017-11-01,坡头区环保局,103.0,0.863,19.833,20.25,163.0,59.0,81.0,轻度污染,O3,国控点,110.4558,21.2567,湛江
2017-11-02,湛江影剧院,101.0,0.967,36.875,25.583,161.0,68.0,95.0,轻度污染,O3,国控点,110.3539,21.2706,湛江
2017-11-02,市环境监测站,125.0,0.842,39.542,19.167,187.0,58.0,91.0,轻度污染,O3,国控点,110.3928,21.2228,湛江
2017-11-02,环保局宿舍,124.0,0.892,44.125,18.708,186.0,68.0,93.0,轻度污染,O3,国控点,110.4019,21.1997,湛江
2017-11-02,霞山游泳场,131.0,0.938,25.667,17.75,194.0,57.0,75.0,轻度污染,O3,国控点,110.4111,21.2028,湛江
2017-11-02,麻章区环保局,115.0,0.95,37.458,20.875,176.0,82.0,100.0,轻度污染,O3,国控点,110.3316,21.2679,湛江
2017-11-02,坡头区环保局,122.0,0.875,20.125,22.083,184.0,65.0,95.0,轻度污染,O3,国控点,110.4558,21.2567,湛江
2017-11-03,湛江影剧院,94.0,0.967,31.833,27.75,146.0,70.0,92.0,良,PM2.5,国控点,110.3539,21.2706,湛江
2017-11-03,市环境监测站,104.0,0.917,40.792,23.208,164.0,72.0,102.0,轻度污染,O3,国控点,110.3928,21.2228,湛江
