time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,西园路,66.0,0.717,15.417,11.333,119.0,35.0,64.0,良,O3,国控点,116.6339,23.6714,潮州
2017-10-31,档案局,61.0,0.771,13.792,8.875,113.0,33.0,58.0,良,O3,国控点,116.6447,23.6706,潮州
2017-10-31,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州
2017-10-31,市政府,65.0,0.896,17.208,13.958,117.0,32.0,63.0,良,O3,国控点,116.6183,23.65889,潮州
2017-11-01,西园路,69.0,0.671,16.958,12.875,122.0,30.0,52.0,良,O3,国控点,116.6339,23.6714,潮州
2017-11-01,档案局,65.0,0.775,13.875,6.083,118.0,28.0,49.0,良,O3,国控点,116.6447,23.6706,潮州
2017-11-01,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州
2017-11-01,市政府,66.0,0.958,22.875,17.333,119.0,29.0,58.0,良,O3,国控点,116.6183,23.65889,潮州
2017-11-02,西园路,75.0,0.733,18.917,11.125,130.0,35.0,58.0,良,O3,国控点,116.6339,23.6714,潮州
2017-11-02,档案局,70.0,0.908,16.208,11.304,124.0,32.0,54.0,良,O3,国控点,116.6447,23.6706,潮州
2017-11-02,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州
2017-11-02,市政府,77.0,0.867,20.292,14.875,132.0,35.0,59.0,良,O3,国控点,116.6183,23.65889,潮州
2017-11-03,西园路,91.0,0.783,19.458,13.25,149.0,43.0,67.0,良,O3,国控点,116.6339,23.6714,潮州
2017-11-03,档案局,93.0,0.9,16.792,15.458,151.0,40.0,63.0,良,O3,国控点,116.6447,23.6706,潮州
2017-11-03,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州
