time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,吉大,163.0,0.673,29.044,14.261,228.0,58.0,89.0,中度污染,O3,国控点,113.574,22.2611,珠海
2017-10-31,前山,151.0,0.867,45.0,10.542,216.0,68.0,113.0,中度污染,O3,国控点,113.495,22.2294,珠海
2017-10-31,唐家,164.0,0.63,16.875,13.583,229.0,64.0,107.0,中度污染,O3,国控点,113.628,22.4251,珠海
2017-10-31,斗门,114.0,0.867,37.083,13.5,175.0,65.0,82.0,轻度污染,O3,国控点,113.299,22.2281,珠海
2017-11-01,吉大,169.0,0.575,32.292,11.083,234.0,41.0,72.0,中度污染,O3,国控点,113.574,22.2611,珠海
2017-11-01,前山,153.0,0.733,51.625,7.833,218.0,59.0,102.0,中度污染,O3,国控点,113.495,22.2294,珠海
2017-11-01,唐家,190.0,0.563,25.667,10.75,255.0,54.0,92.0,中度污染,O3,国控点,113.628,22.4251,珠海
2017-11-01,斗门,111.0,0.908,47.167,13.792,172.0,75.0,88.0,轻度污染,O3,国控点,113.299,22.2281,珠海
2017-11-02,吉大,176.0,0.663,44.583,12.292,241.0,45.0,71.0,中度污染,O3,国控点,113.574,22.2611,珠海
2017-11-02,前山,150.0,0.842,81.833,9.25,215.0,72.0,124.0,轻度污染,O3,国控点,113.495,22.2294,珠海
2017-11-02,唐家,190.0,0.661,37.208,17.708,255.0,57.0,97.0,中度污染,O3,国控点,113.628,22.4251,珠海
2017-11-02,斗门,128.0,1.05,61.5,16.917,190.0,86.0,101.0,轻度污染,O3,国控点,113.299,22.2281,珠海
2017-11-03,吉大,130.0,0.671,67.375,16.083,192.0,50.0,78.0,轻度污染,O3,国控点,113.574,22.2611,珠海
2017-11-03,前山,131.0,0.858,75.667,11.125,194.0,67.0,131.0,轻度污染,O3,国控点,113.495,22.2294,珠海
2017-11-03,唐家,130.0,0.567,36.167,15.583,193.0,53.0,98.0,轻度污染,O3,国控点,113.628,22.4251,珠海
2017-11-03,斗门,111.0,0.888,63.458,18.542,172.0,68.0,85.0,轻度污染,O3,国控点,113.299,22.2281,珠海
2017-11-04,吉大,104.0,0.671,29.375,13.875,164.0,51.0,88.0,轻度污染,O3,国控点,113.574,22.2611,珠海
2017-11-04,前山,95.0,0.813,41.875,11.083,153.0,57.0,100.0,良,O3,国控点,113.495,22.2294,珠海
2017-11-04,唐家,113.0,0.565,16.417,13.583,174.0,58.0,102.0,轻度污染,O3,国控点,113.628,22.4251,珠海
2017-11-04,斗门,90.0,0.775,39.833,16.208,148.0,55.0,70.0,良,O3,国控点,113.299,22.2281,珠海
2017-11-05,吉大,156.0,0.871,27.042,13.125,221.0,80.0,123.0,中度污染,O3,国控点,113.574,22.2611,珠海
