time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,市环保局茂港分局,77.0,0.667,23.25,16.542,132.0,47.0,88.0,良,O3,国控点,111.0286,21.4689,茂名
2017-10-31,茂石化七小,75.0,0.883,19.957,15.913,129.0,50.0,89.0,良,O3,国控点,110.9294,21.6533,茂名
2017-10-31,健康路,103.0,0.963,14.083,25.0,163.0,56.0,83.0,轻度污染,O3,国控点,110.9067,21.6669,茂名
2017-10-31,高岭,84.0,0.838,23.083,35.833,125.0,62.0,112.0,良,PM2.5,国控点,110.8592,21.6828,茂名
2017-11-01,市环保局茂港分局,81.0,0.674,31.0,17.391,137.0,45.0,88.0,良,O3,国控点,111.0286,21.4689,茂名
2017-11-01,茂石化七小,93.0,1.004,25.25,17.625,151.0,56.0,98.0,良,O3,国控点,110.9294,21.6533,茂名
2017-11-01,健康路,140.0,1.088,20.292,31.0,204.0,61.0,93.0,轻度污染,O3,国控点,110.9067,21.6669,茂名
2017-11-01,高岭,102.0,0.908,27.917,29.583,162.0,62.0,112.0,轻度污染,O3,国控点,110.8592,21.6828,茂名
2017-11-02,市环保局茂港分局,116.0,0.771,32.25,16.333,177.0,55.0,95.0,轻度污染,O3,国控点,111.0286,21.4689,茂名
2017-11-02,茂石化七小,101.0,1.092,26.125,16.875,161.0,61.0,99.0,轻度污染,O3,国控点,110.9294,21.6533,茂名
2017-11-02,健康路,138.0,1.279,23.217,29.696,201.0,66.0,94.0,轻度污染,O3,国控点,110.9067,21.6669,茂名
2017-11-02,高岭,99.0,0.925,31.417,30.042,152.0,74.0,128.0,良,PM2.5,国控点,110.8592,21.6828,茂名
2017-11-03,市环保局茂港分局,81.0,0.757,25.0,18.739,130.0,60.0,96.0,良,PM2.5,国控点,111.0286,21.4689,茂名
2017-11-03,茂石化七小,86.0,1.229,27.792,29.5,120.0,63.0,98.0,良,PM2.5,国控点,110.9294,21.6533,茂名
2017-11-03,健康路,93.0,1.179,23.458,42.875,144.0,69.0,98.0,良,PM2.5,国控点,110.9067,21.6669,茂名
2017-11-03,高岭,103.0,0.896,27.667,45.417,118.0,77.0,130.0,轻度污染,PM2.5,国控点,110.8592,21.6828,茂名
2017-11-04,市环保局茂港分局,78.0,0.688,23.167,17.792,114.0,57.0,98.0,良,PM2.5,国控点,111.0286,21.4689,茂名
2017-11-04,茂石化七小,69.0,0.896,21.833,18.5,111.0,49.0,86.0,良,PM10,国控点,110.9294,21.6533,茂名
2017-11-04,健康路,86.0,0.942,20.375,33.792,130.0,64.0,93.0,良,PM2.5,国控点,110.9067,21.6669,茂名
