time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,鸳鸯湖,112.0,0.938,21.458,17.583,173.0,63.0,92.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-10-31,南恩路,114.0,0.904,23.375,16.5,175.0,57.0,86.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-10-31,马南垌,113.0,0.963,22.958,15.583,174.0,52.0,104.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-01,鸳鸯湖,145.0,0.979,26.125,15.417,209.0,72.0,91.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-01,南恩路,148.0,1.013,31.708,14.083,212.0,69.0,95.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-01,马南垌,143.0,1.15,38.217,13.174,207.0,71.0,113.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-02,鸳鸯湖,131.0,1.233,35.042,15.792,194.0,78.0,102.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-02,南恩路,134.0,1.146,32.0,15.625,197.0,77.0,105.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-02,马南垌,130.0,1.363,36.208,14.292,193.0,70.0,125.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-03,鸳鸯湖,113.0,0.983,32.238,16.292,174.0,60.0,85.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-03,南恩路,120.0,1.146,29.667,15.333,182.0,57.0,89.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-03,马南垌,116.0,1.133,37.0,13.792,177.0,48.0,101.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-04,鸳鸯湖,130.0,0.921,18.174,17.25,192.0,58.0,80.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-04,南恩路,130.0,0.9,20.458,16.542,193.0,53.0,81.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-04,马南垌,121.0,0.95,21.25,15.625,183.0,48.0,98.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-05,鸳鸯湖,135.0,1.054,16.833,17.292,198.0,85.0,104.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-05,南恩路,135.0,1.054,21.083,15.875,198.0,80.0,106.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-05,马南垌,128.0,1.113,20.542,15.042,190.0,74.0,127.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-06,鸳鸯湖,105.0,1.033,22.0,17.75,131.0,79.0,96.0,轻度污染,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-06,南恩路,104.0,1.083,24.917,15.708,133.0,78.0,97.0,轻度污染,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-06,马南垌,96.0,1.138,25.958,14.625,125.0,72.0,118.0,良,PM2.5,国控点,111.9494,21.865,阳江
2017-11-07,鸳鸯湖,54.0,0.933,16.917,6.667,83.0,37.0,58.0,良,PM10,国控点,111.9786,21.8586,阳江
2017-11-07,南恩路,58.0,1.121,20.542,6.167,78.0,41.0,46.0,良,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-07,马南垌,49.0,1.1,21.167,5.125,62.0,34.0,48.0,优,PM2.5,国控点,111.9494,21.865,阳江
2017-11-08,鸳鸯湖,37.0,0.85,22.583,7.542,40.0,25.0,34.0,优,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-08,南恩路,34.0,1.063,22.333,6.625,40.0,23.0,34.0,优,PM10,国控点,111.9508,21.8536,阳江
2017-11-08,马南垌,46.0,1.078,25.0,5.455,39.0,28.0,45.0,优,PM10,国控点,111.9494,21.865,阳江
2017-11-09,鸳鸯湖,73.0,1.025,34.042,15.833,111.0,53.0,70.0,良,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-09,南恩路,85.0,1.075,28.042,13.708,116.0,63.0,66.0,良,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-09,马南垌,77.0,1.129,29.125,12.5,118.0,56.0,91.0,良,PM2.5,国控点,111.9494,21.865,阳江
2017-11-10,鸳鸯湖,131.0,1.23,36.955,24.046,183.0,99.0,125.0,轻度污染,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-10,南恩路,133.0,1.513,35.917,21.5,192.0,101.0,126.0,轻度污染,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-10,马南垌,142.0,1.471,39.083,19.75,188.0,108.0,162.0,轻度污染,PM2.5,国控点,111.9494,21.865,阳江
2017-11-11,鸳鸯湖,122.0,1.204,35.333,20.583,184.0,88.0,106.0,轻度污染,O3,国控点,111.9786,21.8586,阳江
2017-11-11,南恩路,119.0,1.292,32.625,18.792,180.0,84.0,108.0,轻度污染,O3,国控点,111.9508,21.8536,阳江
2017-11-11,马南垌,125.0,1.424,38.455,16.524,187.0,94.0,160.0,轻度污染,O3,国控点,111.9494,21.865,阳江
2017-11-12,鸳鸯湖,84.0,1.0,28.083,14.25,122.0,62.0,80.0,良,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-12,南恩路,89.0,1.117,27.167,12.708,120.0,66.0,90.0,良,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-12,马南垌,100.0,1.229,29.458,12.042,123.0,75.0,118.0,良,PM2.5,国控点,111.9494,21.865,阳江
2017-11-13,鸳鸯湖,45.0,0.954,29.083,8.833,53.0,31.0,37.0,优,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-13,南恩路,45.0,1.083,25.083,7.5,56.0,31.0,40.0,优,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-13,马南垌,45.0,1.163,26.083,6.125,57.0,32.0,36.0,优,PM2.5,国控点,111.9494,21.865,阳江
2017-11-14,鸳鸯湖,47.0,1.046,35.913,11.174,27.0,33.0,39.0,优,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-14,南恩路,49.0,1.3,37.167,9.5,26.0,34.0,41.0,优,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-14,马南垌,61.0,1.321,38.125,8.333,23.0,43.0,53.0,良,PM2.5,国控点,111.9494,21.865,阳江
2017-11-15,鸳鸯湖,55.0,1.17,33.13,14.0,32.0,38.0,53.0,良,PM2.5,国控点,111.9786,21.8586,阳江
2017-11-15,南恩路,56.0,1.35,39.083,11.917,33.0,40.0,58.0,良,PM2.5,国控点,111.9508,21.8536,阳江
2017-11-15,马南垌,67.0,1.217,36.565,10.909,31.0,48.0,72.0,良,PM2.5,国控点,111.9494,21.865,阳江
