time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname
2017-10-31,市八中,84.0,0.505,41.583,21.542,140.0,45.0,72.0,良,O3,国控点,113.586606,24.769519,韶关
2017-10-31,碧湖山庄,71.0,0.691,25.478,21.609,125.0,49.0,70.0,良,O3,国控点,113.5556,24.8082,韶关
2017-10-31,园林处,85.0,0.867,37.083,19.75,142.0,40.0,66.0,良,O3,国控点,113.598061,24.795928,韶关
2017-10-31,韶关学院,104.0,0.638,27.667,15.167,164.0,52.0,64.0,轻度污染,O3,国控点,113.673472,24.779083,韶关
2017-10-31,曲江监测站,95.0,0.925,47.435,20.917,153.0,46.0,75.0,良,O3,国控点,113.597083,24.686361,韶关
2017-11-01,市八中,87.0,0.813,56.0,25.25,143.0,65.0,102.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-01,碧湖山庄,89.0,0.871,35.333,18.792,134.0,66.0,90.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-01,园林处,93.0,1.209,70.044,23.261,147.0,69.0,101.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-01,韶关学院,100.0,0.813,33.5,17.792,160.0,72.0,84.0,良,O3,国控点,113.673472,24.779083,韶关
2017-11-01,曲江监测站,94.0,1.425,53.609,35.375,152.0,67.0,96.0,良,O3,国控点,113.597083,24.686361,韶关
2017-11-02,市八中,97.0,0.908,50.583,30.583,149.0,72.0,98.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-02,碧湖山庄,100.0,0.917,35.917,21.875,136.0,74.0,95.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-02,园林处,94.0,1.008,46.792,25.208,144.0,70.0,101.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-02,韶关学院,110.0,0.917,28.833,19.044,171.0,75.0,85.0,轻度污染,O3,国控点,113.673472,24.779083,韶关
2017-11-02,曲江监测站,97.0,1.567,50.174,38.542,154.0,72.0,103.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-03,市八中,95.0,0.754,34.542,27.125,154.0,53.0,70.0,良,O3,国控点,113.586606,24.769519,韶关
2017-11-03,碧湖山庄,79.0,0.754,25.583,23.458,134.0,55.0,71.0,良,O3,国控点,113.5556,24.8082,韶关
2017-11-03,园林处,93.0,0.788,30.333,27.292,151.0,45.0,69.0,良,O3,国控点,113.598061,24.795928,韶关
2017-11-03,韶关学院,115.0,0.771,31.25,17.417,176.0,72.0,81.0,轻度污染,O3,国控点,113.673472,24.779083,韶关
2017-11-03,曲江监测站,102.0,1.091,40.652,29.217,162.0,63.0,83.0,轻度污染,O3,国控点,113.597083,24.686361,韶关
2017-11-04,市八中,90.0,0.721,31.708,19.958,147.0,54.0,79.0,良,O3,国控点,113.586606,24.769519,韶关
2017-11-04,碧湖山庄,74.0,0.779,21.167,17.625,128.0,40.0,79.0,良,O3,国控点,113.5556,24.8082,韶关
2017-11-04,园林处,85.0,0.792,23.333,17.75,142.0,51.0,78.0,良,O3,国控点,113.598061,24.795928,韶关
2017-11-04,韶关学院,113.0,0.746,27.833,15.417,174.0,69.0,82.0,轻度污染,O3,国控点,113.673472,24.779083,韶关
2017-11-04,曲江监测站,100.0,1.008,35.87,19.042,160.0,57.0,85.0,良,O3,国控点,113.597083,24.686361,韶关
2017-11-05,市八中,92.0,0.75,28.125,19.542,140.0,68.0,91.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-05,碧湖山庄,72.0,0.867,24.792,18.542,122.0,49.0,92.0,良,PM10,国控点,113.5556,24.8082,韶关
2017-11-05,园林处,88.0,0.867,25.875,17.667,137.0,65.0,95.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-05,韶关学院,113.0,0.804,24.0,20.917,159.0,85.0,94.0,轻度污染,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-05,曲江监测站,97.0,0.917,29.348,17.917,146.0,72.0,103.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-06,市八中,103.0,0.743,36.546,22.292,134.0,77.0,100.0,轻度污染,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-06,碧湖山庄,110.0,0.992,31.208,27.042,120.0,82.0,100.0,轻度污染,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-06,园林处,101.0,0.888,35.667,20.875,135.0,76.0,100.0,轻度污染,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-06,韶关学院,121.0,0.792,25.417,23.667,161.0,91.0,106.0,轻度污染,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-06,曲江监测站,107.0,1.263,48.435,24.917,118.0,80.0,114.0,轻度污染,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-07,市八中,65.0,0.571,27.125,7.958,90.0,47.0,60.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-07,碧湖山庄,73.0,0.865,24.955,8.565,72.0,53.0,71.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-07,园林处,61.0,0.75,24.0,9.875,100.0,44.0,29.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-07,韶关学院,78.0,0.629,17.083,9.833,89.0,57.0,0.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-07,曲江监测站,72.0,0.808,25.667,13.375,90.0,52.0,69.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-08,市八中,47.0,0.492,22.0,8.542,63.0,32.0,42.0,优,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-08,碧湖山庄,41.0,0.754,20.042,10.125,55.0,28.0,37.0,优,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-08,园林处,37.0,0.682,22.762,10.391,60.0,25.0,37.0,优,PM10,国控点,113.598061,24.795928,韶关
2017-11-08,韶关学院,44.0,0.546,17.042,11.083,74.0,31.0,36.0,优,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-08,曲江监测站,46.0,0.829,25.333,15.167,64.0,31.0,45.0,优,PM10,国控点,113.597083,24.686361,韶关
2017-11-09,市八中,78.0,0.7,29.583,12.75,74.0,57.0,70.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-09,碧湖山庄,65.0,0.896,21.5,11.792,64.0,47.0,56.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-09,园林处,74.0,0.826,26.478,15.174,72.0,54.0,67.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-09,韶关学院,77.0,0.796,24.652,17.708,84.0,57.0,56.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-09,曲江监测站,77.0,0.996,29.083,14.792,79.0,56.0,77.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-10,市八中,100.0,1.154,44.583,19.083,85.0,75.0,102.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-10,碧湖山庄,86.0,1.183,38.417,21.208,78.0,64.0,81.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-10,园林处,89.0,1.254,42.417,23.042,79.0,66.0,86.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-10,韶关学院,85.0,1.021,26.417,16.375,100.0,63.0,72.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-10,曲江监测站,102.0,2.248,40.714,34.391,57.0,76.0,118.0,轻度污染,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-11,市八中,62.0,0.875,23.125,10.792,77.0,44.0,56.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-11,碧湖山庄,62.0,1.171,24.292,12.0,62.0,44.0,58.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-11,园林处,57.0,1.075,24.208,13.0,72.0,40.0,59.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-11,韶关学院,61.0,1.008,20.792,10.75,102.0,43.0,59.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-11,曲江监测站,78.0,1.396,23.0,30.25,83.0,57.0,75.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-12,市八中,59.0,0.767,21.167,11.125,90.0,42.0,50.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-12,碧湖山庄,62.0,1.104,21.167,10.375,74.0,44.0,54.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-12,园林处,53.0,0.925,19.0,12.083,86.0,37.0,45.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-12,韶关学院,54.0,0.938,14.833,11.833,101.0,38.0,43.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-12,曲江监测站,64.0,1.129,23.083,21.333,94.0,46.0,58.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-13,市八中,67.0,0.791,27.455,12.182,94.0,48.0,60.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-13,碧湖山庄,64.0,1.138,24.458,11.083,84.0,46.0,55.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-13,园林处,56.0,0.946,21.208,13.75,90.0,40.0,53.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-13,韶关学院,66.0,1.025,19.0,15.208,94.0,47.0,52.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-13,曲江监测站,82.0,1.533,33.261,26.917,64.0,60.0,81.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-14,市八中,61.0,0.817,25.875,12.708,48.0,43.0,56.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-14,碧湖山庄,62.0,1.141,32.455,14.409,46.0,45.0,54.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-14,园林处,56.0,1.067,25.083,15.708,53.0,40.0,54.0,良,PM2.5,国控点,113.598061,24.795928,韶关
2017-11-14,韶关学院,63.0,1.029,16.417,13.917,73.0,45.0,51.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-14,曲江监测站,70.0,1.221,28.652,28.375,41.0,51.0,65.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-15,市八中,37.0,0.758,24.792,9.375,40.0,26.0,32.0,优,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-15,碧湖山庄,37.0,1.038,28.625,9.917,35.0,25.0,33.0,优,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-15,园林处,29.0,0.977,22.85,10.409,42.0,19.0,27.0,优,NO2,国控点,113.598061,24.795928,韶关
2017-11-15,韶关学院,40.0,1.033,16.875,12.0,59.0,28.0,32.0,优,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-15,曲江监测站,43.0,1.25,26.913,24.25,38.0,30.0,42.0,优,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-16,市八中,62.0,0.913,27.625,14.125,48.0,44.0,57.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-16,碧湖山庄,64.0,1.05,26.625,12.833,34.0,46.0,65.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-16,园林处,52.0,1.15,27.25,14.208,47.0,35.0,52.0,良,PM10,国控点,113.598061,24.795928,韶关
2017-11-16,韶关学院,59.0,1.239,22.391,13.864,43.0,41.0,51.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-16,曲江监测站,70.0,1.425,31.0,29.708,38.0,51.0,69.0,良,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-17,市八中,75.0,0.783,35.542,34.417,63.0,54.0,70.0,良,PM2.5,国控点,113.586606,24.769519,韶关
2017-11-17,碧湖山庄,71.0,1.013,41.458,21.125,58.0,51.0,61.0,良,PM2.5,国控点,113.5556,24.8082,韶关
2017-11-17,园林处,57.0,1.046,36.708,31.208,62.0,40.0,63.0,良,PM10,国控点,113.598061,24.795928,韶关
2017-11-17,韶关学院,58.0,1.483,29.167,23.542,72.0,41.0,53.0,良,PM2.5,国控点,113.673472,24.779083,韶关
2017-11-17,曲江监测站,121.0,1.378,38.046,33.273,63.0,91.0,83.0,轻度污染,PM2.5,国控点,113.597083,24.686361,韶关
2017-11-18,市八中,35.0,0.875,27.478,9.542,36.0,17.0,29.0,优,NO2,国控点,113.586606,24.769519,韶关
2017-11-18,碧湖山庄,45.0,1.167,35.417,9.5,30.0,20.0,30.0,优,NO2,国控点,113.5556,24.8082,韶关
2017-11-18,园林处,38.0,1.2,30.13,9.5,34.0,10.0,22.0,优,NO2,国控点,113.598061,24.795928,韶关
2017-11-18,韶关学院,33.0,1.296,21.375,11.417,41.0,21.0,28.0,优,CO,国控点,113.673472,24.779083,韶关
2017-11-18,曲江监测站,45.0,1.188,35.522,12.417,32.0,21.0,32.0,优,NO2,国控点,113.597083,24.686361,韶关
2017-11-19,市八中,29.0,0.529,22.667,7.208,39.0,10.0,16.0,优,NO2,国控点,113.586606,24.769519,韶关
2017-11-19,碧湖山庄,32.0,0.829,25.542,7.833,33.0,11.0,26.0,优,NO2,国控点,113.5556,24.8082,韶关
2017-11-19,园林处,25.0,0.825,19.792,7.083,42.0,6.0,13.0,优,NO2,国控点,113.598061,24.795928,韶关
2017-11-19,韶关学院,24.0,0.842,14.0,10.542,47.0,14.0,17.0,优,O3,国控点,113.673472,24.779083,韶关
2017-11-19,曲江监测站,34.0,0.904,27.174,15.875,40.0,10.0,17.0,优,NO2,国控点,113.597083,24.686361,韶关
2017-11-20,市八中,27.0,0.439,21.227,7.174,32.0,9.0,14.0,优,NO2,国控点,113.586606,24.769519,韶关
