,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
1,2017-10-31,南城元岭,95.0,1.026,40.708,16.522000000000002,153.0,52.0,82.0,良,O3,国控点,113.7533,23.0202,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
2,2017-10-31,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
3,2017-10-31,东城石井,118.0,1.004,25.083,16.625,179.0,50.0,70.0,轻度污染,O3,国控点,113.794444,23.012778,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
4,2017-10-31,南城西平,102.0,0.908,52.125,18.208,162.0,56.0,80.0,轻度污染,O3,国控点,113.738333,22.965833,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
5,2017-10-31,东城主山,104.0,0.8740000000000001,41.13,14.826,164.0,54.0,74.0,轻度污染,O3,国控点,113.7875,23.0457,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
6,2017-10-31,莞城梨川,96.0,0.988,53.958,16.208,145.0,71.0,87.0,良,PM2.5,国控点,113.748056,23.06,东莞,55.0,46.0,40.0,27.0,26.4,25.0,703.0,650.2,558.0,31.0,27.8,26.0,0.0,0.0,0.0
7,2017-11-01,实验中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.794028,23.05458,东莞,50.0,36.0,25.0,29.0,28.0,26.0,688.0,631.6,540.0,30.0,26.0,24.0,0.0,0.0,0.0
8,2017-11-01,南城元岭,100.0,1.054,66.348,17.25,160.0,63.0,97.0,良,O3,国控点,113.7533,23.0202,东莞,50.0,36.0,25.0,29.0,28.0,26.0,688.0,631.6,540.0,30.0,26.0,24.0,0.0,0.0,0.0
9,2017-11-01,莞城二水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.764076,23.041403,东莞,50.0,36.0,25.0,29.0,28.0,26.0,688.0,631.6,540.0,30.0,26.0,24.0,0.0,0.0,0.0
