,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,新市府,80.0,0.7879999999999999,27.833,16.167,136.0,54.0,72.0,良,O3,国控点,112.0392,22.9169,云浮,75.0,61.0,55.0,25.0,24.4,23.0,687.0,642.2,570.0,38.0,36.8,36.0,0.0,0.0,0.0
1,2017-10-31,市监测站,82.0,1.079,50.5,22.333,131.0,61.0,103.0,良,PM2.5,国控点,112.0369,22.9394,云浮,75.0,61.0,55.0,25.0,24.4,23.0,687.0,642.2,570.0,38.0,36.8,36.0,0.0,0.0,0.0
2,2017-10-31,牧羊,69.0,0.7609999999999999,52.957,27.739,108.0,50.0,87.0,良,PM10,国控点,112.0539,22.9539,云浮,75.0,61.0,55.0,25.0,24.4,23.0,687.0,642.2,570.0,38.0,36.8,36.0,0.0,0.0,0.0
3,2017-11-01,新市府,85.0,0.9,27.0,16.208,142.0,60.0,78.0,良,O3,国控点,112.0392,22.9169,云浮,45.0,33.0,25.0,28.0,27.0,26.0,682.0,635.6,562.0,31.0,29.0,28.0,0.0,0.0,0.0
4,2017-11-01,市监测站,95.0,1.165,56.261,26.565,131.0,70.0,110.0,良,PM2.5,国控点,112.0369,22.9394,云浮,45.0,33.0,25.0,28.0,27.0,26.0,682.0,635.6,562.0,31.0,29.0,28.0,0.0,0.0,0.0
5,2017-11-01,牧羊,82.0,0.979,61.333,33.792,130.0,60.0,106.0,良,PM2.5,国控点,112.0539,22.9539,云浮,45.0,33.0,25.0,28.0,27.0,26.0,682.0,635.6,562.0,31.0,29.0,28.0,0.0,0.0,0.0
6,2017-11-02,新市府,87.0,0.904,26.913,13.652,144.0,59.0,90.0,良,O3,国控点,112.0392,22.9169,云浮,30.0,21.0,15.0,29.0,28.4,27.0,680.0,634.8,562.0,29.0,27.2,26.0,0.0,0.0,0.0
7,2017-11-02,市监测站,101.0,1.246,60.667,24.75,131.0,76.0,123.0,轻度污染,PM2.5,国控点,112.0369,22.9394,云浮,30.0,21.0,15.0,29.0,28.4,27.0,680.0,634.8,562.0,29.0,27.2,26.0,0.0,0.0,0.0
8,2017-11-02,牧羊,90.0,0.946,64.0,33.25,136.0,67.0,114.0,良,PM2.5,国控点,112.0539,22.9539,云浮,30.0,21.0,15.0,29.0,28.4,27.0,680.0,634.8,562.0,29.0,27.2,26.0,0.0,0.0,0.0
9,2017-11-03,新市府,85.0,0.604,22.542,12.292,141.0,51.0,66.0,良,O3,国控点,112.0392,22.9169,云浮,45.0,38.0,35.0,29.0,28.2,27.0,672.0,627.2,552.0,29.0,27.4,26.0,0.0,0.0,0.0
10,2017-11-03,市监测站,93.0,1.275,54.667,16.208,128.0,69.0,106.0,良,PM2.5,国控点,112.0369,22.9394,云浮,45.0,38.0,35.0,29.0,28.2,27.0,672.0,627.2,552.0,29.0,27.4,26.0,0.0,0.0,0.0
11,2017-11-03,牧羊,76.0,0.6920000000000001,54.125,16.083,131.0,49.0,84.0,良,O3,国控点,112.0539,22.9539,云浮,45.0,38.0,35.0,29.0,28.2,27.0,672.0,627.2,552.0,29.0,27.4,26.0,0.0,0.0,0.0
