,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,湾梁,105.0,0.396,48.083,11.583,165.0,45.0,74.0,轻度污染,O3,国控点,113.134,23.0048,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
1,2017-10-31,华材职中,104.0,0.7,64.25,12.917,164.0,48.0,89.0,轻度污染,O3,国控点,113.105,23.0395,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
2,2017-10-31,南海气象局,89.0,0.617,55.792,10.261,146.0,45.0,81.0,良,O3,国控点,113.144,23.0467,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
3,2017-10-31,顺德苏岗,101.0,0.8420000000000001,61.083,12.542,161.0,45.0,83.0,轻度污染,O3,国控点,113.292,22.8054,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
4,2017-10-31,容桂街道办,91.0,0.868,56.81800000000001,13.318,149.0,47.0,94.0,良,O3,国控点,113.2544,22.7642,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
5,2017-10-31,高明孔堂,64.0,0.6,34.154,17.917,90.0,46.0,67.0,良,PM2.5,国控点,112.844,22.8693,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
6,2017-10-31,三水监测站,103.0,0.7290000000000001,57.958,25.583,163.0,47.0,84.0,轻度污染,O3,国控点,112.885,23.1572,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
7,2017-10-31,三水云东海,88.0,0.746,45.0,29.208,145.0,53.0,75.0,良,O3,国控点,112.863,23.1886,佛山,25.0,22.0,20.0,27.0,26.4,25.0,694.0,643.6,560.0,28.0,26.2,25.0,0.0,0.0,0.0
8,2017-11-01,湾梁,115.0,0.835,104.304,14.696,176.0,62.0,104.0,轻度污染,O3,国控点,113.134,23.0048,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
9,2017-11-01,华材职中,121.0,1.171,120.958,20.292,168.0,77.0,126.0,轻度污染,NO2,国控点,113.105,23.0395,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
10,2017-11-01,南海气象局,110.0,0.967,98.667,13.625,166.0,68.0,112.0,轻度污染,NO2,国控点,113.144,23.0467,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
11,2017-11-01,顺德苏岗,103.0,1.113,84.792,17.917,155.0,60.0,100.0,轻度污染,NO2,国控点,113.292,22.8054,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
12,2017-11-01,容桂街道办,106.0,1.113,91.75,21.125,164.0,67.0,128.0,轻度污染,NO2,国控点,113.2544,22.7642,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
13,2017-11-01,高明孔堂,105.0,0.813,58.958,32.583,138.0,79.0,98.0,轻度污染,PM2.5,国控点,112.844,22.8693,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
14,2017-11-01,三水监测站,107.0,0.958,89.542,37.609,167.0,76.0,119.0,轻度污染,O3,国控点,112.885,23.1572,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
15,2017-11-01,三水云东海,103.0,1.042,67.625,30.375,163.0,75.0,100.0,轻度污染,O3,国控点,112.863,23.1886,佛山,20.0,15.0,10.0,29.0,27.8,26.0,689.0,636.2,550.0,27.0,23.0,21.0,0.0,0.0,0.0
16,2017-11-02,湾梁,118.0,1.092,98.292,20.417,179.0,46.0,125.0,轻度污染,O3,国控点,113.134,23.0048,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
17,2017-11-02,华材职中,131.0,1.338,123.833,31.5,180.0,100.0,162.0,轻度污染,PM2.5,国控点,113.105,23.0395,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
18,2017-11-02,南海气象局,115.0,1.213,109.375,18.5,162.0,80.0,136.0,轻度污染,NO2,国控点,113.144,23.0467,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
19,2017-11-02,顺德苏岗,107.0,1.233,93.375,16.042,156.0,63.0,102.0,轻度污染,NO2,国控点,113.292,22.8054,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
20,2017-11-02,容桂街道办,117.0,1.443,113.826,18.864,157.0,84.0,155.0,轻度污染,NO2,国控点,113.2544,22.7642,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
21,2017-11-02,高明孔堂,120.0,0.809,54.455,31.591,150.0,91.0,109.0,轻度污染,PM2.5,国控点,112.844,22.8693,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
22,2017-11-02,三水监测站,135.0,1.15,104.167,55.042,176.0,103.0,179.0,轻度污染,PM2.5,国控点,112.885,23.1572,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
23,2017-11-02,三水云东海,137.0,1.242,72.167,39.292,174.0,105.0,148.0,轻度污染,PM2.5,国控点,112.863,23.1886,佛山,15.0,14.0,10.0,31.0,30.2,28.0,680.0,629.6,549.0,25.0,22.8,22.0,0.0,0.0,0.0
24,2017-11-03,湾梁,84.0,0.5,44.25,15.958,140.0,37.0,76.0,良,O3,国控点,113.134,23.0048,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
25,2017-11-03,华材职中,96.0,0.738,76.208,22.042,144.0,55.0,101.0,良,NO2,国控点,113.105,23.0395,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
26,2017-11-03,南海气象局,77.0,0.583,57.167,14.208,132.0,48.0,81.0,良,O3,国控点,113.144,23.0467,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
27,2017-11-03,顺德苏岗,90.0,0.933,64.125,14.583,148.0,44.0,78.0,良,O3,国控点,113.292,22.8054,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
28,2017-11-03,容桂街道办,94.0,0.863,74.792,14.5,150.0,45.0,94.0,良,NO2,国控点,113.2544,22.7642,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
29,2017-11-03,高明孔堂,87.0,0.713,53.292,34.375,137.0,64.0,100.0,良,PM2.5,国控点,112.844,22.8693,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
30,2017-11-03,三水监测站,95.0,0.813,57.5,34.609,153.0,61.0,104.0,良,O3,国控点,112.885,23.1572,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
31,2017-11-03,三水云东海,83.0,0.929,43.208,30.458,139.0,56.0,86.0,良,O3,国控点,112.863,23.1886,佛山,25.0,21.0,20.0,31.0,30.4,29.0,680.0,626.8,540.0,20.0,18.6,18.0,0.0,0.0,0.0
32,2017-11-04,湾梁,100.0,0.529,20.375,12.708,159.0,49.0,78.0,良,O3,国控点,113.134,23.0048,佛山,35.0,28.0,25.0,27.0,27.0,27.0,481.0,301.6,96.0,31.0,30.0,29.0,0.0,0.0,0.0
