,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,河南岸金山湖子站,85.0,1.008,36.042,12.792,142.0,55.0,96.0,良,O3,国控点,114.4183,23.0528,惠州,30.0,29.0,25.0,25.0,24.4,23.0,708.0,650.2,550.0,41.0,38.0,36.0,0.0,0.0,0.0
1,2017-10-31,下埔横江三路子站,87.0,0.8959999999999999,37.542,14.5,144.0,51.0,91.0,良,O3,国控点,114.4053,23.08,惠州,30.0,29.0,25.0,25.0,24.4,23.0,708.0,650.2,550.0,41.0,38.0,36.0,0.0,0.0,0.0
2,2017-10-31,江北云山西路子站,84.0,0.865,42.478,13.783,140.0,48.0,85.0,良,O3,国控点,114.4103,23.1142,惠州,30.0,29.0,25.0,25.0,24.4,23.0,708.0,650.2,550.0,41.0,38.0,36.0,0.0,0.0,0.0
3,2017-10-31,惠阳区承修路船湖子站,77.0,0.979,31.875,9.5,132.0,55.0,93.0,良,O3,国控点,114.3244,22.8172,惠州,30.0,29.0,25.0,25.0,24.4,23.0,708.0,650.2,550.0,41.0,38.0,36.0,0.0,0.0,0.0
4,2017-10-31,大亚湾管委会子站,85.0,0.925,39.958,11.083,141.0,58.0,85.0,良,O3,国控点,114.5317,22.7422,惠州,30.0,29.0,25.0,25.0,24.4,23.0,708.0,650.2,550.0,41.0,38.0,36.0,0.0,0.0,0.0
5,2017-11-01,河南岸金山湖子站,80.0,1.021,41.25,11.625,135.0,58.0,98.0,良,O3,国控点,114.4183,23.0528,惠州,35.0,32.0,25.0,27.0,26.4,25.0,690.0,632.6,532.0,39.0,34.2,32.0,0.0,0.0,0.0
6,2017-11-01,下埔横江三路子站,88.0,0.875,43.042,16.333,145.0,55.0,93.0,良,O3,国控点,114.4053,23.08,惠州,35.0,32.0,25.0,27.0,26.4,25.0,690.0,632.6,532.0,39.0,34.2,32.0,0.0,0.0,0.0
7,2017-11-01,江北云山西路子站,86.0,0.946,51.333,17.667,143.0,56.0,91.0,良,O3,国控点,114.4103,23.1142,惠州,35.0,32.0,25.0,27.0,26.4,25.0,690.0,632.6,532.0,39.0,34.2,32.0,0.0,0.0,0.0
8,2017-11-01,惠阳区承修路船湖子站,74.0,0.858,33.958,8.125,128.0,46.0,77.0,良,O3,国控点,114.3244,22.8172,惠州,35.0,32.0,25.0,27.0,26.4,25.0,690.0,632.6,532.0,39.0,34.2,32.0,0.0,0.0,0.0
9,2017-11-01,大亚湾管委会子站,84.0,0.721,37.25,12.167,140.0,36.0,70.0,良,O3,国控点,114.5317,22.7422,惠州,35.0,32.0,25.0,27.0,26.4,25.0,690.0,632.6,532.0,39.0,34.2,32.0,0.0,0.0,0.0
10,2017-11-02,河南岸金山湖子站,80.0,1.117,49.833,11.917,135.0,58.0,100.0,良,O3,国控点,114.4183,23.0528,惠州,35.0,27.0,20.0,29.0,28.4,27.0,680.0,626.0,530.0,35.0,31.8,30.0,0.0,0.0,0.0
11,2017-11-02,下埔横江三路子站,91.0,0.943,55.783,16.565,149.0,58.0,96.0,良,O3,国控点,114.4053,23.08,惠州,35.0,27.0,20.0,29.0,28.4,27.0,680.0,626.0,530.0,35.0,31.8,30.0,0.0,0.0,0.0
12,2017-11-02,江北云山西路子站,91.0,0.963,59.083,16.167,149.0,55.0,92.0,良,O3,国控点,114.4103,23.1142,惠州,35.0,27.0,20.0,29.0,28.4,27.0,680.0,626.0,530.0,35.0,31.8,30.0,0.0,0.0,0.0
13,2017-11-02,惠阳区承修路船湖子站,77.0,0.904,35.458,8.0,132.0,45.0,79.0,良,O3,国控点,114.3244,22.8172,惠州,35.0,27.0,20.0,29.0,28.4,27.0,680.0,626.0,530.0,35.0,31.8,30.0,0.0,0.0,0.0
14,2017-11-02,大亚湾管委会子站,90.0,0.775,47.417,15.625,148.0,49.0,86.0,良,O3,国控点,114.5317,22.7422,惠州,35.0,27.0,20.0,29.0,28.4,27.0,680.0,626.0,530.0,35.0,31.8,30.0,0.0,0.0,0.0
15,2017-11-03,河南岸金山湖子站,90.0,0.833,28.044,18.217,148.0,51.0,89.0,良,O3,国控点,114.4183,23.0528,惠州,35.0,29.0,25.0,29.0,28.2,27.0,680.0,621.2,520.0,31.0,29.4,28.0,0.0,0.0,0.0
16,2017-11-03,下埔横江三路子站,95.0,0.6709999999999999,26.667,18.208,154.0,46.0,76.0,良,O3,国控点,114.4053,23.08,惠州,35.0,29.0,25.0,29.0,28.2,27.0,680.0,621.2,520.0,31.0,29.4,28.0,0.0,0.0,0.0
17,2017-11-03,江北云山西路子站,97.0,0.779,24.917,16.708,156.0,45.0,74.0,良,O3,国控点,114.4103,23.1142,惠州,35.0,29.0,25.0,29.0,28.2,27.0,680.0,621.2,520.0,31.0,29.4,28.0,0.0,0.0,0.0
18,2017-11-03,惠阳区承修路船湖子站,80.0,0.958,35.125,12.0,136.0,51.0,93.0,良,O3,国控点,114.3244,22.8172,惠州,35.0,29.0,25.0,29.0,28.2,27.0,680.0,621.2,520.0,31.0,29.4,28.0,0.0,0.0,0.0
19,2017-11-03,大亚湾管委会子站,90.0,0.779,40.125,16.833,148.0,52.0,84.0,良,O3,国控点,114.5317,22.7422,惠州,35.0,29.0,25.0,29.0,28.2,27.0,680.0,621.2,520.0,31.0,29.4,28.0,0.0,0.0,0.0
20,2017-11-04,河南岸金山湖子站,86.0,0.8,25.125,18.583,135.0,64.0,101.0,良,PM2.5,国控点,114.4183,23.0528,惠州,40.0,35.0,30.0,24.0,22.6,21.0,341.0,211.6,117.0,50.0,47.2,45.0,0.0,0.0,0.0
21,2017-11-04,下埔横江三路子站,90.0,0.7829999999999999,22.25,17.917,147.0,53.0,86.0,良,O3,国控点,114.4053,23.08,惠州,40.0,35.0,30.0,24.0,22.6,21.0,341.0,211.6,117.0,50.0,47.2,45.0,0.0,0.0,0.0
22,2017-11-04,江北云山西路子站,89.0,1.142,23.333,15.5,146.0,46.0,80.0,良,O3,国控点,114.4103,23.1142,惠州,40.0,35.0,30.0,24.0,22.6,21.0,341.0,211.6,117.0,50.0,47.2,45.0,0.0,0.0,0.0
23,2017-11-04,惠阳区承修路船湖子站,72.0,0.954,30.167,13.208,116.0,52.0,92.0,良,PM10,国控点,114.3244,22.8172,惠州,40.0,35.0,30.0,24.0,22.6,21.0,341.0,211.6,117.0,50.0,47.2,45.0,0.0,0.0,0.0
24,2017-11-04,大亚湾管委会子站,74.0,0.858,38.167,16.375,128.0,53.0,84.0,良,O3,国控点,114.5317,22.7422,惠州,40.0,35.0,30.0,24.0,22.6,21.0,341.0,211.6,117.0,50.0,47.2,45.0,0.0,0.0,0.0
