,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,市环保局,70.0,0.79,17.05,10.4,124.0,37.0,67.0,良,O3,国控点,115.3653,22.775,汕尾,85.0,72.0,55.0,25.0,24.4,23.0,709.0,644.2,526.0,52.0,47.6,45.0,0.0,0.0,0.0
1,2017-10-31,市政府,75.0,0.825,16.083,8.583,130.0,34.0,78.0,良,O3,国控点,115.3706,22.7898,汕尾,85.0,72.0,55.0,25.0,24.4,23.0,709.0,644.2,526.0,52.0,47.6,45.0,0.0,0.0,0.0
2,2017-10-31,新城中学,65.0,0.813,13.833,10.667,118.0,36.0,70.0,良,O3,国控点,115.3622,22.7925,汕尾,85.0,72.0,55.0,25.0,24.4,23.0,709.0,644.2,526.0,52.0,47.6,45.0,0.0,0.0,0.0
3,2017-11-01,市环保局,75.0,0.7809999999999999,16.647000000000002,9.875,129.0,24.0,52.0,良,O3,国控点,115.3653,22.775,汕尾,110.0,91.0,60.0,26.0,25.8,25.0,696.0,634.2,520.0,48.0,45.2,43.0,0.0,0.0,0.0
4,2017-11-01,市政府,81.0,0.738,12.458,8.917,137.0,22.0,46.0,良,O3,国控点,115.3706,22.7898,汕尾,110.0,91.0,60.0,26.0,25.8,25.0,696.0,634.2,520.0,48.0,45.2,43.0,0.0,0.0,0.0
5,2017-11-01,新城中学,67.0,0.7170000000000001,11.792,10.25,120.0,25.0,49.0,良,O3,国控点,115.3622,22.7925,汕尾,110.0,91.0,60.0,26.0,25.8,25.0,696.0,634.2,520.0,48.0,45.2,43.0,0.0,0.0,0.0
6,2017-11-02,市环保局,72.0,0.775,19.783,9.783,126.0,30.0,53.0,良,O3,国控点,115.3653,22.775,汕尾,115.0,103.0,70.0,28.0,27.6,27.0,690.0,629.0,515.0,49.0,45.0,43.0,0.0,0.0,0.0
7,2017-11-02,市政府,80.0,0.846,19.375,10.833,135.0,24.0,49.0,良,O3,国控点,115.3706,22.7898,汕尾,115.0,103.0,70.0,28.0,27.6,27.0,690.0,629.0,515.0,49.0,45.0,43.0,0.0,0.0,0.0
8,2017-11-02,新城中学,71.0,0.8,18.542,10.167,125.0,32.0,56.0,良,O3,国控点,115.3622,22.7925,汕尾,115.0,103.0,70.0,28.0,27.6,27.0,690.0,629.0,515.0,49.0,45.0,43.0,0.0,0.0,0.0
9,2017-11-03,市环保局,91.0,0.7,18.375,11.458,149.0,38.0,67.0,良,O3,国控点,115.3653,22.775,汕尾,60.0,54.0,40.0,29.0,28.4,28.0,670.0,605.6,491.0,47.0,44.0,42.0,0.0,0.0,0.0
10,2017-11-03,市政府,94.0,0.8170000000000001,15.913,8.87,152.0,30.0,55.0,良,O3,国控点,115.3706,22.7898,汕尾,60.0,54.0,40.0,29.0,28.4,28.0,670.0,605.6,491.0,47.0,44.0,42.0,0.0,0.0,0.0
11,2017-11-03,新城中学,87.0,0.858,14.333,11.625,144.0,40.0,62.0,良,O3,国控点,115.3622,22.7925,汕尾,60.0,54.0,40.0,29.0,28.4,28.0,670.0,605.6,491.0,47.0,44.0,42.0,0.0,0.0,0.0
12,2017-11-04,市环保局,71.0,0.7709999999999999,21.167,11.5,125.0,47.0,76.0,良,O3,国控点,115.3653,22.775,汕尾,40.0,35.0,30.0,25.0,24.4,23.0,521.0,346.2,194.0,46.0,44.8,44.0,0.0,0.0,0.0
13,2017-11-04,市政府,70.0,0.754,22.5,9.25,123.0,38.0,73.0,良,O3,国控点,115.3706,22.7898,汕尾,40.0,35.0,30.0,25.0,24.4,23.0,521.0,346.2,194.0,46.0,44.8,44.0,0.0,0.0,0.0
14,2017-11-04,新城中学,71.0,0.7909999999999999,18.0,11.739,118.0,52.0,75.0,良,PM2.5,国控点,115.3622,22.7925,汕尾,40.0,35.0,30.0,25.0,24.4,23.0,521.0,346.2,194.0,46.0,44.8,44.0,0.0,0.0,0.0
15,2017-11-05,市环保局,79.0,0.813,20.667,12.042,134.0,53.0,98.0,良,O3,国控点,115.3653,22.775,汕尾,75.0,61.0,45.0,26.0,25.2,24.0,503.0,436.4,337.0,51.0,47.2,45.0,0.0,0.0,0.0
16,2017-11-05,市政府,82.0,0.825,22.417,9.333,138.0,46.0,92.0,良,O3,国控点,115.3706,22.7898,汕尾,75.0,61.0,45.0,26.0,25.2,24.0,503.0,436.4,337.0,51.0,47.2,45.0,0.0,0.0,0.0
17,2017-11-05,新城中学,80.0,0.813,18.292,12.042,135.0,56.0,96.0,良,O3,国控点,115.3622,22.7925,汕尾,75.0,61.0,45.0,26.0,25.2,24.0,503.0,436.4,337.0,51.0,47.2,45.0,0.0,0.0,0.0
18,2017-11-06,市环保局,54.0,0.738,19.833,11.0,101.0,36.0,56.0,良,PM10,国控点,115.3653,22.775,汕尾,30.0,29.0,25.0,21.0,20.4,20.0,90.0,58.2,30.0,76.0,70.4,68.0,3.0,2.6,1.0
19,2017-11-06,市政府,55.0,0.696,16.458,10.875,106.0,31.0,54.0,良,O3,国控点,115.3706,22.7898,汕尾,30.0,29.0,25.0,21.0,20.4,20.0,90.0,58.2,30.0,76.0,70.4,68.0,3.0,2.6,1.0
20,2017-11-06,新城中学,53.0,0.6579999999999999,16.917,11.125,101.0,35.0,56.0,良,PM10,国控点,115.3622,22.7925,汕尾,30.0,29.0,25.0,21.0,20.4,20.0,90.0,58.2,30.0,76.0,70.4,68.0,3.0,2.6,1.0
21,2017-11-07,市环保局,56.0,0.792,19.042,10.458,82.0,40.0,57.0,良,PM2.5,国控点,115.3653,22.775,汕尾,60.0,49.0,30.0,28.0,27.8,27.0,587.0,530.4,437.0,58.0,56.0,55.0,0.0,0.0,0.0
22,2017-11-07,市政府,47.0,0.721,15.0,7.957999999999998,91.0,30.0,46.0,优,PM10,国控点,115.3706,22.7898,汕尾,60.0,49.0,30.0,28.0,27.8,27.0,587.0,530.4,437.0,58.0,56.0,55.0,0.0,0.0,0.0
23,2017-11-07,新城中学,54.0,0.642,13.583,10.542,81.0,38.0,49.0,良,PM2.5,国控点,115.3622,22.7925,汕尾,60.0,49.0,30.0,28.0,27.8,27.0,587.0,530.4,437.0,58.0,56.0,55.0,0.0,0.0,0.0
24,2017-11-08,市环保局,55.0,0.696,15.333,9.083,105.0,28.0,47.0,良,O3,国控点,115.3653,22.775,汕尾,100.0,85.0,60.0,28.0,27.8,27.0,629.0,561.6,436.0,65.0,62.4,61.0,0.0,0.0,0.0
25,2017-11-08,市政府,62.0,0.6709999999999999,11.958,6.957999999999998,114.0,23.0,35.0,良,O3,国控点,115.3706,22.7898,汕尾,100.0,85.0,60.0,28.0,27.8,27.0,629.0,561.6,436.0,65.0,62.4,61.0,0.0,0.0,0.0
26,2017-11-08,新城中学,55.0,0.621,11.792,9.5,105.0,27.0,38.0,良,O3,国控点,115.3622,22.7925,汕尾,100.0,85.0,60.0,28.0,27.8,27.0,629.0,561.6,436.0,65.0,62.4,61.0,0.0,0.0,0.0
27,2017-11-09,市环保局,78.0,0.6709999999999999,14.783,10.0,133.0,21.0,46.0,良,O3,国控点,115.3653,22.775,汕尾,100.0,92.0,80.0,27.0,27.0,27.0,634.0,567.6,449.0,63.0,60.6,59.0,0.0,0.0,0.0
28,2017-11-09,市政府,82.0,0.6709999999999999,12.833,8.125,138.0,19.0,41.0,良,O3,国控点,115.3706,22.7898,汕尾,100.0,92.0,80.0,27.0,27.0,27.0,634.0,567.6,449.0,63.0,60.6,59.0,0.0,0.0,0.0
29,2017-11-09,新城中学,72.0,0.625,11.333,10.542,126.0,28.0,46.0,良,O3,国控点,115.3622,22.7925,汕尾,100.0,92.0,80.0,27.0,27.0,27.0,634.0,567.6,449.0,63.0,60.6,59.0,0.0,0.0,0.0
30,2017-11-10,市环保局,85.0,0.7879999999999999,18.25,10.708,141.0,31.0,57.0,良,O3,国控点,115.3653,22.775,汕尾,130.0,109.0,70.0,29.0,28.2,27.0,636.0,575.8,469.0,63.0,60.4,59.0,0.0,0.0,0.0
31,2017-11-10,市政府,95.0,0.813,16.087,8.435,154.0,24.0,78.0,良,O3,国控点,115.3706,22.7898,汕尾,130.0,109.0,70.0,29.0,28.2,27.0,636.0,575.8,469.0,63.0,60.4,59.0,0.0,0.0,0.0
32,2017-11-10,新城中学,82.0,0.763,13.25,11.0,138.0,33.0,59.0,良,O3,国控点,115.3622,22.7925,汕尾,130.0,109.0,70.0,29.0,28.2,27.0,636.0,575.8,469.0,63.0,60.4,59.0,0.0,0.0,0.0
33,2017-11-11,市环保局,65.0,0.8959999999999999,20.042,11.042,117.0,39.0,66.0,良,O3,国控点,115.3653,22.775,汕尾,85.0,80.0,70.0,26.0,25.8,25.0,417.0,363.0,343.0,73.0,72.2,72.0,0.0,0.0,0.0
34,2017-11-11,市政府,72.0,0.904,22.625,8.75,112.0,33.0,93.0,良,PM10,国控点,115.3706,22.7898,汕尾,85.0,80.0,70.0,26.0,25.8,25.0,417.0,363.0,343.0,73.0,72.2,72.0,0.0,0.0,0.0
35,2017-11-11,新城中学,59.0,0.821,17.0,11.652,106.0,42.0,64.0,良,PM2.5,国控点,115.3622,22.7925,汕尾,85.0,80.0,70.0,26.0,25.8,25.0,417.0,363.0,343.0,73.0,72.2,72.0,0.0,0.0,0.0
36,2017-11-12,市环保局,54.0,0.8959999999999999,19.565,10.13,88.0,35.0,57.0,良,PM10,国控点,115.3653,22.775,汕尾,60.0,60.0,60.0,22.0,22.0,22.0,34.0,24.6,12.0,82.0,81.6,81.0,4.0,2.4,1.0
37,2017-11-12,市政府,60.0,0.95,20.458,8.333,90.0,34.0,69.0,良,PM10,国控点,115.3706,22.7898,汕尾,60.0,60.0,60.0,22.0,22.0,22.0,34.0,24.6,12.0,82.0,81.6,81.0,4.0,2.4,1.0
38,2017-11-12,新城中学,55.0,0.863,17.25,10.875,86.0,39.0,59.0,良,PM10,国控点,115.3622,22.7925,汕尾,60.0,60.0,60.0,22.0,22.0,22.0,34.0,24.6,12.0,82.0,81.6,81.0,4.0,2.4,1.0
39,2017-11-13,市环保局,71.0,0.863,16.304000000000002,8.708,72.0,51.0,33.0,良,PM2.5,国控点,115.3653,22.775,汕尾,80.0,76.0,70.0,24.0,23.2,23.0,274.0,230.0,197.0,77.0,76.2,76.0,1.0,0.6,0.0
