,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,北街,118.0,0.7829999999999999,65.625,18.0,179.0,57.0,96.0,轻度污染,O3,国控点,113.104,22.6069,江门,35.0,31.0,30.0,27.0,26.4,25.0,697.0,648.4,565.0,32.0,28.8,27.0,0.0,0.0,0.0
1,2017-10-31,西区,100.0,1.0,73.857,13.5,160.0,61.0,103.0,良,O3,国控点,113.074,22.5811,江门,35.0,31.0,30.0,27.0,26.4,25.0,697.0,648.4,565.0,32.0,28.8,27.0,0.0,0.0,0.0
2,2017-10-31,圭峰西,137.0,0.883,30.696,9.25,200.0,55.0,86.0,轻度污染,O3,国控点,113.0219,22.5311,江门,35.0,31.0,30.0,27.0,26.4,25.0,697.0,648.4,565.0,32.0,28.8,27.0,0.0,0.0,0.0
3,2017-10-31,东湖,120.0,0.846,55.292,11.5,182.0,57.0,90.0,轻度污染,O3,国控点,113.0819,22.5931,江门,35.0,31.0,30.0,27.0,26.4,25.0,697.0,648.4,565.0,32.0,28.8,27.0,0.0,0.0,0.0
4,2017-11-01,北街,144.0,1.338,121.083,27.375,208.0,93.0,139.0,轻度污染,O3,国控点,113.104,22.6069,江门,25.0,20.0,15.0,29.0,27.8,26.0,690.0,639.8,559.0,31.0,25.8,23.0,0.0,0.0,0.0
5,2017-11-01,西区,126.0,1.388,113.417,21.792,188.0,95.0,147.0,轻度污染,PM2.5,国控点,113.074,22.5811,江门,25.0,20.0,15.0,29.0,27.8,26.0,690.0,639.8,559.0,31.0,25.8,23.0,0.0,0.0,0.0
6,2017-11-01,圭峰西,158.0,1.1,61.25,15.917,223.0,81.0,114.0,中度污染,O3,国控点,113.0219,22.5311,江门,25.0,20.0,15.0,29.0,27.8,26.0,690.0,639.8,559.0,31.0,25.8,23.0,0.0,0.0,0.0
7,2017-11-01,东湖,147.0,1.329,105.0,19.458,211.0,92.0,135.0,轻度污染,O3,国控点,113.0819,22.5931,江门,25.0,20.0,15.0,29.0,27.8,26.0,690.0,639.8,559.0,31.0,25.8,23.0,0.0,0.0,0.0
8,2017-11-02,北街,140.0,1.2919999999999998,112.125,34.292,201.0,107.0,152.0,轻度污染,PM2.5,国控点,113.104,22.6069,江门,20.0,20.0,20.0,31.0,30.0,29.0,687.0,636.0,550.0,27.0,24.6,23.0,0.0,0.0,0.0
9,2017-11-02,西区,140.0,1.5419999999999998,118.583,29.25,186.0,106.0,167.0,轻度污染,PM2.5,国控点,113.074,22.5811,江门,20.0,20.0,20.0,31.0,30.0,29.0,687.0,636.0,550.0,27.0,24.6,23.0,0.0,0.0,0.0
10,2017-11-02,圭峰西,173.0,1.142,40.833,13.75,238.0,74.0,119.0,中度污染,O3,国控点,113.0219,22.5311,江门,20.0,20.0,20.0,31.0,30.0,29.0,687.0,636.0,550.0,27.0,24.6,23.0,0.0,0.0,0.0
