,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
1,2017-10-31,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
2,2017-10-31,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
3,2017-10-31,源西,72.0,1.163,48.167,11.792,113.0,49.0,94.0,良,PM10,国控点,114.6778,23.7569,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
4,2017-10-31,东埔,90.0,0.804,31.583,13.333,147.0,46.0,84.0,良,O3,国控点,114.6944,23.7586,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
5,2017-10-31,老城,89.0,0.967,29.217,11.0,146.0,46.0,82.0,良,O3,国控点,114.6892,23.7233,河源,45.0,40.0,35.0,24.0,23.2,22.0,705.0,645.2,541.0,39.0,38.0,37.0,0.0,0.0,0.0
6,2017-11-01,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
7,2017-11-01,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
8,2017-11-01,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
9,2017-11-01,源西,82.0,1.13,58.739,13.667,122.0,60.0,106.0,良,PM2.5,国控点,114.6778,23.7569,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
10,2017-11-01,东埔,99.0,0.946,44.042,16.25,158.0,59.0,98.0,良,O3,国控点,114.6944,23.7586,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
11,2017-11-01,老城,97.0,1.021,49.667,10.75,156.0,52.0,95.0,良,O3,国控点,114.6892,23.7233,河源,60.0,49.0,35.0,26.0,25.2,24.0,690.0,628.2,521.0,36.0,34.0,32.0,0.0,0.0,0.0
12,2017-11-02,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
13,2017-11-02,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
14,2017-11-02,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
15,2017-11-02,源西,82.0,0.821,52.625,16.333,138.0,54.0,96.0,良,O3,国控点,114.6778,23.7569,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
16,2017-11-02,东埔,90.0,0.852,47.864,18.391,148.0,59.0,92.0,良,O3,国控点,114.6944,23.7586,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
17,2017-11-02,老城,93.0,1.033,54.095,11.042,151.0,53.0,98.0,良,O3,国控点,114.6892,23.7233,河源,40.0,33.0,30.0,28.0,27.8,27.0,680.0,622.2,520.0,36.0,32.6,31.0,0.0,0.0,0.0
18,2017-11-03,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
19,2017-11-03,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
20,2017-11-03,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
21,2017-11-03,源西,79.0,0.6709999999999999,27.5,13.667,134.0,46.0,83.0,良,O3,国控点,114.6778,23.7569,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
22,2017-11-03,东埔,90.0,0.7,17.625,14.0,148.0,49.0,70.0,良,O3,国控点,114.6944,23.7586,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
23,2017-11-03,老城,90.0,0.758,22.333,14.708,147.0,40.0,71.0,良,O3,国控点,114.6892,23.7233,河源,25.0,24.0,20.0,28.0,26.8,26.0,680.0,620.4,520.0,30.0,27.6,26.0,0.0,0.0,0.0
24,2017-11-04,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
25,2017-11-04,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
26,2017-11-04,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
27,2017-11-04,源西,82.0,0.7829999999999999,21.208,13.75,137.0,60.0,95.0,良,PM2.5,国控点,114.6778,23.7569,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
28,2017-11-04,东埔,96.0,0.835,13.044,14.044,155.0,58.0,84.0,良,O3,国控点,114.6944,23.7586,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
29,2017-11-04,老城,95.0,0.879,18.458,14.292,154.0,58.0,86.0,良,O3,国控点,114.6892,23.7233,河源,30.0,29.0,25.0,24.0,22.8,22.0,337.0,288.0,230.0,47.0,46.6,46.0,0.0,0.0,0.0
30,2017-11-05,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
31,2017-11-05,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
32,2017-11-05,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
33,2017-11-05,源西,86.0,0.804,23.917,12.0,122.0,63.0,96.0,良,PM2.5,国控点,114.6778,23.7569,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
34,2017-11-05,东埔,87.0,0.892,15.833,13.042,140.0,65.0,93.0,良,PM2.5,国控点,114.6944,23.7586,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
35,2017-11-05,老城,87.0,0.946,21.625,13.083,144.0,58.0,94.0,良,O3,国控点,114.6892,23.7233,河源,30.0,29.0,25.0,24.0,23.4,23.0,650.0,595.6,500.0,39.0,37.6,36.0,0.0,0.0,0.0
36,2017-11-06,市自来水厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.713721,23.757251,河源,60.0,48.0,35.0,22.0,20.2,17.0,270.0,164.0,33.0,80.0,61.0,51.0,1.0,0.2,0.0
37,2017-11-06,市三小,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.705688,23.762368,河源,60.0,48.0,35.0,22.0,20.2,17.0,270.0,164.0,33.0,80.0,61.0,51.0,1.0,0.2,0.0
38,2017-11-06,河源中学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,114.701543,23.728777,河源,60.0,48.0,35.0,22.0,20.2,17.0,270.0,164.0,33.0,80.0,61.0,51.0,1.0,0.2,0.0
39,2017-11-06,源西,62.0,0.721,24.833,10.0,90.0,44.0,65.0,良,PM2.5,国控点,114.6778,23.7569,河源,60.0,48.0,35.0,22.0,20.2,17.0,270.0,164.0,33.0,80.0,61.0,51.0,1.0,0.2,0.0
