,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,荔园,102.0,0.8,34.208,10.875,162.0,60.0,92.0,轻度污染,O3,国控点,114.096,22.55,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
1,2017-10-31,洪湖,98.0,0.858,49.417,10.208,157.0,59.0,83.0,良,O3,国控点,114.117,22.5625,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
2,2017-10-31,华侨城,110.0,0.867,41.75,12.083,170.0,61.0,99.0,轻度污染,O3,国控点,113.987,22.5417,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
3,2017-10-31,南油,122.0,0.925,37.417,10.208,184.0,53.0,104.0,轻度污染,O3,国控点,113.923,22.5167,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
4,2017-10-31,盐田,101.0,0.805,17.817999999999994,6.455,161.0,48.0,82.0,轻度污染,O3,国控点,114.263,22.5908,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
5,2017-10-31,龙岗,89.0,1.042,30.917,11.458,146.0,55.0,88.0,良,O3,国控点,114.24,22.7267,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
6,2017-10-31,西乡,113.0,1.029,48.667,11.375,174.0,56.0,95.0,轻度污染,O3,国控点,113.8953,22.5861,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
7,2017-10-31,南澳,95.0,0.85,15.542,8.458,154.0,46.0,79.0,良,O3,国控点,114.494,22.5422,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
8,2017-10-31,葵涌,92.0,0.821,26.083,13.292,150.0,57.0,89.0,良,O3,国控点,114.41,22.6342,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
9,2017-10-31,梅沙,79.0,0.975,25.35,8.55,134.0,58.0,76.0,良,PM2.5,国控点,114.297,22.5978,深圳,65.0,48.0,40.0,26.0,25.4,24.0,713.0,656.6,560.0,33.0,30.4,29.0,0.0,0.0,0.0
