,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远,25.0,25.0,25.0,25.0,23.8,22.0,693.0,643.8,560.0,34.0,32.2,31.0,0.0,0.0,0.0
1,2017-10-31,凤城街办,61.0,0.652,25.208,28.792,113.0,29.0,55.0,良,O3,国控点,113.0208,23.7106,清远,25.0,25.0,25.0,25.0,23.8,22.0,693.0,643.8,560.0,34.0,32.2,31.0,0.0,0.0,0.0
2,2017-10-31,扶贫区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远,25.0,25.0,25.0,25.0,23.8,22.0,693.0,643.8,560.0,34.0,32.2,31.0,0.0,0.0,0.0
3,2017-10-31,环保大楼,72.0,0.708,31.167,22.25,126.0,31.0,67.0,良,O3,国控点,113.0425,23.6936,清远,25.0,25.0,25.0,25.0,23.8,22.0,693.0,643.8,560.0,34.0,32.2,31.0,0.0,0.0,0.0
4,2017-10-31,技师学院,79.0,0.8079999999999999,46.042,22.417,134.0,33.0,79.0,良,O3,国控点,113.0472,23.63444,清远,25.0,25.0,25.0,25.0,23.8,22.0,693.0,643.8,560.0,34.0,32.2,31.0,0.0,0.0,0.0
5,2017-11-01,环保局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远,40.0,27.0,20.0,27.0,26.2,25.0,680.0,629.6,549.0,33.0,30.4,29.0,0.0,0.0,0.0
6,2017-11-01,凤城街办,84.0,0.958,46.958,25.5,140.0,47.0,78.0,良,O3,国控点,113.0208,23.7106,清远,40.0,27.0,20.0,27.0,26.2,25.0,680.0,629.6,549.0,33.0,30.4,29.0,0.0,0.0,0.0
7,2017-11-01,扶贫区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,113.040773,23.698469,清远,40.0,27.0,20.0,27.0,26.2,25.0,680.0,629.6,549.0,33.0,30.4,29.0,0.0,0.0,0.0
8,2017-11-01,环保大楼,90.0,0.933,49.167,21.875,148.0,50.0,94.0,良,O3,国控点,113.0425,23.6936,清远,40.0,27.0,20.0,27.0,26.2,25.0,680.0,629.6,549.0,33.0,30.4,29.0,0.0,0.0,0.0
9,2017-11-01,技师学院,98.0,1.1,77.818,25.13,151.0,69.0,117.0,良,NO2,国控点,113.0472,23.63444,清远,40.0,27.0,20.0,27.0,26.2,25.0,680.0,629.6,549.0,33.0,30.4,29.0,0.0,0.0,0.0
