,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,西园路,66.0,0.7170000000000001,15.417,11.333,119.0,35.0,64.0,良,O3,国控点,116.6339,23.6714,潮州,95.0,78.0,60.0,24.0,23.6,23.0,703.0,632.0,505.0,52.0,48.0,46.0,0.0,0.0,0.0
1,2017-10-31,档案局,61.0,0.7709999999999999,13.792,8.875,113.0,33.0,58.0,良,O3,国控点,116.6447,23.6706,潮州,95.0,78.0,60.0,24.0,23.6,23.0,703.0,632.0,505.0,52.0,48.0,46.0,0.0,0.0,0.0
2,2017-10-31,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州,95.0,78.0,60.0,24.0,23.6,23.0,703.0,632.0,505.0,52.0,48.0,46.0,0.0,0.0,0.0
3,2017-10-31,市政府,65.0,0.8959999999999999,17.208,13.958,117.0,32.0,63.0,良,O3,国控点,116.6183,23.65889,潮州,95.0,78.0,60.0,24.0,23.6,23.0,703.0,632.0,505.0,52.0,48.0,46.0,0.0,0.0,0.0
4,2017-11-01,西园路,69.0,0.6709999999999999,16.958,12.875,122.0,30.0,52.0,良,O3,国控点,116.6339,23.6714,潮州,115.0,88.0,55.0,27.0,26.2,26.0,693.0,624.2,500.0,49.0,45.4,43.0,0.0,0.0,0.0
5,2017-11-01,档案局,65.0,0.775,13.875,6.082999999999998,118.0,28.0,49.0,良,O3,国控点,116.6447,23.6706,潮州,115.0,88.0,55.0,27.0,26.2,26.0,693.0,624.2,500.0,49.0,45.4,43.0,0.0,0.0,0.0
6,2017-11-01,市政公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CO,国控点,116.6175,23.6531,潮州,115.0,88.0,55.0,27.0,26.2,26.0,693.0,624.2,500.0,49.0,45.4,43.0,0.0,0.0,0.0
7,2017-11-01,市政府,66.0,0.958,22.875,17.333,119.0,29.0,58.0,良,O3,国控点,116.6183,23.65889,潮州,115.0,88.0,55.0,27.0,26.2,26.0,693.0,624.2,500.0,49.0,45.4,43.0,0.0,0.0,0.0
8,2017-11-02,西园路,75.0,0.733,18.917,11.125,130.0,35.0,58.0,良,O3,国控点,116.6339,23.6714,潮州,125.0,84.0,35.0,28.0,27.2,26.0,644.0,543.6,363.0,50.0,41.8,38.0,0.0,0.0,0.0
9,2017-11-02,档案局,70.0,0.908,16.208,11.304,124.0,32.0,54.0,良,O3,国控点,116.6447,23.6706,潮州,125.0,84.0,35.0,28.0,27.2,26.0,644.0,543.6,363.0,50.0,41.8,38.0,0.0,0.0,0.0
