,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,吉大,163.0,0.6729999999999999,29.044,14.261,228.0,58.0,89.0,中度污染,O3,国控点,113.574,22.2611,珠海,85.0,57.0,40.0,25.0,24.6,24.0,704.0,651.4,560.0,41.0,37.2,35.0,0.0,0.0,0.0
1,2017-10-31,前山,151.0,0.867,45.0,10.542,216.0,68.0,113.0,中度污染,O3,国控点,113.495,22.2294,珠海,85.0,57.0,40.0,25.0,24.6,24.0,704.0,651.4,560.0,41.0,37.2,35.0,0.0,0.0,0.0
2,2017-10-31,唐家,164.0,0.63,16.875,13.583,229.0,64.0,107.0,中度污染,O3,国控点,113.628,22.4251,珠海,85.0,57.0,40.0,25.0,24.6,24.0,704.0,651.4,560.0,41.0,37.2,35.0,0.0,0.0,0.0
3,2017-10-31,斗门,114.0,0.867,37.083,13.5,175.0,65.0,82.0,轻度污染,O3,国控点,113.299,22.2281,珠海,85.0,57.0,40.0,25.0,24.6,24.0,704.0,651.4,560.0,41.0,37.2,35.0,0.0,0.0,0.0
4,2017-11-01,吉大,169.0,0.575,32.292,11.083,234.0,41.0,72.0,中度污染,O3,国控点,113.574,22.2611,珠海,90.0,55.0,30.0,27.0,26.2,25.0,690.0,636.8,550.0,42.0,38.4,36.0,0.0,0.0,0.0
5,2017-11-01,前山,153.0,0.733,51.625,7.832999999999998,218.0,59.0,102.0,中度污染,O3,国控点,113.495,22.2294,珠海,90.0,55.0,30.0,27.0,26.2,25.0,690.0,636.8,550.0,42.0,38.4,36.0,0.0,0.0,0.0
6,2017-11-01,唐家,190.0,0.563,25.667,10.75,255.0,54.0,92.0,中度污染,O3,国控点,113.628,22.4251,珠海,90.0,55.0,30.0,27.0,26.2,25.0,690.0,636.8,550.0,42.0,38.4,36.0,0.0,0.0,0.0
7,2017-11-01,斗门,111.0,0.908,47.167,13.792,172.0,75.0,88.0,轻度污染,O3,国控点,113.299,22.2281,珠海,90.0,55.0,30.0,27.0,26.2,25.0,690.0,636.8,550.0,42.0,38.4,36.0,0.0,0.0,0.0
8,2017-11-02,吉大,176.0,0.6629999999999999,44.583,12.292,241.0,45.0,71.0,中度污染,O3,国控点,113.574,22.2611,珠海,70.0,36.0,20.0,28.0,27.8,27.0,690.0,640.0,550.0,42.0,41.0,40.0,0.0,0.0,0.0
9,2017-11-02,前山,150.0,0.8420000000000001,81.833,9.25,215.0,72.0,124.0,轻度污染,O3,国控点,113.495,22.2294,珠海,70.0,36.0,20.0,28.0,27.8,27.0,690.0,640.0,550.0,42.0,41.0,40.0,0.0,0.0,0.0
10,2017-11-02,唐家,190.0,0.6609999999999999,37.208,17.708,255.0,57.0,97.0,中度污染,O3,国控点,113.628,22.4251,珠海,70.0,36.0,20.0,28.0,27.8,27.0,690.0,640.0,550.0,42.0,41.0,40.0,0.0,0.0,0.0
11,2017-11-02,斗门,128.0,1.05,61.5,16.917,190.0,86.0,101.0,轻度污染,O3,国控点,113.299,22.2281,珠海,70.0,36.0,20.0,28.0,27.8,27.0,690.0,640.0,550.0,42.0,41.0,40.0,0.0,0.0,0.0
