,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,睦岗子站,88.0,1.425,53.708,18.0,145.0,50.0,72.0,良,O3,国控点,112.427,23.0706,肇庆,60.0,51.0,45.0,26.0,25.0,24.0,688.0,641.8,561.0,36.0,34.6,34.0,0.0,0.0,0.0
1,2017-10-31,城中子站,96.0,0.996,39.546,13.652,155.0,47.0,78.0,良,O3,国控点,112.471,23.0528,肇庆,60.0,51.0,45.0,26.0,25.0,24.0,688.0,641.8,561.0,36.0,34.6,34.0,0.0,0.0,0.0
2,2017-10-31,坑口子站,84.0,0.708,34.917,17.083,140.0,50.0,79.0,良,O3,国控点,112.565,23.1617,肇庆,60.0,51.0,45.0,26.0,25.0,24.0,688.0,641.8,561.0,36.0,34.6,34.0,0.0,0.0,0.0
3,2017-10-31,七星岩子站,110.0,0.438,25.375,23.417,171.0,47.0,91.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆,60.0,51.0,45.0,26.0,25.0,24.0,688.0,641.8,561.0,36.0,34.6,34.0,0.0,0.0,0.0
4,2017-11-01,睦岗子站,100.0,1.267,72.667,16.957,159.0,61.0,85.0,良,O3,国控点,112.427,23.0706,肇庆,60.0,44.0,35.0,28.0,27.2,26.0,680.0,634.0,560.0,30.0,27.2,26.0,0.0,0.0,0.0
5,2017-11-01,城中子站,107.0,1.248,70.913,17.261,167.0,71.0,106.0,轻度污染,O3,国控点,112.471,23.0528,肇庆,60.0,44.0,35.0,28.0,27.2,26.0,680.0,634.0,560.0,30.0,27.2,26.0,0.0,0.0,0.0
6,2017-11-01,坑口子站,90.0,0.7959999999999999,39.333,18.958,147.0,55.0,86.0,良,O3,国控点,112.565,23.1617,肇庆,60.0,44.0,35.0,28.0,27.2,26.0,680.0,634.0,560.0,30.0,27.2,26.0,0.0,0.0,0.0
7,2017-11-01,七星岩子站,117.0,0.5710000000000001,32.913000000000004,26.958,178.0,59.0,100.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆,60.0,44.0,35.0,28.0,27.2,26.0,680.0,634.0,560.0,30.0,27.2,26.0,0.0,0.0,0.0
8,2017-11-02,睦岗子站,115.0,1.013,77.458,15.667,176.0,69.0,90.0,轻度污染,O3,国控点,112.427,23.0706,肇庆,45.0,35.0,25.0,30.0,29.2,28.0,680.0,633.4,557.0,28.0,26.2,25.0,0.0,0.0,0.0
9,2017-11-02,城中子站,115.0,1.404,76.75,20.5,176.0,75.0,112.0,轻度污染,O3,国控点,112.471,23.0528,肇庆,45.0,35.0,25.0,30.0,29.2,28.0,680.0,633.4,557.0,28.0,26.2,25.0,0.0,0.0,0.0
10,2017-11-02,坑口子站,95.0,0.821,48.958,16.75,153.0,66.0,97.0,良,O3,国控点,112.565,23.1617,肇庆,45.0,35.0,25.0,30.0,29.2,28.0,680.0,633.4,557.0,28.0,26.2,25.0,0.0,0.0,0.0
11,2017-11-02,七星岩子站,133.0,0.621,35.125,22.167,196.0,68.0,106.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆,45.0,35.0,25.0,30.0,29.2,28.0,680.0,633.4,557.0,28.0,26.2,25.0,0.0,0.0,0.0
12,2017-11-03,睦岗子站,89.0,0.7879999999999999,51.125,13.958,146.0,52.0,68.0,良,O3,国控点,112.427,23.0706,肇庆,35.0,34.0,30.0,29.0,28.6,28.0,676.0,628.4,550.0,26.0,25.4,25.0,0.0,0.0,0.0
13,2017-11-03,城中子站,92.0,1.048,41.39100000000001,18.522,150.0,50.0,74.0,良,O3,国控点,112.471,23.0528,肇庆,35.0,34.0,30.0,29.0,28.6,28.0,676.0,628.4,550.0,26.0,25.4,25.0,0.0,0.0,0.0
14,2017-11-03,坑口子站,75.0,0.7170000000000001,50.333,16.667,130.0,51.0,82.0,良,O3,国控点,112.565,23.1617,肇庆,35.0,34.0,30.0,29.0,28.6,28.0,676.0,628.4,550.0,26.0,25.4,25.0,0.0,0.0,0.0
15,2017-11-03,七星岩子站,97.0,0.483,24.75,20.042,156.0,48.0,85.0,良,O3,国控点,112.4722,23.0786,肇庆,35.0,34.0,30.0,29.0,28.6,28.0,676.0,628.4,550.0,26.0,25.4,25.0,0.0,0.0,0.0
16,2017-11-04,睦岗子站,98.0,0.725,30.167,13.458,157.0,44.0,65.0,良,O3,国控点,112.427,23.0706,肇庆,50.0,46.0,40.0,27.0,26.4,26.0,612.0,526.4,387.0,37.0,33.6,32.0,0.0,0.0,0.0
17,2017-11-04,城中子站,100.0,0.967,20.917,17.167,160.0,46.0,82.0,良,O3,国控点,112.471,23.0528,肇庆,50.0,46.0,40.0,27.0,26.4,26.0,612.0,526.4,387.0,37.0,33.6,32.0,0.0,0.0,0.0
18,2017-11-04,坑口子站,82.0,0.7,41.083,16.083,138.0,50.0,90.0,良,O3,国控点,112.565,23.1617,肇庆,50.0,46.0,40.0,27.0,26.4,26.0,612.0,526.4,387.0,37.0,33.6,32.0,0.0,0.0,0.0
19,2017-11-04,七星岩子站,105.0,0.463,14.208,18.542,165.0,45.0,85.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆,50.0,46.0,40.0,27.0,26.4,26.0,612.0,526.4,387.0,37.0,33.6,32.0,0.0,0.0,0.0
20,2017-11-05,睦岗子站,98.0,0.921,37.083,12.792,157.0,68.0,90.0,良,O3,国控点,112.427,23.0706,肇庆,50.0,40.0,35.0,27.0,26.4,25.0,621.0,583.2,530.0,35.0,33.0,32.0,0.0,0.0,0.0
21,2017-11-05,城中子站,107.0,1.13,20.87,15.913,167.0,71.0,103.0,轻度污染,O3,国控点,112.471,23.0528,肇庆,50.0,40.0,35.0,27.0,26.4,25.0,621.0,583.2,530.0,35.0,33.0,32.0,0.0,0.0,0.0
22,2017-11-05,坑口子站,98.0,0.8540000000000001,32.583,15.625,140.0,73.0,110.0,良,PM2.5,国控点,112.565,23.1617,肇庆,50.0,40.0,35.0,27.0,26.4,25.0,621.0,583.2,530.0,35.0,33.0,32.0,0.0,0.0,0.0
23,2017-11-05,七星岩子站,108.0,0.6459999999999999,20.542,17.417,168.0,73.0,119.0,轻度污染,O3,国控点,112.4722,23.0786,肇庆,50.0,40.0,35.0,27.0,26.4,25.0,621.0,583.2,530.0,35.0,33.0,32.0,0.0,0.0,0.0
