,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,鸳鸯湖,112.0,0.938,21.458,17.583,173.0,63.0,92.0,轻度污染,O3,国控点,111.9786,21.8586,阳江,50.0,44.0,40.0,25.0,24.6,24.0,688.0,643.4,570.0,49.0,47.8,47.0,0.0,0.0,0.0
1,2017-10-31,南恩路,114.0,0.904,23.375,16.5,175.0,57.0,86.0,轻度污染,O3,国控点,111.9508,21.8536,阳江,50.0,44.0,40.0,25.0,24.6,24.0,688.0,643.4,570.0,49.0,47.8,47.0,0.0,0.0,0.0
2,2017-10-31,马南垌,113.0,0.963,22.958,15.583,174.0,52.0,104.0,轻度污染,O3,国控点,111.9494,21.865,阳江,50.0,44.0,40.0,25.0,24.6,24.0,688.0,643.4,570.0,49.0,47.8,47.0,0.0,0.0,0.0
3,2017-11-01,鸳鸯湖,145.0,0.979,26.125,15.417,209.0,72.0,91.0,轻度污染,O3,国控点,111.9786,21.8586,阳江,65.0,50.0,35.0,27.0,26.2,25.0,690.0,643.2,571.0,45.0,41.6,39.0,0.0,0.0,0.0
4,2017-11-01,南恩路,148.0,1.013,31.708,14.083,212.0,69.0,95.0,轻度污染,O3,国控点,111.9508,21.8536,阳江,65.0,50.0,35.0,27.0,26.2,25.0,690.0,643.2,571.0,45.0,41.6,39.0,0.0,0.0,0.0
5,2017-11-01,马南垌,143.0,1.15,38.217,13.174,207.0,71.0,113.0,轻度污染,O3,国控点,111.9494,21.865,阳江,65.0,50.0,35.0,27.0,26.2,25.0,690.0,643.2,571.0,45.0,41.6,39.0,0.0,0.0,0.0
6,2017-11-02,鸳鸯湖,131.0,1.233,35.042,15.792,194.0,78.0,102.0,轻度污染,O3,国控点,111.9786,21.8586,阳江,35.0,34.0,30.0,28.0,27.8,27.0,690.0,644.4,571.0,43.0,40.2,39.0,0.0,0.0,0.0
7,2017-11-02,南恩路,134.0,1.146,32.0,15.625,197.0,77.0,105.0,轻度污染,O3,国控点,111.9508,21.8536,阳江,35.0,34.0,30.0,28.0,27.8,27.0,690.0,644.4,571.0,43.0,40.2,39.0,0.0,0.0,0.0
8,2017-11-02,马南垌,130.0,1.3630000000000002,36.208,14.292,193.0,70.0,125.0,轻度污染,O3,国控点,111.9494,21.865,阳江,35.0,34.0,30.0,28.0,27.8,27.0,690.0,644.4,571.0,43.0,40.2,39.0,0.0,0.0,0.0
9,2017-11-03,鸳鸯湖,113.0,0.983,32.238,16.292,174.0,60.0,85.0,轻度污染,O3,国控点,111.9786,21.8586,阳江,35.0,32.0,30.0,28.0,27.8,27.0,670.0,623.2,546.0,41.0,39.0,37.0,0.0,0.0,0.0
