,time,pointname,aqi,co,no2,so2,o3_8h,pm2_5,pm10,quality,primary_pollutant,level,longitude,latitude,cityname,wda_max,wda_mean,wda_min,temp_max,temp_mean,temp_min,dswrf_max,dswrf_mean,dswrf_min,humi_max,humi_mean,humi_min,apcp_max,apcp_mean,apcp_min
0,2017-10-31,市八中,84.0,0.505,41.583,21.542,140.0,45.0,72.0,良,O3,国控点,113.586606,24.769519,韶关,60.0,45.0,35.0,25.0,24.2,23.0,698.0,642.6,554.0,26.0,24.4,23.0,0.0,0.0,0.0
1,2017-10-31,碧湖山庄,71.0,0.691,25.478,21.609,125.0,49.0,70.0,良,O3,国控点,113.5556,24.8082,韶关,60.0,45.0,35.0,25.0,24.2,23.0,698.0,642.6,554.0,26.0,24.4,23.0,0.0,0.0,0.0
2,2017-10-31,园林处,85.0,0.867,37.083,19.75,142.0,40.0,66.0,良,O3,国控点,113.59806100000002,24.795928,韶关,60.0,45.0,35.0,25.0,24.2,23.0,698.0,642.6,554.0,26.0,24.4,23.0,0.0,0.0,0.0
3,2017-10-31,韶关学院,104.0,0.638,27.667,15.167,164.0,52.0,64.0,轻度污染,O3,国控点,113.673472,24.779083,韶关,60.0,45.0,35.0,25.0,24.2,23.0,698.0,642.6,554.0,26.0,24.4,23.0,0.0,0.0,0.0
4,2017-10-31,曲江监测站,95.0,0.925,47.435,20.917,153.0,46.0,75.0,良,O3,国控点,113.597083,24.686361,韶关,60.0,45.0,35.0,25.0,24.2,23.0,698.0,642.6,554.0,26.0,24.4,23.0,0.0,0.0,0.0
5,2017-11-01,市八中,87.0,0.813,56.0,25.25,143.0,65.0,102.0,良,PM2.5,国控点,113.586606,24.769519,韶关,70.0,52.0,40.0,28.0,27.2,26.0,666.0,614.4,527.0,29.0,26.4,25.0,0.0,0.0,0.0
6,2017-11-01,碧湖山庄,89.0,0.871,35.333,18.792,134.0,66.0,90.0,良,PM2.5,国控点,113.5556,24.8082,韶关,70.0,52.0,40.0,28.0,27.2,26.0,666.0,614.4,527.0,29.0,26.4,25.0,0.0,0.0,0.0
7,2017-11-01,园林处,93.0,1.209,70.044,23.261,147.0,69.0,101.0,良,PM2.5,国控点,113.59806100000002,24.795928,韶关,70.0,52.0,40.0,28.0,27.2,26.0,666.0,614.4,527.0,29.0,26.4,25.0,0.0,0.0,0.0
8,2017-11-01,韶关学院,100.0,0.813,33.5,17.792,160.0,72.0,84.0,良,O3,国控点,113.673472,24.779083,韶关,70.0,52.0,40.0,28.0,27.2,26.0,666.0,614.4,527.0,29.0,26.4,25.0,0.0,0.0,0.0
9,2017-11-01,曲江监测站,94.0,1.425,53.609,35.375,152.0,67.0,96.0,良,O3,国控点,113.597083,24.686361,韶关,70.0,52.0,40.0,28.0,27.2,26.0,666.0,614.4,527.0,29.0,26.4,25.0,0.0,0.0,0.0
10,2017-11-02,市八中,97.0,0.908,50.583,30.583,149.0,72.0,98.0,良,PM2.5,国控点,113.586606,24.769519,韶关,30.0,19.0,15.0,29.0,28.6,28.0,666.0,609.6,517.0,28.0,26.2,25.0,0.0,0.0,0.0
11,2017-11-02,碧湖山庄,100.0,0.917,35.917,21.875,136.0,74.0,95.0,良,PM2.5,国控点,113.5556,24.8082,韶关,30.0,19.0,15.0,29.0,28.6,28.0,666.0,609.6,517.0,28.0,26.2,25.0,0.0,0.0,0.0
12,2017-11-02,园林处,94.0,1.008,46.792,25.208,144.0,70.0,101.0,良,PM2.5,国控点,113.59806100000002,24.795928,韶关,30.0,19.0,15.0,29.0,28.6,28.0,666.0,609.6,517.0,28.0,26.2,25.0,0.0,0.0,0.0
13,2017-11-02,韶关学院,110.0,0.917,28.833,19.044,171.0,75.0,85.0,轻度污染,O3,国控点,113.673472,24.779083,韶关,30.0,19.0,15.0,29.0,28.6,28.0,666.0,609.6,517.0,28.0,26.2,25.0,0.0,0.0,0.0
14,2017-11-02,曲江监测站,97.0,1.567,50.174,38.542,154.0,72.0,103.0,良,PM2.5,国控点,113.597083,24.686361,韶关,30.0,19.0,15.0,29.0,28.6,28.0,666.0,609.6,517.0,28.0,26.2,25.0,0.0,0.0,0.0
15,2017-11-03,市八中,95.0,0.754,34.542,27.125,154.0,53.0,70.0,良,O3,国控点,113.586606,24.769519,韶关,45.0,36.0,30.0,28.0,27.6,27.0,657.0,604.8,518.0,25.0,23.0,22.0,0.0,0.0,0.0
16,2017-11-03,碧湖山庄,79.0,0.754,25.583,23.458,134.0,55.0,71.0,良,O3,国控点,113.5556,24.8082,韶关,45.0,36.0,30.0,28.0,27.6,27.0,657.0,604.8,518.0,25.0,23.0,22.0,0.0,0.0,0.0
17,2017-11-03,园林处,93.0,0.7879999999999999,30.333,27.292,151.0,45.0,69.0,良,O3,国控点,113.59806100000002,24.795928,韶关,45.0,36.0,30.0,28.0,27.6,27.0,657.0,604.8,518.0,25.0,23.0,22.0,0.0,0.0,0.0
18,2017-11-03,韶关学院,115.0,0.7709999999999999,31.25,17.417,176.0,72.0,81.0,轻度污染,O3,国控点,113.673472,24.779083,韶关,45.0,36.0,30.0,28.0,27.6,27.0,657.0,604.8,518.0,25.0,23.0,22.0,0.0,0.0,0.0
19,2017-11-03,曲江监测站,102.0,1.091,40.652,29.217,162.0,63.0,83.0,轻度污染,O3,国控点,113.597083,24.686361,韶关,45.0,36.0,30.0,28.0,27.6,27.0,657.0,604.8,518.0,25.0,23.0,22.0,0.0,0.0,0.0
20,2017-11-04,市八中,90.0,0.721,31.708,19.958,147.0,54.0,79.0,良,O3,国控点,113.586606,24.769519,韶关,45.0,36.0,30.0,26.0,25.0,24.0,579.0,518.4,409.0,36.0,34.2,33.0,0.0,0.0,0.0
21,2017-11-04,碧湖山庄,74.0,0.779,21.167,17.625,128.0,40.0,79.0,良,O3,国控点,113.5556,24.8082,韶关,45.0,36.0,30.0,26.0,25.0,24.0,579.0,518.4,409.0,36.0,34.2,33.0,0.0,0.0,0.0
22,2017-11-04,园林处,85.0,0.792,23.333,17.75,142.0,51.0,78.0,良,O3,国控点,113.59806100000002,24.795928,韶关,45.0,36.0,30.0,26.0,25.0,24.0,579.0,518.4,409.0,36.0,34.2,33.0,0.0,0.0,0.0
23,2017-11-04,韶关学院,113.0,0.746,27.833,15.417,174.0,69.0,82.0,轻度污染,O3,国控点,113.673472,24.779083,韶关,45.0,36.0,30.0,26.0,25.0,24.0,579.0,518.4,409.0,36.0,34.2,33.0,0.0,0.0,0.0
24,2017-11-04,曲江监测站,100.0,1.008,35.87,19.042,160.0,57.0,85.0,良,O3,国控点,113.597083,24.686361,韶关,45.0,36.0,30.0,26.0,25.0,24.0,579.0,518.4,409.0,36.0,34.2,33.0,0.0,0.0,0.0
25,2017-11-05,市八中,92.0,0.75,28.125,19.542,140.0,68.0,91.0,良,PM2.5,国控点,113.586606,24.769519,韶关,65.0,45.0,35.0,25.0,24.6,23.0,634.0,587.2,506.0,30.0,28.2,27.0,0.0,0.0,0.0
26,2017-11-05,碧湖山庄,72.0,0.867,24.792,18.542,122.0,49.0,92.0,良,PM10,国控点,113.5556,24.8082,韶关,65.0,45.0,35.0,25.0,24.6,23.0,634.0,587.2,506.0,30.0,28.2,27.0,0.0,0.0,0.0
27,2017-11-05,园林处,88.0,0.867,25.875,17.667,137.0,65.0,95.0,良,PM2.5,国控点,113.59806100000002,24.795928,韶关,65.0,45.0,35.0,25.0,24.6,23.0,634.0,587.2,506.0,30.0,28.2,27.0,0.0,0.0,0.0
28,2017-11-05,韶关学院,113.0,0.804,24.0,20.917,159.0,85.0,94.0,轻度污染,PM2.5,国控点,113.673472,24.779083,韶关,65.0,45.0,35.0,25.0,24.6,23.0,634.0,587.2,506.0,30.0,28.2,27.0,0.0,0.0,0.0
29,2017-11-05,曲江监测站,97.0,0.917,29.348000000000006,17.917,146.0,72.0,103.0,良,PM2.5,国控点,113.597083,24.686361,韶关,65.0,45.0,35.0,25.0,24.6,23.0,634.0,587.2,506.0,30.0,28.2,27.0,0.0,0.0,0.0
30,2017-11-06,市八中,103.0,0.743,36.546,22.292,134.0,77.0,100.0,轻度污染,PM2.5,国控点,113.586606,24.769519,韶关,75.0,70.0,65.0,28.0,26.8,25.0,500.0,476.4,418.0,32.0,30.8,30.0,0.0,0.0,0.0
31,2017-11-06,碧湖山庄,110.0,0.992,31.208,27.042,120.0,82.0,100.0,轻度污染,PM2.5,国控点,113.5556,24.8082,韶关,75.0,70.0,65.0,28.0,26.8,25.0,500.0,476.4,418.0,32.0,30.8,30.0,0.0,0.0,0.0
32,2017-11-06,园林处,101.0,0.888,35.667,20.875,135.0,76.0,100.0,轻度污染,PM2.5,国控点,113.59806100000002,24.795928,韶关,75.0,70.0,65.0,28.0,26.8,25.0,500.0,476.4,418.0,32.0,30.8,30.0,0.0,0.0,0.0
33,2017-11-06,韶关学院,121.0,0.792,25.417,23.667,161.0,91.0,106.0,轻度污染,PM2.5,国控点,113.673472,24.779083,韶关,75.0,70.0,65.0,28.0,26.8,25.0,500.0,476.4,418.0,32.0,30.8,30.0,0.0,0.0,0.0
34,2017-11-06,曲江监测站,107.0,1.263,48.435,24.917,118.0,80.0,114.0,轻度污染,PM2.5,国控点,113.597083,24.686361,韶关,75.0,70.0,65.0,28.0,26.8,25.0,500.0,476.4,418.0,32.0,30.8,30.0,0.0,0.0,0.0
35,2017-11-07,市八中,65.0,0.5710000000000001,27.125,7.957999999999998,90.0,47.0,60.0,良,PM2.5,国控点,113.586606,24.769519,韶关,65.0,53.0,35.0,17.0,16.2,16.0,20.0,17.0,13.0,93.0,91.0,89.0,5.0,3.6,2.0
36,2017-11-07,碧湖山庄,73.0,0.865,24.955,8.565,72.0,53.0,71.0,良,PM2.5,国控点,113.5556,24.8082,韶关,65.0,53.0,35.0,17.0,16.2,16.0,20.0,17.0,13.0,93.0,91.0,89.0,5.0,3.6,2.0
37,2017-11-07,园林处,61.0,0.75,24.0,9.875,100.0,44.0,29.0,良,PM2.5,国控点,113.59806100000002,24.795928,韶关,65.0,53.0,35.0,17.0,16.2,16.0,20.0,17.0,13.0,93.0,91.0,89.0,5.0,3.6,2.0
38,2017-11-07,韶关学院,78.0,0.629,17.083,9.833,89.0,57.0,0.0,良,PM2.5,国控点,113.673472,24.779083,韶关,65.0,53.0,35.0,17.0,16.2,16.0,20.0,17.0,13.0,93.0,91.0,89.0,5.0,3.6,2.0
39,2017-11-07,曲江监测站,72.0,0.8079999999999999,25.667,13.375,90.0,52.0,69.0,良,PM2.5,国控点,113.597083,24.686361,韶关,65.0,53.0,35.0,17.0,16.2,16.0,20.0,17.0,13.0,93.0,91.0,89.0,5.0,3.6,2.0
40,2017-11-08,市八中,47.0,0.4920000000000001,22.0,8.542,63.0,32.0,42.0,优,PM2.5,国控点,113.586606,24.769519,韶关,85.0,54.0,20.0,19.0,18.6,18.0,101.0,69.4,56.0,92.0,90.6,89.0,2.0,1.0,0.0
41,2017-11-08,碧湖山庄,41.0,0.754,20.042,10.125,55.0,28.0,37.0,优,PM2.5,国控点,113.5556,24.8082,韶关,85.0,54.0,20.0,19.0,18.6,18.0,101.0,69.4,56.0,92.0,90.6,89.0,2.0,1.0,0.0
42,2017-11-08,园林处,37.0,0.682,22.762,10.390999999999998,60.0,25.0,37.0,优,PM10,国控点,113.59806100000002,24.795928,韶关,85.0,54.0,20.0,19.0,18.6,18.0,101.0,69.4,56.0,92.0,90.6,89.0,2.0,1.0,0.0
43,2017-11-08,韶关学院,44.0,0.546,17.042,11.083,74.0,31.0,36.0,优,PM2.5,国控点,113.673472,24.779083,韶关,85.0,54.0,20.0,19.0,18.6,18.0,101.0,69.4,56.0,92.0,90.6,89.0,2.0,1.0,0.0
